,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
157,,,,20111118,,,,,Business Park (Office),20161102,Campbell Heights,Approved,Local Area Plan,2000
158,,,,20130705,,,,,Business Park,20161102,Campbell Heights,Approved,Local Area Plan,2000
159,,,,20130705,,,,,Landscaping Strips,20161102,Campbell Heights,Approved,Local Area Plan,2000
160,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
161,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
162,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
163,,,,,,,,,Stormwater Management Facilities,20161102,Campbell Heights,Approved,Local Area Plan,2000
164,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
165,,,,,,,,,Stormwater Management Facilities,20161102,Campbell Heights,Approved,Local Area Plan,2000
166,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
167,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
168,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
169,,,,20161102,,,,,Tree Preservation Opportunities,20170103,Campbell Heights,Approved,Local Area Plan,2000
170,,,,20161102,,,,,Tree Preservation Opportunities,,Campbell Heights,Approved,Local Area Plan,2000
