,SITE_NAME,TREE_SPECIES,TREE_STATUS,SIGNIFICANT_TREE_NO,HERITAGE_TREE_NO,HERITAGE_PLAQUE_NO,OWNER,CRE_DATE,MOD_DATE,Latitude,Longitude
20,King George Blvd - 2466,English Oak,Operating,341,Yes,,City of Surrey,20100224,20110318,49.047000,-122.795024
21,King George Blvd - 2480,English Oak,Operating,343,Yes,,City of Surrey,20100224,20110318,49.047256,-122.795341
22,King George Blvd - 2498,English Oak,Operating,345,Yes,,City of Surrey,20100224,20110318,49.047484,-122.795625
23,King George Blvd - 2500,English Oak,Operating,346,Yes,,City of Surrey,20100224,20110318,49.047732,-122.795935
24,King George Blvd - 2524,English Oak,Operating,347,Yes,,City of Surrey,20100224,20110318,49.047972,-122.796234
25,King George Blvd - 2530,English Oak,Operating,348,Yes,,City of Surrey,20100224,20110318,49.048184,-122.796499
26,King George Blvd - 2536,English Oak,Operating,349,Yes,,City of Surrey,20100224,20110318,49.048414,-122.796785
27,King George Blvd - 2546,English Oak,Operating,350,Yes,,City of Surrey,20100224,20110318,49.048684,-122.797117
28,King George Blvd - 2570,English Oak,Operating,352,Yes,,City of Surrey,20100224,20110318,49.048963,-122.797459
29,King George Blvd - 2650,English Oak,Operating,358,Yes,,City of Surrey,20100224,20110318,49.050541,-122.799348
30,King George Blvd - 2660,English Oak,Operating,361,Yes,,City of Surrey,20100224,20110318,49.050742,-122.799603
31,King George Blvd - 2670,English Oak,Operating,362,Yes,,City of Surrey,20100224,20110318,49.050950,-122.799859
32,King George Blvd - 1300,English Oak,Operating,093,Yes,,City of Surrey,,20110318,49.026669,-122.769888
33,King George Blvd - 2925,English Oak,Operating,029,Yes,,City of Surrey,,20110318,49.054622,-122.805029
34,King George Blvd - 1293,English Oak,Operating,090,Yes,,City of Surrey,,20110318,49.026670,-122.770421
35,King George Blvd - 3387,English Oak,Operating,057,Yes,,City of Surrey,,20110318,49.063459,-122.816037
36,King George Blvd - 3189,English Oak,Operating,037,Yes,,City of Surrey,,20110318,49.060101,-122.811867
37,King George Blvd - 1276,English Oak,Operating,083,Yes,,City of Surrey,,20110318,49.025758,-122.768770
38,King George Blvd - 1284,English Oak,Operating,086,Yes,,City of Surrey,,20110318,49.026056,-122.769138
39,King George Blvd - 2962,English Oak,Operating,032,Yes,,City of Surrey,,20110318,49.054926,-122.804783
40,King George Blvd - 1195,English Oak,Operating,069,Yes,,City of Surrey,,20110318,49.023649,-122.766674
41,King George Blvd - 1280,English Oak,Operating,085,Yes,,City of Surrey,,20110318,49.025903,-122.768948
42,King George Blvd - 2855,English Oak,Operating,026,Yes,,City of Surrey,,20110318,49.053737,-122.803898
43,King George Blvd - 3269,English Oak,Operating,040,Yes,,City of Surrey,,20110318,49.061390,-122.813477
44,King George Blvd - 1231,English Oak,Operating,074,Yes,,City of Surrey,,20110318,49.024542,-122.767778
45,King George Blvd - 3389,English Oak,Operating,058,Yes,,City of Surrey,,20110318,49.063679,-122.816288
46,King George Blvd - 1288,English Oak,Operating,087,Yes,,City of Surrey,,20110318,49.026209,-122.769329
47,King George Blvd - 2015,English Oak,Operating,004,Yes,,City of Surrey,,20110318,49.038636,-122.785267
48,King George Blvd - 1292,English Oak,Operating,089,Yes,,City of Surrey,,20110318,49.026363,-122.769520
49,King George Blvd - 3237,English Oak,Operating,038,Yes,,City of Surrey,,20110318,49.060741,-122.812672
50,King George Blvd - 2825,English Oak,Operating,024,Yes,,City of Surrey,,20110318,49.053259,-122.803352
51,King George Blvd - 1211,English Oak,Operating,072,Yes,,City of Surrey,,20110318,49.024100,-122.767232
52,King George Blvd - 3395,English Oak,Operating,061,Yes,,City of Surrey,,20110318,49.064319,-122.817094
53,King George Blvd - 3333,English Oak,Operating,056,Yes,,City of Surrey,,20110318,49.062472,-122.814801
54,King George Blvd - 2812,English Oak,Operating,023,Yes,,City of Surrey,,20110318,49.053132,-122.802600
55,King George Blvd - 1275,English Oak,Operating,082,Yes,,City of Surrey,,20110318,49.026075,-122.769713
56,King George Blvd - 3391,English Oak,Operating,059,Yes,,City of Surrey,,20110318,49.063878,-122.816548
57,King George Blvd - 1201,English Oak,Operating,070,Yes,,City of Surrey,,20110318,49.023920,-122.767001
58,King George Blvd - 2885,English Oak,Operating,028,Yes,,City of Surrey,,20110318,49.054377,-122.804716
59,King George Blvd - 2970,English Oak,Operating,033,Yes,,City of Surrey,,20110318,49.055845,-122.805888
60,King George Blvd - 1296,English Oak,Operating,091,Yes,,City of Surrey,,20110318,49.026516,-122.769711
61,King George Blvd - 1299,English Oak,Operating,092,Yes,,City of Surrey,,20110318,49.026851,-122.770653
62,King George Blvd - 2952,English Oak,Operating,030,Yes,,City of Surrey,,20110318,49.054495,-122.804244
63,King George Blvd - 2009,English Oak,Operating,003,Yes,,City of Surrey,,20110318,49.038447,-122.785035
64,King George Blvd - 1255,English Oak,Operating,077,Yes,,City of Surrey,,20110318,49.025245,-122.768677
65,King George Blvd - 1289,English Oak,Operating,088,Yes,,City of Surrey,,20110318,49.026472,-122.770190
66,King George Blvd - 3061,English Oak,Operating,035,Yes,,City of Surrey,,20110318,49.057469,-122.808605
67,King George Blvd - 2986,English Oak,Operating,034,Yes,,City of Surrey,,20110318,49.056269,-122.806433
68,King George Blvd - 1272,English Oak,Operating,081,Yes,,City of Surrey,,20110318,49.025614,-122.768593
69,King George Blvd - 3331,English Oak,Operating,042,Yes,,City of Surrey,,20110318,49.062237,-122.814528
70,King George Blvd - 2678,Monkey Puzzle Tree,Decommissioned,173,086,27,Private,,20110203,49.051518,-122.800389
71,King George Blvd - 3155,English Oak,Operating,036,Yes,,City of Surrey,,20110318,49.059001,-122.810488
72,King George Blvd - 3247,English Oak,Operating,039,Yes,,City of Surrey,,20110318,49.061156,-122.813190
73,King George Blvd - 2845,English Oak,Operating,025,Yes,,City of Surrey,,20110318,49.053458,-122.803625
74,King George Blvd - 2958,English Oak,Operating,031,Yes,,City of Surrey,,20110318,49.054717,-122.804526
75,King George Blvd - 2875,English Oak,Operating,027,Yes,,City of Surrey,,20110318,49.054162,-122.804476
76,King George Blvd - 1221,English Oak,Operating,073,Yes,,City of Surrey,,20110318,49.024290,-122.767478
77,King George Blvd - 3393,English Oak,Operating,060,Yes,,City of Surrey,,20110318,49.064121,-122.816821
78,King George Blvd - 1984,English Oak,Operating,001,Yes,,City of Surrey,,20110318,49.037987,-122.784476
