,ANCILLARYROLE,ENABLED,FITTING_TYPE,FITTING_TYPE2,FACILITYID,LEGACYID,NODE_NO,FITTING_SIZE,MATERIAL,RIM_ELEVATION,INVERT,DEPTH,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
12270,,1,4,Tee,1001359151,,1743900191,200,DI,,15.74,,In Service,7810-0146-00,2013,Surrey,,,Final AB,,,,,,20131022,20131030,49.006270,-122.739883
12271,,1,2,Reducer,1001360219,,1599902559,350,DI,,,,In Service,7805-0349-00,2013,Surrey,,350X300,Final AB,,,,,,20130305,20131030,49.049219,-122.779296
12272,,1,2,Reducer,1001799963,,1236008036,,CAS,,,,In Service,,,Surrey,,,Final AB,,,,,,20141223,,49.148470,-122.879243
12273,,1,4,Tee,1001799957,,1231408030,250,CAS,,,,In Service,1211-3490-00,2014,Surrey,,,Final AB,,,,,,20141223,20141223,49.148358,-122.880495
12274,,1,4,Tee,1001602925,,1413607118,200,DI,,69.06,,In Service,1211-3480-00,2014,Surrey,,,Final AB,,,,,,20150106,20150106,49.131800,-122.830294
12275,,1,4,Tee,1001602929,,1413607167,200,DI,,69.88,,In Service,1211-3480-00,2014,Surrey,,,Final AB,,,,,,20150106,20150106,49.132687,-122.830306
12276,,1,0,Cap,1001799984,,1248908023,200,CAS,,,,In Service,1211-3500-00,2014,Surrey,,,Final AB,,,,,,20141223,20141223,49.148232,-122.875677
12277,,1,3,Tap,1001602874,,1248908025,200,DI,,,,In Service,1211-3500-00,2014,Surrey,,,Final AB,,,,,,20141223,20141223,49.148263,-122.875690
12278,0,0,4,Tee,1000298063,4300,1231208014,,,,,,Abandoned,,1973,Surrey,,,,,,,,,19890410,20141223,49.148333,-122.880517
12279,,1,0,Cap,1001800049,,1261508020,150,CAS,,,,In Service,1211-3500-00,2014,Surrey,,,Final AB,,,,,,20141224,20141224,49.148172,-122.872204
12280,0,1,4,Tee,1000309048,5502,1248907962,,,83.68,,,In Service,,1981,Surrey,,,,,,,,,19890525,20141223,49.147395,-122.875641
12281,0,1,4,Tee,1000297920,5084,1236608036,,,89.97,,,In Service,,1990,Surrey,,,,,,,,,19890407,20141224,49.148467,-122.879074
12282,,1,4,Tee,1001602880,,1261508022,200,DI,,82.46,,In Service,1211-3500-00,2014,Surrey,,,Final AB,,,,,,20141224,20141224,49.148218,-122.872212
12283,,1,2,Reducer,1001900042,,1408903419,200,DI,,28.25,,In Service,7813-0290-00,2016,Surrey,,,Initial AB,,,,,,20161215,20161215,49.064869,-122.831825
12284,,1,3,Tap,1001901801,,1296211453,300,DI,,1.6,,In Service,7812-0353-00,2016,Surrey,,,Final AB,,,,,,20170110,20170110,49.210283,-122.862464
12285,0,1,4,Tee,1000297535,13630,1419406719,,,25.3,,,In Service,,1990,Surrey,,,,,,,,,19950920,20170320,49.124844,-122.828710
12286,0,1,4,Tee,1000297572,8187,1368706792,,,55.17,,,In Service,,1978,Surrey,,,,,,,,,19891205,20170320,49.126189,-122.842661
12287,0,1,4,Tee,1000297573,8210,1371906807,,,54.78,,,In Service,,1978,Surrey,,,,,,,,,19891205,20170320,49.126188,-122.841810
12288,0,1,4,Tee,1000297661,1493,1375206849,,,57,,,In Service,,1990,Surrey,,,,,,,,,19881103,20170320,49.126953,-122.840908
