,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
163,SDFO-8HKPEW,Subway #50417,15905 Fraser Hwy,Surrey,Restaurant,49.15907102,-122.78175449
164,JDSO-ADTMFH,Subway #50726,14370 64 Ave,Surrey,Restaurant,49.11891376,-122.82421638
165,NDAA-8Y2SCD,Subway #52643,12477 88 Ave,Surrey,Restaurant,49.16395195,-122.8770559
166,NDAA-8PYQHK,Subway #52889,15122 72 Ave,Surrey,Restaurant,49.13351251,-122.8026091
167,NDAA-9MCRET,Subway #55162,14313 Crescent Rd,Surrey,Restaurant,49.06762733,-122.82500731
168,NDAA-93RQHM,Subway #55832,9538 120 St,Surrey,Restaurant,49.17636045,-122.88985808
169,ACAK-985U78,Subway #57253,13245 72 Ave,Surrey,Restaurant,49.13385503,-122.85542502
170,SPLH-9KKTA9,Subway #60205,2525 160 St,Surrey,Restaurant,49.04757106,-122.77952913
171,SPLH-9LFRR7,Subway #61612,7350 120 St,Surrey,Restaurant,49.13641534,-122.88850607
172,SWOD-9UKPY4,Subway #63408,13737 96 Ave,Surrey,Restaurant,49.17720977,-122.84275097
173,GEDS-67NPGB,Subway #7665,12080 Nordel Way,Surrey,Restaurant,49.16109806,-122.8886041
174,SWOD-AFPRZP,Subway #7752,13745 72 Ave,Surrey,Restaurant,49.13376451,-122.84112685
175,ACAK-9BETLP,Subway (Guildford Mall),10355 152 St,Surrey,Restaurant,49.19192585,-122.8042654
176,NDAA-9NUPG4,Subway Sandwiches,19186 96 Ave,Surrey,Restaurant,49.17680764,-122.69107293
177,GEDS-6TJMVF,Sullivan Heights Secondary School Food Service,6248 144 St,Surrey,Restaurant,49.11574585,-122.82294334
178,NDAA-ATHRDW,Sumerian Grill,10671A King George Blvd,Surrey,Restaurant,49.19632915,-122.84542729
179,GEDS-7UWVFC,Suncreek Village,13687 62 Ave,Surrey,Restaurant,49.115637,-122.84282495
180,SWOD-APTQFP,Suncrest Retirement Community,2567 King George Blvd,Surrey,Restaurant,49.04856106,-122.79778281
181,SHEN-AP5PP2,Sundae Delight,7750 128 St,Surrey,Restaurant,49.14358109,-122.86765344
182,GEDS-6L7TYA,Sunflower Organics & Deli,12310 Beecher St,Surrey,Restaurant,49.05290119,-122.88077647
183,HCAR-AWTMSA,Sunny Dragon Restaurant,15988 Fraser Hwy,Surrey,Restaurant,49.15724844,-122.77953862
184,A020313    ,Sunny's Clydesdale Inn Pub,17630 56 Ave,Surrey,Restaurant,49.10399668,-122.73409809
185,RORS-66F2E2,Sunnyside Manor Food Service,15340 17 Ave,Surrey,Restaurant,49.03280525,-122.79738127
186,SDFO-8P2P32,Sunrise Cafe,13458 107A Ave,Surrey,Restaurant,49.1971863,-122.849782
187,A016851    ,Sunshine Place Food Service,1504 160 St,Surrey,Restaurant,49.02933335,-122.77895105
188,NDAA-9NVPPU,Super Pho VN Cuisine,9544 120 St,Surrey,Restaurant,49.17643548,-122.88986366
189,ACAK-9C6MAB,Bon Accord Care Services Ltd,13350 Old Yale Rd,Surrey,Restaurant,49.18612305,-122.85260015
190,SWOD-A8TQQ4,Bon Ga Korean Restaurant,10356 Whalley Blvd,Surrey,Restaurant,49.19082227,-122.84171555
191,NDAA-9RFNPY,Bonny Castle Childrens Center,10706 148 St,Surrey,Restaurant,49.19706791,-122.81210468
192,A018373    ,Bonnycastle Montessori Day Care Food Service,14630 107A Ave,Surrey,Restaurant,49.19768616,-122.8170029
193,SHEN-ALTU9K,Boom Bee,15155 101 Ave,Surrey,Restaurant,49.18629935,-122.80223401
194,SHEN-A2FSZ2,Booster Juice #232,10153 King George Blvd,Surrey,Restaurant,49.18592247,-122.84584777
195,SHEN-9YTTFZ,Booster Juice #278,12080 Nordel Way,Surrey,Restaurant,49.16109806,-122.8886041
196,JDSO-ACVPWV,Booster Juice (Fraser Hwy),18640 Fraser Hwy,Surrey,Restaurant,49.12546293,-122.70609458
197,GEDS-78JP6B,Booster Juice (Surrey),15355 24 Ave,Surrey,Restaurant,49.04583671,-122.79750443
198,NDAA-8R8V4H,Boston Pizza #020,6486 176 St,Surrey,Restaurant,49.12017053,-122.73456085
199,SHEN-AKHSUG,Boston Pizza #18 - Nordel Way,12060 Nordel Way,Surrey,Restaurant,49.1617169,-122.88780373
200,SHEN-AAKQEF,Boston Pizza #59,15980 Fraser Hwy,Surrey,Restaurant,49.15829516,-122.78191619
