,CRE_DATE,MOD_DATE,ROADEDGE_TYPE,ROADEDGE_TYPE_2
13174,20130816,20130819,8,"Paved, 2 Lane, Undivided"
13175,20130819,20130819,8,"Paved, 2 Lane, Undivided"
13176,20130517,20130819,8,"Paved, 2 Lane, Undivided"
13177,,20130823,4,Lane
13178,,20130823,8,"Paved, 2 Lane, Undivided"
13179,,20130823,4,Lane
13180,,20130823,8,"Paved, 2 Lane, Undivided"
13181,,20130823,8,"Paved, 2 Lane, Undivided"
13182,,20130823,8,"Paved, 2 Lane, Undivided"
13183,,20130823,8,"Paved, 2 Lane, Undivided"
13184,,20130823,8,"Paved, 2 Lane, Undivided"
13185,,20130904,8,"Paved, 2 Lane, Undivided"
13186,,20130904,8,"Paved, 2 Lane, Undivided"
13187,20130904,20130904,8,"Paved, 2 Lane, Undivided"
13188,,20130904,8,"Paved, 2 Lane, Undivided"
13189,,20130904,8,"Paved, 2 Lane, Undivided"
13190,,20130904,8,"Paved, 2 Lane, Undivided"
13191,,20130904,8,"Paved, 2 Lane, Undivided"
13192,,20130906,8,"Paved, 2 Lane, Undivided"
13193,,20130906,8,"Paved, 2 Lane, Undivided"
13194,,20130910,8,"Paved, 2 Lane, Undivided"
13195,,20130917,8,"Paved, 2 Lane, Undivided"
13196,,20130919,8,"Paved, 2 Lane, Undivided"
13197,,20130919,8,"Paved, 2 Lane, Undivided"
13198,,20130920,8,"Paved, 2 Lane, Undivided"
13199,,20130923,8,"Paved, 2 Lane, Undivided"
13200,20130923,20130923,8,"Paved, 2 Lane, Undivided"
13201,,20130923,8,"Paved, 2 Lane, Undivided"
13202,,20130923,8,"Paved, 2 Lane, Undivided"
13203,20130924,20130924,8,"Paved, 2 Lane, Undivided"
13204,,20130924,8,"Paved, 2 Lane, Undivided"
13205,,20130924,8,"Paved, 2 Lane, Undivided"
13206,20131003,20131003,8,"Paved, 2 Lane, Undivided"
13207,,20131003,8,"Paved, 2 Lane, Undivided"
13208,20131009,20121204,8,"Paved, 2 Lane, Undivided"
13209,20131009,20131009,8,"Paved, 2 Lane, Undivided"
13210,20131009,20131009,8,"Paved, 2 Lane, Undivided"
13211,,20131009,8,"Paved, 2 Lane, Undivided"
13212,,20131010,8,"Paved, 2 Lane, Undivided"
13213,,20131010,11,"Paved, 4 Lane, Undivided"
13214,,20131010,8,"Paved, 2 Lane, Undivided"
13215,,20131010,4,Lane
13216,,20131010,4,Lane
13217,,20131011,11,"Paved, 4 Lane, Undivided"
13218,20131104,20131104,8,"Paved, 2 Lane, Undivided"
13219,20131115,20131115,8,"Paved, 2 Lane, Undivided"
13220,,20131115,8,"Paved, 2 Lane, Undivided"
13221,,20131115,8,"Paved, 2 Lane, Undivided"
13222,20131115,20131115,8,"Paved, 2 Lane, Undivided"
13223,,20131115,4,Lane
13224,20131115,20131115,4,Lane
13225,20131204,,8,"Paved, 2 Lane, Undivided"
13226,,20131205,8,"Paved, 2 Lane, Undivided"
13227,,20131210,8,"Paved, 2 Lane, Undivided"
13228,,20131211,8,"Paved, 2 Lane, Undivided"
13229,,20131212,8,"Paved, 2 Lane, Undivided"
13230,,20131213,8,"Paved, 2 Lane, Undivided"
13231,,20140106,8,"Paved, 2 Lane, Undivided"
