,PLAN_NO,PLAN_TYPE,YR
17923,LMP34842,Subdivision,1997
17924,LMP34842,Subdivision,1997
17925,LMP34842,Subdivision,1997
17926,LMP34843,Subdivision,1997
17927,LMP34843,Subdivision,1997
17928,LMP34843,Subdivision,1997
17929,LMP34845,Subdivision,1997
17930,LMP34846,Subdivision,1997
17931,LMP34846,Subdivision,1997
17932,LMP34860,Subdivision,1997
17933,LMP34860,Subdivision,1997
17934,LMP3487,Subdivision,1992
17935,LMP34875,Subdivision,1997
17936,LMP34913,Subdivision,1997
17937,LMP34914,Subdivision,1997
17938,LMP34914,Subdivision,1997
17939,LMP34962,Subdivision,1997
17940,LMP3497,Subdivision,1992
17941,LMP3497,Subdivision,1992
17942,LMP34984,Subdivision,1997
17943,LMP3501,Subdivision,1992
17944,LMP35060,Subdivision,1997
17945,LMP35060,Subdivision,1997
17946,LMP35060,Subdivision,1997
17947,LMP35065,Subdivision,1997
17948,LMP35065,Subdivision,1997
17949,LMP3518,Subdivision,1992
17950,LMP3519,Subdivision,1992
17951,LMP35204,Subdivision,1997
17952,LMP35277,Subdivision,1997
17953,LMP35304,Subdivision,1997
17954,LMP3544,Subdivision,1992
17955,LMP35534,Subdivision,1997
17956,LMP35545,Subdivision,1997
17957,LMP35545,Subdivision,1997
17958,LMP35545,Subdivision,1997
17959,LMP35545,Subdivision,1997
17960,LMP35545,Subdivision,1997
17961,LMP35545,Subdivision,1997
17962,LMP35545,Subdivision,1997
17963,LMP35549,Subdivision,1997
17964,LMP35674,Subdivision,1997
17965,LMP35677,Subdivision,1997
17966,LMP35677,Subdivision,1997
17967,LMP35682,Subdivision,1997
17968,LMP3582,Subdivision,1992
17969,LMP35892,Subdivision,1997
17970,LMP35903,Subdivision,1997
17971,LMP35904,Subdivision,1997
17972,LMP35911,Subdivision,1997
17973,LMP35981,Subdivision,1997
17974,LMP35981,Subdivision,1997
17975,LMP35981,Subdivision,1997
17976,LMP35981,Subdivision,1997
17977,LMP35981,Subdivision,1997
17978,LMP35981,Subdivision,1997
17979,LMP35981,Subdivision,1997
17980,LMP35981,Subdivision,1997
17981,LMP35981,Subdivision,1997
17982,LMP35981,Subdivision,1997
17983,LMP35981,Subdivision,1997
17984,LMP35989,Subdivision,1997
17985,LMP35991,Subdivision,1997
17986,LMP36000,Subdivision,1997
17987,LMP36077,Reference Plan,1997
17988,LMP36078,Subdivision,1997
17989,LMP36096,Subdivision,1997
17990,LMP36109,Subdivision,1997
17991,LMP36109,Subdivision,1997
17992,LMP36166,Subdivision,1997
17993,LMP36166,Subdivision,1997
17994,LMP36166,Subdivision,1997
17995,LMP36233,Reference Plan,1997
17996,LMP36247,Subdivision,1997
17997,LMP36274,Subdivision,1997
17998,LMP36274,Subdivision,1997
17999,LMP36351,Subdivision,1997
18000,LMP36361,Subdivision,1997
18001,LMP36425,Subdivision,1997
18002,LMP36436,Subdivision,1998
18003,LMP36441,Subdivision,1998
18004,LMP36488,Subdivision,1998
18005,LMP36499,Subdivision,1998
18006,LMP36499,Subdivision,1998
18007,LMP36512,Subdivision,1998
18008,LMP36512,Subdivision,1998
18009,LMP36520,Subdivision,1998
18010,LMP36534,Subdivision,1998
18011,LMP36539,Subdivision,1998
18012,LMP36570,Subdivision,1998
18013,LMP36573,Subdivision,1998
18014,LMP36578,Subdivision,1998
18015,LMP36578,Subdivision,1998
18016,LMP36578,Subdivision,1998
18017,LMP3658,Subdivision,1992
18018,LMP36598,Subdivision,1998
18019,LMP36598,Subdivision,1998
18020,LMP36604,Subdivision,1998
18021,LMP36624,Subdivision,1998
18022,LMP36627,Reference Plan,1998
18023,LMP36629,Subdivision,1998
18024,LMP36660,Subdivision,1998
18025,LMP36660,Subdivision,1998
18026,LMP36661,Subdivision,1998
18027,LMP36661,Subdivision,1998
18028,LMP36664,Subdivision,1998
18029,LMP36665,Subdivision,1998
18030,LMP36670,Subdivision,1998
18031,LMP36677,Subdivision,1998
18032,LMP36677,Subdivision,1998
18033,LMP36687,Subdivision,1998
18034,LMP36691,Subdivision,1998
18035,LMP36741,Subdivision,1998
18036,LMP36747,Subdivision,1998
18037,LMP36751,Subdivision,1998
18038,LMP36760,Subdivision,1998
18039,LMP36762,Subdivision,1998
18040,LMP36767,Subdivision,1998
18041,LMP36767,Subdivision,1998
18042,LMP36775,Subdivision,1998
18043,LMP36775,Subdivision,1998
18044,LMP36780,Subdivision,1998
18045,LMP36780,Subdivision,1998
18046,LMP36818,Subdivision,1998
18047,LMP36818,Subdivision,1998
18048,LMP36818,Subdivision,2005
18049,LMP36821,Subdivision,1998
18050,LMP36834,Subdivision,1998
18051,LMP36837,Subdivision,1998
18052,LMP36837,Subdivision,1998
18053,LMP36837,Subdivision,1998
18054,LMP36850,Subdivision,1998
18055,LMP36853,Subdivision,1998
18056,LMP36853,Subdivision,1998
18057,LMP36853,Subdivision,1998
18058,LMP36853,Subdivision,1998
18059,LMP36872,Subdivision,1997
18060,LMP36872,Subdivision,1997
18061,LMP36872,Subdivision,1998
18062,LMP36872,Subdivision,1998
18063,LMP36872,Subdivision,1998
18064,LMP36872,Subdivision,1998
18065,LMP36872,Subdivision,1998
18066,LMP36872,Subdivision,1998
18067,LMP36872,Subdivision,1998
18068,LMP36872,Subdivision,1998
18069,LMP36872,Subdivision,1998
18070,LMP36872,Subdivision,1998
18071,LMP36872,Subdivision,1998
18072,LMP36872,Subdivision,1998
18073,LMP36872,Subdivision,1998
18074,LMP36882,Subdivision,1998
18075,LMP36882,Subdivision,1998
18076,LMP36885,Subdivision,1998
18077,LMP36885,Subdivision,1998
18078,LMP36885,Subdivision,1998
18079,LMP36885,Subdivision,1998
18080,LMP36885,Subdivision,1998
18081,LMP3694,Subdivision,1992
18082,LMP3694,Subdivision,1992
18083,LMP3694,Subdivision,1992
18084,LMP37027,Subdivision,1998
18085,LMP37027,Subdivision,1998
18086,LMP37027,Subdivision,1998
18087,LMP37027,Subdivision,1998
18088,LMP37027,Subdivision,1998
18089,LMP37027,Subdivision,1998
18090,LMP37027,Subdivision,1998
18091,LMP37035,Subdivision,1998
18092,LMP37038,Subdivision,1998
18093,LMP37038,Subdivision,1998
18094,LMP37038,Subdivision,1998
18095,LMP37062,Subdivision,1998
18096,LMP37062,Subdivision,1998
18097,LMP37062,Subdivision,1998
18098,LMP37067,Subdivision,1998
18099,LMP37067,Subdivision,1998
18100,LMP37067,Subdivision,1998
18101,LMP37067,Subdivision,1998
18102,LMP37067,Subdivision,1998
18103,LMP37099,Subdivision,1998
18104,LMP37099,Subdivision,1998
18105,LMP37099,Subdivision,1998
18106,LMP3710,Subdivision,1992
18107,LMP37103,Subdivision,1998
18108,LMP37143,Subdivision,1998
18109,LMP37164,Subdivision,1998
18110,LMP37174,Subdivision,1998
18111,LMP37174,Subdivision,1998
18112,LMP37180,Subdivision,1998
18113,LMP37180,Subdivision,1998
18114,LMP37180,Subdivision,1998
18115,LMP37180,Subdivision,1998
18116,LMP37182,Subdivision,1998
18117,LMP37185,Subdivision,1998
18118,LMP37191,Subdivision,1998
18119,LMP3723,Subdivision,1992
18120,LMP37233,Subdivision,1998
18121,LMP37247,Subdivision,1998
18122,LMP37248,Subdivision,1998
18123,LMP37313,Subdivision,1998
18124,LMP37415,Subdivision,1998
18125,LMP37428,Subdivision,1998
18126,LMP37429,Subdivision,1998
18127,LMP37430,Subdivision,1998
18128,LMP3746,Subdivision,1992
18129,LMP3751,Subdivision,1992
18130,LMP3764,Subdivision,1992
18131,LMP3764,Subdivision,1992
18132,LMP37757,Subdivision,1998
18133,LMP37779,Subdivision,1998
18134,LMP37798,Reference Plan,1998
18135,LMP37801,Subdivision,1998
18136,LMP37909,Subdivision,1998
18137,LMP37951,Subdivision,1998
18138,LMP37951,Subdivision,1998
18139,LMP37958,Subdivision,1998
18140,LMP38121,Subdivision,1998
18141,LMP38186,Subdivision,1998
18142,LMP38274,Subdivision,1998
18143,LMP38274,Subdivision,1998
18144,LMP38281,Subdivision,1998
18145,LMP38325,Subdivision,1998
18146,LMP38380,Subdivision,1998
18147,LMP3843,Subdivision,1992
18148,LMP3850,Subdivision,1992
18149,LMP3850,Subdivision,1992
18150,LMP38507,Subdivision,1998
18151,LMP38525,Subdivision,1998
18152,LMP3853,Subdivision,1992
18153,LMP3853,Subdivision,1992
18154,LMP3853,Subdivision,1992
18155,LMP38553,Subdivision,1998
18156,LMP38553,Subdivision,1998
18157,LMP3858,Subdivision,1992
18158,LMP38611,Subdivision,1998
18159,LMP38623,Subdivision,1998
18160,LMP38626,Subdivision,1998
18161,LMP38641,Subdivision,1998
