,ACCESSIBILITY,COMMENTS,CRE_DATE,MATERIAL,MOD_DATE,ROAD_CLASS,WEBLINK
370,Open,,20120822,Asphalt,20170822,Highway,
371,Open,,20170822,Asphalt,20160628,Highway,
372,Open,,20121219,Asphalt,,,
373,,,20160204,,,Other,
374,,,20160204,,20160204,Other,
375,,Parking Lot,20130125,Asphalt,20151208,Unknown,
376,,,,,,Other,
377,,,20131203,,20130125,,
378,,,,,,,
379,Open,,20170822,Asphalt,20170822,Ramp,
380,,,,,,,
381,,Parking Lot,,,20170605,,
382,,,20131121,,20180607,,
383,,,20130125,,,,
384,,Parking Lot,,,20170605,,
385,,Parking Lot,,,20170605,,
386,Open,,20121001,Asphalt,20151207,Arterial,
387,Open,,20120822,Gravel,20150409,Unknown,
388,Open,,20121001,Asphalt,20121001,Collector,
389,Open,,20131203,Asphalt,20150413,Arterial,
390,Open,,20120822,Asphalt,,,
391,,,20170518,,,,
392,Open,,20140219,Asphalt,20140219,,
393,Open,,20120822,Asphalt,,,
394,Open,,20120822,Asphalt,,,
395,Open,,20120822,Asphalt,,,
396,,,20130719,,,,
397,Open,,20120822,Asphalt,,,
398,Open,,20121219,Asphalt,20180615,,
399,Open,,20120822,Asphalt,,,
400,Open,,20120822,Asphalt,20140218,,
401,Open,,20170322,Asphalt,20170324,,
402,,,20131007,,20131007,,
403,Open,,20140718,Asphalt,20170324,,
404,Closed to Traffic,,20140113,Asphalt,20170728,,
405,Open,,20120822,Asphalt,20151207,,
406,,,20130118,,20130121,,
407,,,20130121,,20130125,,
408,,,20130128,,,,
409,Open,,20170823,,20170823,Local,
410,Open,,20121219,Asphalt,,Local,
411,Open,,20130620,,20170823,Collector,
412,Open,,20120822,Asphalt,,Local,
413,Open,,20120822,Asphalt,20180809,Local,
414,Open,,20140116,Asphalt,20160112,Highway,
415,Open,,20140116,Asphalt,20160108,Highway,
416,,,20140729,,20160115,Local,
417,Open,,20121220,Asphalt,20121001,,
418,Open,,20121220,Asphalt,20170802,,
419,Open,,20121220,Asphalt,20160722,,
420,Closed to Traffic,,20121001,Gravel,20121001,Lane,
421,Closed to Traffic,,20121001,Gravel,20121001,Lane,
422,Open,,20121001,Asphalt,20121001,Local,
423,Open,,20121211,Asphalt,20170124,Arterial,
424,,,20170320,,20170320,,
425,Open,,20121211,Asphalt,20121102,Local,
426,Open,,20121211,Asphalt,20170124,Collector,
427,,,20170320,,,,
428,Open,,20121001,Asphalt,20121001,Local,
429,,,20170321,,,,
430,,,20170320,,20170320,,
431,,,20151125,,,,
432,,,20170321,,,,
433,Open,,20120822,Asphalt,,,
434,,,20170320,,,,
435,,,20170321,,20170321,,
436,Open,,20121211,Asphalt,20121102,Lane,
