,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MATERIAL,INVERT,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,YTD_COST,LIFECYCLE_COST,CONDITION,CONDITIONDATE,FLOW_WEIR,LAST_INSP_DATE,INSTALL_DATE,MAKE,MODEL,MANUFACTURER,VENDOR,I_I_SOURCE,I_I_QUANTITY,CONDITION_NOTATION,CRE_DATE,MOD_DATE,ENABLED,Latitude,Longitude
155,0,Ball,1000141340,28027,1252411438,75,Ductile Iron,0.47,Abandoned,4515,1977,Surrey,,LINE BW-D,Final AB,,,,,,,,,,,,,,,,20051121,20160708,0,49.210027,-122.874552
156,8,LPS Lateral Gate,1001699688,,1209811251,50,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,,,,,,,,,,,,,,,,,,20130827,20160708,1,49.206652,-122.886325
157,8,LPS Lateral Gate,1001699709,,1221011325,50,Cast Iron,,In Service,4711-9020-00,2013,Surrey,,Closed,Final AB,,,,,,,,,,,,,,,,20130827,20160708,1,49.208000,-122.883236
158,0,Ball,1000851879,,,150,Ductile Iron,,In Service,4707-3040-00,2008,Surrey,,CLOSED,Final AB,,,,,,,,,,,,,,,,20080529,20160708,1,49.055273,-122.884017
159,3,Gate,1001195962,,1692207847,50,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144856,-122.753419
160,3,Gate,1001195966,,1692507848,75,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144868,-122.753339
161,3,Gate,1001195907,,1697107817,50,Steel,,In Service,7806-0317-00,2010,Private,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144304,-122.752064
162,3,Gate,1001195735,,1690307782,75,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110418,20151201,1,49.143673,-122.753928
163,3,Gate,1001195964,,1694407836,100,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144651,-122.752794
164,3,Gate,1000793132,,1699507927,,,,In Service,7803-0225-00,2006,Surrey,,,Final AB,,,,,,,,,,,,,,,,20060719,20151201,1,49.146287,-122.751389
165,3,Gate,1001195965,,1694207836,75,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144658,-122.752846
166,3,Gate,1001196074,,1690307783,50,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.143689,-122.753934
167,3,Gate,1000793122,,1702007966,,,,In Service,7803-0225-00,2006,Surrey,,,Final AB,,,,,,,,,,,,,,,,20060719,20151201,1,49.146999,-122.750689
168,3,Gate,1000794035,,1699607926,200,Ductile Iron,,In Service,,2006,Surrey,,,Final AB,,,,,,,,,,,,,,,,20060726,20151201,1,49.146275,-122.751360
169,3,Gate,1001196013,,1694207837,75,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144670,-122.752848
170,3,Gate,1000824659,,1702107965,,,,In Service,7805-0046-00,,,,,Final AB,,,,,,,,,,,,,,,,20070507,20151201,1,49.146976,-122.750677
171,3,Gate,1001196068,,1696307871,50,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.145280,-122.752288
172,3,Gate,1001195736,,1687207799,75,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110418,20151201,1,49.143983,-122.754796
173,3,Gate,1001195737,,1686407811,75,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110418,20151201,1,49.144206,-122.755007
174,3,Gate,1001195734,,1692907764,50,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110418,20151201,1,49.143340,-122.753218
175,3,Gate,1001195909,,1694707782,50,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.143670,-122.752713
176,3,Gate,1001195908,,1697307817,50,Steel,,In Service,7806-0317-00,2010,Private,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144314,-122.752015
177,3,Gate,1001195963,,1692507848,100,Steel,,In Service,7806-0317-00,2010,Surrey,,,Final AB,,,,,,,,,,,,,,,,20110420,20151201,1,49.144873,-122.753330
178,0,Ball,1000141372,28202,1277611541,75,PVC Plastic,0.11,In Service,4515,1978,Surrey,,LINE BE-F,Final AB,,,,,,,,,,,,,,,,20051128,,1,49.211872,-122.867594
179,0,Ball,1000141373,28209,1277611549,75,Ductile Iron,0.8,In Service,4515,1978,Surrey,,LINE BE-F,Final AB,,,,,,,,,,,,,,,,20051129,,1,49.212023,-122.867594
180,0,Ball,1000141375,28216,1277611580,75,PVC Plastic,0.79,In Service,4515,1978,Surrey,,LINE BE-F,Final AB,,,,,,,,,,,,,,,,20051129,,1,49.212585,-122.867599
181,3,Gate,1001883970,,1318311408,150,Cast Iron,,Proposed,4714-4030-00,,Surrey,,,EC,,,,,,,,,,,,,,,,20160720,20160720,0,49.209459,-122.856365
182,3,Gate,1000141282,22292,1358709488,100,Ductile Iron,,In Service,4793-327,1999,Surrey,,100 DRAIN FOR FM,Final AB,,,,,,,,,,,,,,,,20011210,20140512,1,49.174711,-122.845314
183,3,Gate,1000141311,28428,1438807997,350,Clay Tile,18.5,In Service,4703-1900-00,2005,Surrey,,SEE S-052-153 FOR LOCATION / 50 TURNS,Final AB,,,,,,,,,,,,,,,,20050105,20140731,1,49.147686,-122.823288
