,AREA_SUBTYPE,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH_M,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,NO_OF_HANDICAPPED_UNITS,NO_OF_SPACES,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_AREA_TYPE,PARK_AREA_TYPE2,PARK_FACILITY_TYPE,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SECURE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,STRUCTURES_INSPECTION_ROUTE,SURFACE_TYPE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH_M,WORK_ASSIGNMENT,YEAR_ADDED,YRS_LIFE_EXPECTANCY
65,Unimproved Land,,,,,20170915,108A - Greenbelt,1001946865,,,,,,,,,,,20170915,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
66,Unimproved Land,,,,,20160307,58A - Neighbourhood Park,1001863537,,,,,,19005 76 Ave,,,,,20160307,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
67,Unimproved Land,,,,,20140715,69L - Neighbourhood Park,1001756342,,,,,,,,,069,,,,,"69L - Neighbourhood Park, 7058 193 St",,,0,General Area,,,,,,,,OPERATING,,,,,,,,,,2014,
68,Unimproved Land,,,,,20130315,"Brownsville Bar Park,11095 Portage Rd",1001580779,,,,,,,,,009,,20180820,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2003,
69,Unimproved Land,,,,,20180226,"70H - Utility ROW, 12740 Hwy #10.",1001986137,,,,,,,,,070,,20180226,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
70,Unimproved Land,,,,,20130315,"Unwin Park,6862 132 St",1001580768,,,,,,,,,061,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
71,Unimproved Land,,,,,20130315,"Holland Park,13501 98b Ave",1001580809,,,,,,,,,021,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2006,
72,Unimproved Land,,,,,20160503,Bear Creek Park,1001874138,,,,,,13744 81A Ave,,,,,20160503,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
73,Unimproved Land,,,,,20130315,"12F - Greenbelt,13791 Grosvenor Rd",1001580827,,,,,,,,,012,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2009,
74,Unimproved Land,,,,,20130315,"12F - Greenbelt,13799 Grosvenor Rd",1001580781,,,,,,,,,012,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
75,Unimproved Land,,,,,20130315,"112Q - Greenbelt,14064 31a Ave",1001580857,,,,,,,,,112,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,1999,
76,Unimproved Land,,,,,20131216,Bonaccord Creek Park,1001721572,,,,,,,,,,,20131216,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
77,Unimproved Land,,,,,20130315,"53H - Greenbelt,14789 79 Ave",1001580793,,,,,,,,,053,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2004,
78,Unimproved Land,,,,,20180315,Kettle Crescent Park,1001990465,,,,1001990463,,,,,,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
79,Unimproved Land,,,,,20170309,54G - Greenbelt,1001912276,,,,,,15549 77 Ave,,,,,20170309,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
80,Unimproved Land,,,,,20130315,"North Surrey Community Park,15875 96 Ave",1001580738,,,,,,,,,024,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
81,Unimproved Land,,,,,20151013,"75G - Greenbelt, Floodplain and ALR Buffer",1001842067,,,,,,,,,,,20151013,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
82,Unimproved Land,,,,,20161214,35B - Utility ROW,1001899896,,,,,,"35B - Utility ROW, 9537 162A St",,,35,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
83,Unimproved Land,,,,,20170309,115L - Greenbelt,1001912259,,,,,,16484 29A Ave,,,,,20170309,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2017,
84,Unimproved Land,,,,,20180410,25H - Greenbelt,1001994849,,,,1001994841,,,,,025,,20180410,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
85,Unimproved Land,,,,,20180410,25H - Greenbelt,1001994850,,,,1001994842,,,,,025,,20180410,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2018,
86,Unimproved Land,,,,,20130315,"116F - Community Park,16967 24 Ave",1001580749,,,,,,,,,116,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
87,Unimproved Land,,,,,20130315,"116C - Community Park,17080 26 Ave",1001580794,,,,,,,,,116,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2005,
88,Unimproved Land,,,,,20161214,127A - Greenbelt,1001899856,,,,,,1824 182 St,,,127,,20180320,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2016,
89,Unimproved Land,,,,,20151028,128B - Neighbourhood Park,1001845271,,,,1001845270,,18460 24 Ave,,,128,,20180320,,,"128B - Neighbourhood Park, 18460 24 Ave",,,0,General Area,,,,,,,,,,,,,,,,,,2015,
90,Unimproved Land,,,,,20130327,"118A - Greenbelt,3071 188 St",1001582179,,,,,,,,,,,20130327,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
91,Unimproved Land,,,,,20131213,"58A - Neighbourhood Park, 19061 76 ave",1001721548,,,,,,,,,,,20131213,,,,,,0,General Area,,,,,,,,,,,,,,,,,,,
92,Unimproved Land,,,,,20130315,"69H - Greenbelt,19496 65 Ave",1001580848,,,,,,,,,069,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2009,
93,Unimproved Land,,,,,20130315,"59A - Neighbourhood Park,19409 76 Ave",1001580799,,,,,,,,,059,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,1999,
94,Unimproved Land,,,,,20130315,"70L - Greenbelt,5804 125 St",1001580784,,,,,,,,,070,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2012,
95,Unimproved Land,,,,,20140528,"70L - Greenbelt,5804 125 St",1001751334,,,,,,,,,070,,,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2014,
96,Unimproved Land,,,,,20130315,"Unwin Park,6876 132 St",1001580759,,,,,,,,,061,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2010,
97,Unimproved Land,,,,,20130315,"Unwin Park,6966 132 St",1001580811,,,,,,,,,061,,20130315,,,,,,0,General Area,,,,,,,,,,,,,,,,,,0,
98,Unimproved Land,,,,,20131017,121R - Greenbelt,1001879036,,,,,,,,,,,20180320,,,121R - Greenbelt,,,0,General Area,,,,,,,,,,,,,,,,,,2015,
99,Unimproved Land,,,,,20130325,"22F - Neighbourhood Park, 9677 137 St",1001581754,,,,,,,,,,,20130325,,,,,,0,General Area,,,,,,,,,,,,,,,,,,2013,
