,ANCILLARYROLE,ENABLED,CHAMBER_TYPE,CHAMBER_TYPE2,FACILITYID,LEGACYID,NODE_NO,CHAMBER_DISCHARGE,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
271,,1,0,Pressure Reducing,1000280629,22978,1640902825,,In Service,1202-5030-00,2003,Surrey,2848 164 ST,,Final AB,,,,,,20031223,20170413,49.053997,-122.767997
272,,1,0,Pressure Reducing,1000280630,22979,1640903050,,In Service,1202-5020-00,2003,Surrey,16375 30B AVE,On 164 ST,Final AB,,,,,,20031223,20170413,49.058083,-122.767971
273,,1,0,Pressure Reducing,1000264930,23806,1840102375,,In Service,1204-6080-00,2005,Surrey,24 AVE & 184 ST,,Final AB,,,,,,20051014,20170413,49.045737,-122.713175
274,,1,2,Valve,1000261102,8499,1197508653,,In Service,,,Metro Vancouver,,,,,,,,,20020429,20170413,49.159642,-122.889832
275,,1,2,Valve,1000260963,8771,1212608658,,In Service,,2002,Metro Vancouver,,,,,,,,,20020430,20170413,49.159740,-122.885653
276,,1,2,Valve,1000260965,8773,1236408044,,In Service,,2002,Metro Vancouver,,,,,,,,,20020430,20170413,49.148621,-122.879123
277,,1,2,Valve,1000261025,8419,1276708020,,In Service,,,Surrey,,,,,,,,,20020429,20170413,49.148173,-122.868009
278,,1,2,Valve,1000261292,5407,1817509621,,In Service,,,Surrey,,,,,,,,,20020426,20170413,49.176866,-122.718657
279,,1,2,Valve,1000261293,5408,1828509624,,In Service,,,Surrey,,,,,,,,,20020426,20170413,49.176926,-122.715639
280,,1,2,Valve,1000261827,7371,1439110420,,In Service,,,Surrey,,,,,,,,,20020429,20170413,49.191534,-122.823067
281,,1,2,Valve,1000262044,1839,1439010822,,In Service,,,Surrey,,,,,,,,,20020424,20170413,49.198809,-122.823057
282,,1,2,Valve,1000262061,1864,1438910555,,In Service,,,Surrey,,,,,,,,,20020424,20170413,49.193972,-122.823109
283,,1,2,Valve,1000262150,1698,1391910416,,In Service,,,Surrey,,,,,,,,,20020424,20170413,49.191486,-122.836099
284,,1,2,Valve,1000262466,18814,1455802098,,In Service,,,Metro Vancouver,,,,,,,,,20020503,20170413,49.040942,-122.818999
