,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
188,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
189,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
190,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
191,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
192,,,,,,,,,Local Commercial,,Crescent Beach,Approved,Local Area Plan,1999
193,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
194,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
195,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
196,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
197,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
198,,,,,,,,,Institutional,,Crescent Beach,Approved,Local Area Plan,1999
199,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
200,,,,,,,,,Beach,,Crescent Beach,Approved,Local Area Plan,1999
201,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
202,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
203,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
204,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
205,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
206,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
207,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
208,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
209,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
210,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
211,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
212,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
213,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
214,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
215,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
216,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
217,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
218,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
219,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
220,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
221,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
222,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
223,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
224,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
225,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
226,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
227,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
228,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
229,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
230,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
231,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
232,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
233,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
234,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
235,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
236,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
237,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
238,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
239,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
240,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
241,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
242,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
243,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
244,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
245,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
246,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
247,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
248,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
249,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
250,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
251,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
252,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
253,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
254,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
255,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
256,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
257,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
258,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
259,,,,,,,,,Institutional,,Crescent Beach,Approved,Local Area Plan,1999
260,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
261,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
262,,,,,,,,,Conservation,,Crescent Beach,Approved,Local Area Plan,1999
263,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
264,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
265,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
266,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
267,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
268,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
269,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
270,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
271,,,,,,,,,Institutional,,Crescent Beach,Approved,Local Area Plan,1999
272,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
273,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
274,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
275,,,,,,,,,Conservation,,Crescent Beach,Approved,Local Area Plan,1999
276,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
277,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
278,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
279,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
280,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
281,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
282,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
283,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
284,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
285,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
286,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
287,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
288,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
289,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
290,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
291,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
292,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
293,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
294,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
295,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
296,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
297,,,,,,,,,Village Commercial,,Crescent Beach,Approved,Local Area Plan,1999
298,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
299,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
300,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
301,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
302,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
303,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
304,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
305,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
306,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
307,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
308,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
309,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
310,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
311,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
312,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
313,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
314,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
315,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
316,,,,,,,,,Urban Residential,,Crescent Beach,Approved,Local Area Plan,1999
