,CATCHMENT_TYPE,CATCHMENT_TYPE_2,COMMENTS,CRE_DATE,MOD_DATE,NAME
479,1,Sub Catchments,,,,549
480,1,Sub Catchments,,,,122
481,1,Sub Catchments,,,,443
482,1,Sub Catchments,,,,123
483,1,Sub Catchments,,,,112
484,1,Sub Catchments,,,,419
485,1,Sub Catchments,,,,456
486,1,Sub Catchments,,,,469
487,1,Sub Catchments,,,,169
488,1,Sub Catchments,,,,104
489,1,Sub Catchments,,,,412
490,1,Sub Catchments,,,,413
491,1,Sub Catchments,,,,495
492,1,Sub Catchments,,,,391
493,1,Sub Catchments,,,,512
494,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,20111201,20111202,Highland
495,1,Sub Catchments,Remapped based on Kerr Wood Leidal Assessment for CR Catchment,,20111202,205
496,1,Sub Catchments,,,,267
497,1,Sub Catchments,,,,121
498,1,Sub Catchments,,,,213
499,1,Sub Catchments,,,,233
500,1,Sub Catchments,,,,217
501,1,Sub Catchments,,,,234
502,1,Sub Catchments,,,,209
503,1,Sub Catchments,,,,258
504,1,Sub Catchments,,,,256
505,1,Sub Catchments,,,,250
506,1,Sub Catchments,,,,228
