,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,CURB_TYPE,CURB_TYPE2,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROFILE,PROJECT_NO,STATUS,WARRANTYDATE,YR,YTD_COST
8629,,,,20140228,2,Rollover,1001604832,Final AB,,,,Concrete,20140228,Surrey,,7812-0218-00,In Service,,2014,
8630,,,,20140228,2,Rollover,1001732154,,,,,,20140228,Surrey,,,,,,
8631,,,,20140919,3,Pavement Edge,1001781047,EC,,,,Asphalt,20140919,Surrey,,7811-0067-00,Proposed,,2014,
8632,Digitized Via 2012 Air Photo,,,20121017,2,Rollover,1001556913,,,,,Concrete,20130808,Surrey,,,In Service,,,
8633,,,,20110111,0,Barrier,1001186336,Final AB,1001186330,,,Concrete,20120710,Surrey,,7809-0247-00,In Service,,2011,
8634,,,,20170710,1,Extruded,1001939878,Final AB,,,,Asphalt,20170710,Surrey,,1714-7040-00,In Service,,2016,
8635,Digitized Via 2011 Air Photo,,,20120705,2,Rollover,1001417509,,,,,Concrete,20141124,Surrey,,,In Service,,,
8636,,,,20120112,0,Barrier,1001226259,Final AB,,,,Concrete,20140317,Surrey,,1710-8010-00,In Service,,2011,
8637,Digitized Via 2013 Air Photo,,,20140331,2,Rollover,1001738407,,,,,Concrete,20140331,Surrey,,,In Service,,,
8638,HAS LOCKING BOLLARDS BOTH SIDES,,,20100218,3,Pavement Edge,1001150343,Final AB,,,,Asphalt,20101208,Surrey,,1706-3090-00,In Service,,2009,
8639,,,,20100218,0,Barrier,1001150322,Final AB,,,,Concrete,20101208,Surrey,,1706-3090-00,In Service,,2009,
8640,Digitized from 2015 Ortho photos,,,20160111,0,Barrier,1001852963,Initial AB,1001851867,0,,Concrete,20160111,Surrey,,,In Service,,,0
8641,,,,20150715,0,Barrier,1001830930,Final AB,,,,Concrete,20150715,Surrey,,3809-6040-00,In Service,,2015,
8642,Digitized via 2014 image,,,20150715,0,Barrier,1001830917,,,,,Concrete,20150715,Surrey,,,In Service,,,
8643,,,,20150715,0,Barrier,1001830916,Final AB,,,,Concrete,20150715,Surrey,,3809-6040-00,In Service,,2015,
8644,Digitized Via 2014 Air Photo,,,20150715,2,Rollover,1001830937,,,,,Concrete,20170407,Surrey,,,In Service,,,
8645,,,,20120109,0,Barrier,1001225914,,,,,Concrete,20120109,Surrey,,,In Service,,,
8646,,,,20150309,0,Barrier,1001811855,,,,,Concrete,20150309,Surrey,,,In Service,,,
8647,Digitized via 2014 image,,,20150715,0,Barrier,1001831004,,,,,Concrete,20150715,Surrey,,,In Service,,,
