,SIGN_TYPE,SIGN_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,SIGN_MESSAGE,SIGN_POST_TYPE,PARK_ENTRANCE,SIGN_SIZE,ROAD_NAME,ADDRESS,SIGN_INVENTORY_NO,PLATE_NO,ROAD_TYPE,DIRECTION_FACING,SIDE_OF_ROAD,PLATE_TYPE_CODE,POST_TYPE_CODE,INSTALLED_BY,DATE_INSTALLED,TAB1_CODE,TAB2_CODE,WORK_ORDER,PLATE_DESCRIPTION,POST_TYPE_DESCRIPTION,TAB1_DESCRIPTION,TAB2_DESCRIPTION,PASS_REFLECTIVITY,DISPLACEMENT_ROADCODE,DISPLACEMENT_DISTANCE,DISPLACEMENT_DIRECTION,DISPLACEMENT_ADDRESS,PSEUDO_ADDRESS,ADDRESS_OVERRIDE,DATE_TESTED,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,STRUCTURES_INSPECTION_ROUTE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
806,,,1001145881,,,,,,,,,4003147,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Latimer Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.130906,-122.691025
807,,,1001145882,,,,,,,,,4003158,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Latimer Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.137043,-122.690547
808,0,,1001154175,,,,,,,175A St,,,,,,,RB151,,,,,,,,,,,,,,,,,,,In Service,7809-0099-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100330,20110630,49.006375,-122.737350
809,0,,1001154176,,,,,,,175A St,,,,,,,RB151,,,,,,,,,,,,,,,,,,,In Service,7809-0099-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100330,20110630,49.006980,-122.737184
810,0,,1001154177,,,,,,,,,,,,,,RB151,,,,,,,,,,,,,,,,,,,In Service,7809-0099-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100330,20110630,49.007595,-122.737012
811,0,,1001154180,,,,,,,175A St,,,,,,,RB151,,,,,,,,,,,,,,,,,,,In Service,7809-0099-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100330,20110630,49.009252,-122.736732
812,0,,1001154181,,,,,,,175A St,,,,,North Bound,,WA50,,,,,,,,,,,,,,,,,,,In Service,7809-0099-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100330,20110630,49.005714,-122.737319
813,,,1001145687,,,,,,,,,5008116,,,EB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Campbell River Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20100625,49.016508,-122.745525
814,,,1001145688,,,,,,,,,5008115,,,WB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Campbell River Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20100625,49.016782,-122.736261
815,0,,1001141150,,,,,,,,,,,,,,WA1022,,,,,,,,,,,,,,,,,,,In Service,1R02,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091124,20100408,49.175826,-122.723695
816,0,,1001154860,,,,,,,,,,,,,,RA1,,,,,,,,,,,,,,,,,,,In Service,1708-7040-00,2010,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100408,20100408,49.176911,-122.723695
817,0,,1001134396,,,,,,,,,,,,,,WA50,,,,,,,,,,,,,,,,,,,In Service,7806-0350-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091014,20091109,49.155653,-122.823941
818,0,,1001134397,,,,,,,,,,,,,,RB51L,,,,,,,,,,,,,,,,,,,In Service,7806-0350-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091014,20091109,49.155606,-122.823655
819,0,,1001134399,,,,,,,,,,,,,,WA8R,,,,,,,,,,,,,,,,,,,In Service,7806-0350-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091014,20091109,49.155538,-122.824032
820,0,,1001134400,,,,,,,,,,,,,,RB51B,,,,,,,,,,,,,,,,,,,In Service,7806-0350-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20091014,20091109,49.155604,-122.824409
821,,,1001145756,,,,,,,,,2009467,,,WB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.177032,-122.740293
822,,,1001145771,,,,,,,,,2009487,,,EB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.191427,-122.820252
823,,,1001145778,,,,,,,,,2009475,,,EB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.198689,-122.820117
824,,,1001145789,,,,,,,,,3007723,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Sandell Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.138004,-122.867720
825,,,1001145799,,,,,,,,,1008427,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Roebuck Road,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.193767,-122.856281
826,,,1001145808,,,,,,,,,1008422,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.166028,-122.834438
827,,,1001145815,,,,,,,,,3007699,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.142106,-122.823611
828,,,1001145822,,,,,,,,,5003297,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.062827,-122.800982
829,,,1001145842,,,,,,,,,2014906,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,Welcome to Tynehead Community Back to Back signs in BLUE,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,20090604,49.176465,-122.756747
830,,,1001145855,,,,,,,,,5008099,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.025126,-122.756937
831,,,1001145863,,,,,,,,,4003140,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.135578,-122.712291
832,,,1001145870,,,,,,,,,5008096,,,NB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.046577,-122.713189
833,,,1001145885,,,,,,,,,2009459,,,SB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.159896,-122.690724
834,0,,1001151706,,,,,,,,,,,,,,RB1*60,,,,,,,,,,,,,,,,,,,In Service,1705-3110-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100303,20100303,49.044777,-122.792780
835,0,,1001151630,,,,,,,,,,,,,,WC1,,,,,,,,,,,,,,,,,,,In Service,1705-3110-00,2009,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,Final AB,,,,,,20100303,20100303,49.053308,-122.803320
836,,,1001145700,,,,,,,,,5008119,,,EB,,,,,,,,,Heritage Marker,,,,,,,,,,,,,,,,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,,,,,,,,,,,49.031388,-122.855200
