,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
3328,PTN LTS 30-33 PL LMP34428,LMP34429,7894-0322,3rd Party Agreement,E123-0018,Municipal Right of Way,Registered,3,1997
3329,PTN LTS 2-7 PL LMP11730,LMP11732,7892-0144,3rd Party Agreement,E113-0014,Municipal Right of Way,Registered,0,1993
3330,PTN LTS 1 & 4 PL 86801,86802,7889-0640,3rd Party Agreement,E113-0015,Municipal Right of Way,Registered,0,1990
3331,PTN LT 3 PL LMP34503,LMP34505,7894-0258,3rd Party Agreement,E113-0024,Municipal Right of Way,Registered,0,1997
3332,PTN LT 1 PL LMP33588 (PL LMS3049),LMP33589,7995-0058,3rd Party Agreement,E113-0022,Municipal Right of Way,Registered,0,1997
3333,PTN L 1 SEC 22 TP1 PLBCP6947,BCP6948,7803-0317,3rd Party Agreement,E113-0030,Municipal Right of Way,Registered,VAR,2004
3334,PTN LTS 1 & 2 PL LMP13783,LMP13784,7891-0357,3rd Party Agreement,E113-0019,Municipal Right of Way,Registered,13,1993
3335,PTN LTS 5 & 6 PL BCP9820,BCP9822,7803-0130-00,3rd Party Agreement,E103-0016,Municipal Right of Way,Registered,3.0,2004
3336,PTN LTS 25 & 31 PL BCP5489,BCP05491,7800-0233,3rd Party Agreement,E103-0015,Municipal Right of Way,Registered,3,2003
3337,PTN LT A PL BCP37163,BCP37164,7806-0492-00,3rd Party Agreement,E083-0013,Municipal Right of Way,Registered,7.9,2008
3338,PTN LTS 13-15 PL BCP37476,BCP39937,7806-0192-00,3rd Party Agreement,E073-0039,Municipal Right of Way,Registered,3.0,2009
3339,PTN LTS 37-43 PL BCP16013,BCP16014,7804-0024,3rd Party Agreement,E073-0019,Municipal Right of Way,Registered,VAR,2005
3340,PTN LTS 1-8 PL BCP49755,BCP49756,7810-0121-00,3rd Party Agreement,E073-0052,Municipal Right of Way,Registered,VAR,2011
3341,PTN LTS 1-5 PL BCP44437,BCP44438,7804-0325-00,3rd Party Agreement,E073-0046,Municipal Right of Way,Registered,VAR,2010
3342,PTN LT 1 PL LMP 43488,LMP43489,7898-0141,3rd Party Agreement,E063-0011,Municipal Right of Way,Registered,6,1999
3343,PTN LT 2 PL LMP48781,BCP5747,7802-0229,3rd Party Agreement,E063-0029,Municipal Right of Way,Registered,3,2003
3344,OVER REM B PL17896,N/A,7889-0120,Restrictive Covenant,E073-0001,Municipal Right of Way,Registered,47.25,1990
3345,PTN LTS 17-19 PL BCP18674,BCP18675,7803-0433,3rd Party Agreement,E063-0051,Municipal Right of Way,Registered,VAR,2005
3346,PTN LTS 21 & 22 PL BCP18674,BCP18675,7803-0433,3rd Party Agreement,E063-0051,Municipal Right of Way,Registered,VAR,2005
3347,PTN LT 2 PL BCP12610,BCP12611,7803-0391,3rd Party Agreement,E063-0036,Municipal Right of Way,Registered,3.0,2004
3348,L 3-5 & 26-34 SEC 15 TP 2 BCP3589,BCP03590,7801-0235,3rd Party Agreement,E0063-0047,Municipal Right of Way,Registered,VAR,2003
3349,PTN LTS 7-11 PL BCP17974,BCP17975,7896-0091,3rd Party Agreement,E063-0049,Municipal Right of Way,Registered,3.0,2005
3350,PTN LTS 20-23 PL 72451,72452,7885-572,3rd Party Agreement,E053-0005,Municipal Right of Way,Registered,18,1986
3351,PTN LTS 5 & 6 PL 72451,72452,7885-572,3rd Party Agreement,E053-0007,Municipal Right of Way,Registered,1.8,1986
3352,PTN LT 2 PL BCP30988,BCP30989,7804-0435-00,3rd Party Agreement,E053-0058,Municipal Right of Way,Registered,2.0,2007
3353,PTN LTS 4-6 PL 86962,86963,7887-5460,3rd Party Agreement,E053-0019,Municipal Right of Way,Registered,1.8,1990
3354,PTN LT 34 PL 81342,81345,7887-0550,3rd Party Agreement,E043-0017,Municipal Right of Way,Registered,1.8,1989
3355,PTN LTS 12 - 14 PL 83381(LT 2 PL 87922),83382,7887-0880,3rd Party Agreement,E043-0023,Municipal Right of Way,Registered,1.8,1989
3356,"PTN LTS 9,10 & 12 PL LMP4209",LMP4210,7889-0666,3rd Party Agreement,E043-0044,Municipal Right of Way,Registered,1.8,1992
3357,PTN LTS 1-5 PL LMP37035,LMP37036,7892-0273,3rd Party Agreement,E044-0056,Municipal Right of Way,Registered,3,1998
3358,PTN LT 16 PL 77601,77602,7886-2912,3rd Party Agreement,E043-0005,Municipal Right of Way,Registered,1.8,1988
3359,PTN LT 7 PL 5163,,A347,Restrictive Covenant,E033-0004,Municipal Right of Way,Registered,36.5,1981
3360,PTN REM LT 5 PL 5163,56946,9409,3rd Party Agreement,E033-0006,Municipal Right of Way,Registered,3,1979
3361,OVER LTS 51-53 PL 67509 (NOW LTS 51 & A),,7884-2060,Restrictive Covenant,E034-0018,Municipal Right of Way,Registered,0,1987
3362,PTN LT 54 PL 75536,75539,7885-0130,3rd Party Agreement,E023-0017,Municipal Right of Way,Registered,1.2,1987
3363,PTN LT 52 PL 75536,75539,7885-0130,3rd Party Agreement,E023-0017,Municipal Right of Way,Registered,1.2,1987
3364,PTN LT 46 PL 75536,75539,7885-0130,3rd Party Agreement,E023-0017,Municipal Right of Way,Registered,1.2,1987
3365,PTN LTS 24-26 PL 75536,75537,7885-0130,3rd Party Agreement,E023-0015,Municipal Right of Way,Registered,0,1987
3366,PTN LT 43 PL 75536,75539,7885-0130,3rd Party Agreement,E023-0017,Municipal Right of Way,Registered,1.2,1987
3367,"PTN LT 326, 327 PL62290(NW1674 & NW1678)",62671,A497,3rd Party Agreement,E023-0020,Municipal Right of Way,Registered,0,1981
3368,PTN LT 1 PL 73212 (LMS414),73213,7886-0480,3rd Party Agreement,E023-0027,Municipal Right of Way,Registered,0,1986
3369,LT A PL 80467 (LMS26),,7887-4370,Restrictive Covenant,E023-0033,Municipal Right of Way,Registered,0,1989
3370,PTNS LTS 23 - 27 PL 69850,69852,7883-127,3rd Party Agreement,E023-0005,Municipal Right of Way,Registered,0,1985
3371,PTN LT 32 PL 75536,75539,7885-0130,3rd Party Agreement,E023-0017,Municipal Right of Way,Registered,1.2,1987
3372,PTN LT 19 PL 69850,69853,7883-127,3rd Party Agreement,E023-0004,Municipal Right of Way,Registered,1.2,1985
3373,OVER Rem N 330 FT 1 PL 1187 (NW2715),,7887-0450,Restrictive Covenant,E024-0009,Municipal Right of Way,Registered,0,1987
3374,PTN LT 105 PL 54348,70741,7885-444,3rd Party Agreement,E023-0024,Municipal Right of Way,Registered,13.4,1985
3375,PTN LMS2471,LMP24833,7893-0308,3rd Party Agreement,E124-0024,Municipal Right of Way,Registered,9,1995
3376,PTN LT 7 PL10943,LMP1424,7892-0005,3rd Party Agreement,E124-0027,Municipal Right of Way,Registered,0,1991
3377,PTN LT 3 PL LMP35904 & LT 327 PL 66957,LMP35905,7896-0291,3rd Party Agreement,E124-0025,Municipal Right of Way,Registered,9,1997
3378,PTN LTS 41 & 42 PL 81410,81411,7888-0203,3rd Party Agreement,E114-0003,Municipal Right of Way,Registered,3,1989
3379,"PTN LT 1 PL 9266, BCP39264",BCP39265,7806-0263-00,3rd Party Agreement,E114-0048,Municipal Right of Way,Registered,VAR,2008
3380,PTN LT 1 PL BCP51270,BCP51271,7810-0173-00,3rd Party Agreement,E114-0059,Municipal Right of Way,Registered,3.0,2012
3381,PTN LTS 7-9 & 14 PL LMP43933,LMP43935,7898-0316,3rd Party Agreement,E104-0016,Municipal Right of Way,Registered,0,1999
3382,PTN LT 3 PL BCP51270,EPP29884,7810-0173-00,3rd Party Agreement,E114-0061,Municipal Right of Way,Registered,5.0,2013
