,DESCRIPTION,PLAN_NO,PROJECT_NO,PURPOSE,ROW_NO,ROW_TYPE2,STATUS,WIDTH,YR
3681,PTN LTS 19-21 PL BCP13257,BCP13258,7802-0127,3rd Party Agreement,E068-0008,Municipal Right of Way,Registered,3.0,2004
3682,PTN LT 1 BCP15256 & LT 1 PL 86131,BCP15257,7802-0338,3rd Party Agreement,E028-0007,Municipal Right of Way,Registered,10.0,2005
3683,PTN LTS 19 & 20 PL BCP12721,BCP26060,7806-0053-00,3rd Party Agreement,E118-0013,Municipal Right of Way,Registered,9.14,2006
3684,PTN LT 11 PL BCP17694,BCP21749,7810-0154-00,3rd Party Agreement,E118-0014,Municipal Right of Way,Registered,5.486,2010
3685,OVER LT 37 PL 56637,,9123,Restrictive Covenant,E089-0001,Municipal Right of Way,Registered,0,1979
3686,PTN LTS 1-4 PL LMP34914 (PL LMP42020),LMP35074,7894-0018,3rd Party Agreement,E079-0014,Municipal Right of Way,Registered,0,1997
3687,LT 1 PL 80034,,7886-6850,Restrictive Covenant,E079-0005,Municipal Right of Way,Registered,0,1988
3688,LTS 1-3 PL 80034 (& LMS1183),,7886-6850,Restrictive Covenant,E079-0007,Municipal Right of Way,Registered,0,1988
3689,PTN LT 40 PL 62099,62100,A136,3rd Party Agreement,E079-0003,Municipal Right of Way,Registered,6.1,1981
3690,PTN LT 10 PL 80511,80512,7888-0362,3rd Party Agreement,E078-0016,Municipal Right of Way,Registered,1.8,1989
3691,PTN LTS 8 & 9 PL LMP5925,LMP5926,7890-0459,3rd Party Agreement,E078-0063,Municipal Right of Way,Registered,1.8,1992
3692,PTN LT 1-4 PL 76601,76602,7887-1260,3rd Party Agreement,E078-0002,Municipal Right of Way,Registered,1.8,1987
3693,PTN LT 17-22 PL 76601,76602,7887-1260,3rd Party Agreement,E078-0002,Municipal Right of Way,Registered,0,1987
3694,PTN LT 19 PL 33007,56798,9129,Restrictive Covenant,E079-0011,Municipal Right of Way,Registered,6.095,1979
3695,PTN LT 14 PL LMP2570,LMP2571,7887-5890,3rd Party Agreement,E078-0048,Municipal Right of Way,Registered,3,1991
3696,PTN LT 29 PL BCP20976,BCP32530,7805-0282-00,3rd Party Agreement,E069-0005,Municipal Right of Way,Registered,VAR,2007
3697,PTN LTS 85-93 PL BCP27707,BCP27709,7805-0003,3rd Party Agreement,E059-0004,Municipal Right of Way,Registered,3.0,2006
3698,PTN LT 47 PL 62708 (LT 1 RP78978),62709,A248,3rd Party Agreement,E029-0001,Municipal Right of Way,Registered,3,1981
3699,PTN LT 2 PL BCP24816,BCP24817,7805-0196-00,3rd Party Agreement,E039-0007,Municipal Right of Way,Registered,4.0,2006
3700,E 5m LT A PL 68294 (LMS492),,2054-002,Restrictive Covenant,E099-0003,Municipal Right of Way,Registered,5,1982
3701,L 1 - 6 BCP21923,BCP21924,7804-0204,3rd Party Agreement,E019-0030,Municipal Right of Way,Registered,VAR,2006
3702,OVER LT 2 PL 82989,,7888-0503,Restrictive Covenant,E019-0009,Municipal Right of Way,Registered,0,1989
3703,PTN LTS 11-14 PL BCP31641,BCP31647,7805-0143-00,3rd Party Agreement,E009-0014,Municipal Right of Way,Registered,VAR,2007
3704,PTN LT 2 PL 81688,81689,7887-6430,3rd Party Agreement,E080-0059,Municipal Right of Way,Registered,3,1989
3705,PTN LTS 12 & 13 PL LMP29391,LMP40075,7894-0368,3rd Party Agreement,E070-0039,Municipal Right of Way,Registered,2,1998
3706,PTN LT 29 PL 76012 (PLS 76012 & 87302),,7889-0351,Restrictive Covenant,E070-0018,Municipal Right of Way,Partial Release,0,1987
3707,"LT6 PL4082(LT1-5 PL87302,REM 29 PL76012)",,7889-0351,Restrictive Covenant,E080-0003,Municipal Right of Way,Registered,0,1987
3708,PTN LTS 16-25 & 34 LMP30205 (LMP36751),LMP30206,7892-0633,3rd Party Agreement,E070-0032,Municipal Right of Way,Registered,3,1996
3709,"PTN LT 29 PL76012(LMP11424, 83240, 87302",,7889-0351,Restrictive Covenant,E070-0018,Municipal Right of Way,Partial Release,0,1987
3710,PTN LTS 1 & 2 PL 79115 (NW3258),79117,7888-0122,3rd Party Agreement,E070-0005,Municipal Right of Way,Registered,0,1988
3711,PTN LT 22 PL LMP28736,LMP28737,7891-0292,3rd Party Agreement,E070-0031,Municipal Right of Way,Registered,1.8,1996
3712,"PTN LTS 30,35,37-40 PL 78002",78003,7887-2940,3rd Party Agreement,E070-0003,Municipal Right of Way,Registered,1.8,1988
3713,OVER LT 1 PL 85091,,7889-0181,Restrictive Covenant,E060-0034,Municipal Right of Way,Registered,0,1990
3714,N 9m LTS A-E PL 81867,,7888-0204,Restrictive Covenant,E070-0015,Municipal Right of Way,Registered,9,1989
3715,PTN LTS 11-16 PL 81865,81866,7888-0204,3rd Party Agreement,E070-0016,Municipal Right of Way,Registered,1.8,1989
3716,PTN LT 7 PL LMP2177,LMP2178,7890-0003,3rd Party Agreement,E060-0042,Municipal Right of Way,Registered,3,1991
3717,OVER LTS 6-11 PL LMP11495,,7891-0384,Restrictive Covenant,E060-0047,Municipal Right of Way,Registered,0,1993
3718,PTN LT27 PL61625 (FORMERLY LT3 PL10691),,2054-002,Restrictive Covenant,E060-0001,Municipal Right of Way,Registered,0,1980
3719,PTN LT 27 PL 61625,,2054-002,Restrictive Covenant,E060-0002,Municipal Right of Way,Registered,44.78,1980
3720,PTN LT 1 PL 76717,76718,7886-4892,3rd Party Agreement,E050-0011,Municipal Right of Way,Registered,1.8,1987
3721,PTN LT 15 PL LMP3764,LMP3765,7889-0497,3rd Party Agreement,E050-0058,Municipal Right of Way,Registered,1.8,1992
3722,LT 1 PL 82872,,7888-0630,Restrictive Covenant,E050-0023,Municipal Right of Way,Registered,0,1989
3723,PTN LT 5 PL 75045,75046,7886-4891,3rd Party Agreement,E050-0002,Municipal Right of Way,Registered,1.8,1987
3724,"PTN LTS 14, 15 & 18 PL 76717",76718,7886-4892,3rd Party Agreement,E050-0011,Municipal Right of Way,Registered,1.8,1987
3725,PTN LT 12 PL 71800 (LTS A & B PL 84061),72495,7884-217,Restrictive Covenant,E040-0006,Municipal Right of Way,Registered,45,1986
3726,"PTN LTS 2-5 PL 71800 (LMS1038, LMS1504)",72495,7884-217,Restrictive Covenant,E040-0006,Municipal Right of Way,Registered,25,1986
3727,PTN LTS 7-10 PL 71800 (LMS2149 & NW3437),72495,7884-217,Restrictive Covenant,E040-0006,Municipal Right of Way,Registered,26,1986
3728,PTN LT 1 PL 71800 (NW2944),72495,7884-217,Restrictive Covenant,E040-0006,Municipal Right of Way,Registered,0,1986
3729,OVER LTS 213-215 PL 68012 (LMS1084),,7881-560,Restrictive Covenant,E040-0002,Municipal Right of Way,Registered,0,1984
3730,PTN LTS 2-4 PL 79031,79032,7887-0871,3rd Party Agreement,E040-0010,Municipal Right of Way,Registered,1.8,1988
3731,"PTN LTS 27, 28, 29 PL BCP93",BCP94,7801-0137,3rd Party Agreement,E030-0024,Municipal Right of Way,Registered,3,2004
3732,PTN LT 53 BLK 4 PL 529A,LMP52857,1797-316,Restrictive Covenant,E019-0025,Municipal Right of Way,Registered,11.5,2002
3733,PTN LTS A & B PL BCP36095,BCP36096,7806-0117-00,3rd Party Agreement,E020-0026,Municipal Right of Way,Registered,4.5,2008
3734,PTN LT 8 PL LMP9196 & LT 9 PL LMP9194,LMP9202,7891-0182,3rd Party Agreement,E020-0008,Municipal Right of Way,Registered,1.8,1993
3735,PTN LTS 4 & 5 PL BCP31641,BCP31650,7805-0143-00,3rd Party Agreement,E009-0003,Municipal Right of Way,Registered,12.224,2007
3736,PTN LT 2 PL BCP39778,BCP39779,7808-0020-00,3rd Party Agreement,E010-0016,Municipal Right of Way,Registered,8.8,2009
3737,PTN LTS 1 & 2 PLS LMP35304 & BCP39778,BCP39779,7808-0020-00,3rd Party Agreement,E010-0018,Municipal Right of Way,Registered,VAR,2009
3738,PTN LT 1 PL BCP8656,BCP08657,7803-0085,3rd Party Agreement,E020-0020,Municipal Right of Way,Registered,1.8,2003
3739,PTN LT A PL LMP32720,BCP27235,7805-0299-00,3rd Party Agreement,E010-0020,Municipal Right of Way,Registered,4.0,2006
3740,PTN LTS 62-65 & 84-86 PL 84577,84579,7889-0016,3rd Party Agreement,E120-0003,Municipal Right of Way,Registered,3,1990
3741,PTN LT 1 PL LMP36512,LMP36514,7896-0085,3rd Party Agreement,E120-0007,Municipal Right of Way,Registered,3,1998
3742,PTN LTS 1-3 PL 75648,75649,7887-0900,3rd Party Agreement,E110-0009,Municipal Right of Way,Registered,1.8,1987
3743,PTN LTS 1 & 2 PL 70108,70109,7885-075,3rd Party Agreement,E110-0006,Municipal Right of Way,Registered,3,1985
3744,PTN LT 15 PL LMP6662,LMP6664,7891-0190,3rd Party Agreement,E110-0019,Municipal Right of Way,Registered,1.8,1992
3745,"PTN LTS 4, 5 PL LMP5371",LMP5373,7889-0408,3rd Party Agreement,E080-0063,Municipal Right of Way,Registered,3,1992
3746,"PTN LTS 4, 5 PL LMP5371",LMP5373,7889-0408,3rd Party Agreement,E080-0062,Municipal Right of Way,Registered,3,1992
3747,PTN LT 3 PL EPP22935,EPP22937,7807-0101-00,3rd Party Agreement,E080-0076,Municipal Right of Way,Registered,VAR,2014
3748,PTN LT 15 LMP2728,LMP2729,7888-0474,Restrictive Covenant,E070-0049,Municipal Right of Way,Registered,0,1991
3749,PTN LT 2 PL LMP43854,LMP48355,7893-0483,3rd Party Agreement,E080-0061,Municipal Right of Way,Registered,0,1999
3750,PTN LTS 6 & 7 PL 86739,86740,7889-0004,Restrictive Covenant,E070-0027,Municipal Right of Way,Registered,4.5,1990
3751,PTN LTS 13-16 PL 78092,78093,7887-3620,3rd Party Agreement,E070-0009,Municipal Right of Way,Registered,3,1988
3752,PTN LT 2 PL BCP50538,BCP50539,7804-0099-00,3rd Party Agreement,E070-0063,Municipal Right of Way,Registered,3.0,2012
3753,PTN LTS 3-10 PL LMP28867,LMP28868,7890-0245,3rd Party Agreement,E070-0024,Municipal Right of Way,Registered,3,1996
3754,PTN LTS 46-48 PL LMP28867,LMP28868,7890-0245,3rd Party Agreement,E070-0024,Municipal Right of Way,Registered,3,1996
3755,PTN LT 8 PL LMP38840,LMP38841,7896-0290,3rd Party Agreement,E070-0041,Municipal Right of Way,Registered,1.8,1998
3756,PTN LTS 10 & 11 PL LMP38840,LMP38841,7896-0290,3rd Party Agreement,E070-0041,Municipal Right of Way,Registered,3,1998
3757,"PTN LTS 5,7,8 & 15 PL 86839",86840,7889-0087,3rd Party Agreement,E060-0060,Municipal Right of Way,Registered,3,1990
3758,E 10.5m LTS 1-8 PL 85045,,7888-0221,Restrictive Covenant,E060-0038,Municipal Right of Way,Registered,10.5,1990
3759,PTN LT 1 PL 78572 (LT 2 PL LMP25941),,7887-4140,Restrictive Covenant,E070-0011,Municipal Right of Way,Registered,8.87,1988
3760,PTNS LTS 10 & 11 PL 83282,83283,7888-0390,3rd Party Agreement,E060-0015,Municipal Right of Way,Registered,1.8,1989
3761,PTN LTS 22 & 23 PL 78051,78052,7887-2570,3rd Party Agreement,E060-0005,Municipal Right of Way,Registered,1.8,1988
3762,PTN LTS 8 & 9 PL LMP27325,LMP27326,7894-0429,3rd Party Agreement,E060-0063,Municipal Right of Way,Registered,3,1996
3763,PTN LTS 42-45 PL LMP34520,LMP34521,7996-0158,Restrictive Covenant,E060-0079,Municipal Right of Way,Registered,0,1998
3764,PTN LTS 1 & 2 PL LMP37099,LMP38117,7896-0211,3rd Party Agreement,E060-0087,Municipal Right of Way,Registered,1.8,1998
3765,PTN LT 1 PL 79676,79677,7888-0036,3rd Party Agreement,E050-0020,Municipal Right of Way,Registered,3,1988
3766,PTN LT 4 PL LMP2610,LMP2611,7890-0069,3rd Party Agreement,E050-0056,Municipal Right of Way,Registered,0,1991
3767,"PTN LTS 1,3-17 & 20-29 PL BCP07467",BCP07468,7803-0079-00,3rd Party Agreement,E050-0070,Municipal Right of Way,Registered,VAR,2003
3768,PTN LT A PL BCP15810 (BCS1414),BCP15811,7804-0004,3rd Party Agreement,E050-0066,Municipal Right of Way,Registered,VAR,2005
3769,PTN LT 2 PL LMP10617,LMP10618,7892-0170,3rd Party Agreement,E050-0042,Municipal Right of Way,Registered,1.8,1993
3770,PTN LTS 1-3 PL LMP37182,LMP37371,7996-0111,Restrictive Covenant,E050-0048,Municipal Right of Way,Registered,6,1999
3771,PTN LT 1 PL LMP42236 (PL LMS4021),LMP42237,7896-0300,3rd Party Agreement,E050-0053,Municipal Right of Way,Registered,17,1999
3772,PTN LTS 1-4 PL LMP37182,LMP37183,7896-0111,3rd Party Agreement,E050-0054,Municipal Right of Way,Registered,3,1998
3773,PTN LTS 11 & 12 PL 2135,78275,7887-2512,3rd Party Agreement,E030-0010,Municipal Right of Way,Registered,1.8,1988
3774,PTN LT 336 PL 56058,56320,9368,3rd Party Agreement,E030-0003,Municipal Right of Way,Registered,2.134,1979
3775,PTN LT 4 PL BCP23171,BCP23172,7805-0083-00,3rd Party Agreement,E030-0027,Municipal Right of Way,Registered,VAR,2006
3776,PTN LTS 1 & 2 PL 82478,82479,7888-0491,3rd Party Agreement,E020-0004,Municipal Right of Way,Registered,1.8,1989
3777,PTN LTS 1 & 3 PL 82711,82712,7888-0015,Restrictive Covenant,E020-0006,Municipal Right of Way,Registered,6.001,1989
3778,PTN LT 2 PL 82711,82712,7888-0015,3rd Party Agreement,E020-0005,Municipal Right of Way,Registered,3,1989
3779,PTN LT 2 PL BCP46912,BCP46913,7806-0332-00,3rd Party Agreement,E010-0022,Municipal Right of Way,Registered,VAR,2010
3780,PTN LT 1 PL BCP42199,BCP42200,7806-0503-00,3rd Party Agreement,E010-0021,Municipal Right of Way,Registered,1.8,2009
3781,PTN LT 12 PL 61209 (PL NW2371),70595,7885-142,Restrictive Covenant,E121-0009,Municipal Right of Way,Registered,0,1985
3782,"PTN LTS 15, 16 & 21 PL 83789",83790,7887-1010,3rd Party Agreement,E121-0021,Municipal Right of Way,Registered,3,1989
3783,PTN LTS 7-9 PL LMP39788,LMP39789,7997-0257,Restrictive Covenant,E110-0022,Municipal Right of Way,Registered,0,1998
3784,PTN LT 1 PL 80438 (LT 3 PL LMP15941),80439,7888-0164,3rd Party Agreement,E121-0012,Municipal Right of Way,Registered,1.8,1989
3785,PTN LTS 19 & 20 PL 75852,75853,7886-3271,3rd Party Agreement,E121-0011,Municipal Right of Way,Registered,3,1987
3786,PTN (35.24m WIDE) LT 25-26 PL 64343,64321,2054-002,Restrictive Covenant,E081-0002,Municipal Right of Way,Registered,35.24,1982
3787,PTN LT 1 PL BCP5679,BCP06211,7897-0051,3rd Party Agreement,E071-0051,Municipal Right of Way,Registered,3,2004
3788,PTN LTS 300-302 PL 61987,61988,A281,3rd Party Agreement,E071-0007,Municipal Right of Way,Registered,3,1981
3789,PTNS LTS 126-129 PL 60792,60793,2054-002,3rd Party Agreement,E071-0004,Municipal Right of Way,Registered,3,1980
3790,PTN LTS 4 & 5 PL LMP37143,LMP37144,7892-0628,3rd Party Agreement,E071-0041,Municipal Right of Way,Registered,0,1998
3791,PTN LT 397 & 399 PL 63042,N/A,2054-002,3rd Party Agreement,E061-0001,Municipal Right of Way,Registered,2,1981
3792,LT 205 PL 60792,,A205,Restrictive Covenant,E071-0006,Municipal Right of Way,Registered,9.15,1980
3793,ALL OF LT A PL76059,PL76059,7801-0020,3rd Party Agreement,E050-0063,Municipal Right of Way,Registered,0,1987
3794,PTN LT 2 PL LMP36520,LMP36977,7896-0077,3rd Party Agreement,E061-0033,Municipal Right of Way,Registered,1.8,1998
3795,PTN LT B PL 4688,BCP9715,7802-0380,3rd Party Agreement,E051-0024,Municipal Right of Way,Registered,3,2005
3796,"OVER LTS 1-3 PL 79964 (PL 81306,LMS1904)",,7886-5270,Restrictive Covenant,E051-0003,Municipal Right of Way,Registered,0,1987
3797,"PTN LMS1093, LMS2323, LMS1119, LMP473",,7889-0164,Restrictive Covenant,E041-0032,Municipal Right of Way,Registered,0,1997
3798,PTN LT A PL EPP28011,EPP32578,7811-0329-00,3rd Party Agreement,E031-0016,Municipal Right of Way,Registered,7.3,2013
3799,"PTN LTS 1, 2  PL NWP88116",NWP88117,7889-0473,3rd Party Agreement,E031-0009,Municipal Right of Way,Registered,1.8,1991
3800,"PTN LTS 3,9 & 10 PL LMP14824",LMP14825,7893-0050,3rd Party Agreement,E021-0008,Municipal Right of Way,Registered,0,1994
3801,PTN LTS 1 & 2 PL BCP32056,BCP32057,7803-0274-00,3rd Party Agreement,E020-0021,Municipal Right of Way,Registered,5.0,2007
3802,PTN LT 1 PL BCP32496,BCP32497,7804-0284-00,3rd Party Agreement,E000-0003,Municipal Right of Way,Registered,1.8,2007
3803,PTN LTS 2-4 PL LMP9788,LMP9790,7891-0473,3rd Party Agreement,E131-0011,Municipal Right of Way,Registered,0,1993
3804,PTN LTS 3 & 4 PL EPP45649,EPP46939,7810-0167-00,3rd Party Agreement,E131-0027,Municipal Right of Way,Registered,VAR,2015
3805,PTN LTS 2-4 PL 79732,79733,7887-284,3rd Party Agreement,E121-0047,Municipal Right of Way,Registered,3,1988
3806,PTN LTS 2-5 PL 76846,76847,7887-3740,3rd Party Agreement,E121-0004,Municipal Right of Way,Registered,0,1988
3807,PTN LT 3 PL LMP29186,LMP29187,7894-0183,3rd Party Agreement,E121-0043,Municipal Right of Way,Registered,3,1996
3808,PTN LTS 1 & 2 PL LMP10112,LMP10113,7891-0270,3rd Party Agreement,E121-0041,Municipal Right of Way,Registered,5,1993
3809,OVER LTS 1-3 PL LMP7688,,7891-0221,Restrictive Covenant,E121-0030,Municipal Right of Way,Registered,0,1992
3810,PTN LT 72 PL 85706,85707,7888-0662,3rd Party Agreement,E121-0037,Municipal Right of Way,Registered,1.8,1990
3811,PTN LT 20 PL LMP7688,LMP7689,7891-0221,Restrictive Covenant,E121-0032,Municipal Right of Way,Registered,7.5,1992
3812,OVER LTS 16-20 PL LMP7688,,7891-0221,Restrictive Covenant,E121-0033,Municipal Right of Way,Registered,0,1992
3813,PTN LT 1 PL LMP39786,LMP39787,7997-0228,3rd Party Agreement,E121-0049,Municipal Right of Way,Registered,1,1998
3814,PTN LT 9 PL LMP13926,LMP13927,7892-0471,3rd Party Agreement,E121-0040,Municipal Right of Way,Registered,1.8,1993
3815,PTN LT 7 PL 75392,75393,7886-524,3rd Party Agreement,E111-0003,Municipal Right of Way,Registered,3,1987
3816,PTN LTS 1 & 2 PL LMP24100,LMP20914,7892-0055,3rd Party Agreement,E081-0014,Municipal Right of Way,Registered,3,1994
3817,PTN LTS 3 & 4 PL 27608,BCP27610,7803-0143-00,3rd Party Agreement,E071-0065,Municipal Right of Way,Registered,VAR,2006
3818,PTN LT B PL LMP49582,LMP49585,7800-0007,3rd Party Agreement,E071-0045,Municipal Right of Way,Registered,0,2001
3819,PTN LTS 4 & 5 PL BCP48466,BCP48467,7807-0258-00,3rd Party Agreement,E071-0075,Municipal Right of Way,Registered,VAR,2011
3820,PTN LT 3 PL LMP4316,LMP4317,7891-0017,3rd Party Agreement,E071-0048,Municipal Right of Way,Registered,1.8,1992
3821,PTN LT 21 PL 83822,83823,7888-0021,3rd Party Agreement,E071-0014,Municipal Right of Way,Registered,3,1989
3822,PTN E 3m LTS 27 & 28 PL 73651,73652,7886-3240,3rd Party Agreement,E071-0005,Municipal Right of Way,Registered,3,1987
3823,PTN LTS 1 & 2 PL EPP71356,EPP71514,7816-0072-00,3rd Party Agreement,E071-0082,Municipal Right of Way,Registered,1.2,2017
3824,PTN LTS 19-26 PL BCP603,BCP605,7801-0251,3rd Party Agreement,E071-0050,Municipal Right of Way,Registered,3,2002
3825,PTN LTS 11-14 PL 77560,77561,7887-4420,3rd Party Agreement,E071-0008,Municipal Right of Way,Registered,1.8,1988
3826,PTN LTS A & B PL 73502,73503,7885-541,3rd Party Agreement,E061-0015,Municipal Right of Way,Registered,1.8,1987
3827,PTN LTS 1 & 2 PL LMP14584,LMP14585,7890-0351,3rd Party Agreement,E061-0029,Municipal Right of Way,Registered,0,1994
3828,PTN LT 376 PL 56437,56684,,3rd Party Agreement,E061-0027,Municipal Right of Way,Registered,0,1979
3829,"PTN LT 15 PL 166458, LTS 6,7 PL12723",LMP 52498,7892-0197,3rd Party Agreement,E051-0025,Municipal Right of Way,Registered,0,2002
3830,LTS 15 & 16 PL 78645,,7887-5290,Restrictive Covenant,E041-0010,Municipal Right of Way,Registered,0,1988
3831,PTN LT 8 PL 84310,,7889-0107,Restrictive Covenant,E041-0016,Municipal Right of Way,Registered,6,1990
3832,PTN LTS 1-7 PL 84310,84311,7889-0107,3rd Party Agreement,E041-0017,Municipal Right of Way,Registered,1.8,1990
3833,PTN LT 10 PL LMP29329,LMP29330,7893-0435,3rd Party Agreement,E041-0033,Municipal Right of Way,Registered,3,1996
3834,S 8.6m LT 3 PL 86654,,7889-0106,Restrictive Covenant,E041-0019,Municipal Right of Way,Registered,8.6,1990
3835,PTN LT 2 PL 70712 (LMS1914),70713,7884-308,3rd Party Agreement,E021-0002,Municipal Right of Way,Registered,3,1985
3836,PTN LT 1 PL 77224 (NW3221 & LMP29929),77226,7887-1120,3rd Party Agreement,E122-0012,Municipal Right of Way,Registered,0,1988
3837,LTS 1 & 2 PL 77224 (NW2847 & NW3221),,7887-1120,Restrictive Covenant,E122-0011,Municipal Right of Way,Registered,0,1988
3838,PTN LTS 295 & 296 PL 57494,57495,9445,3rd Party Agreement,E121-0010,Municipal Right of Way,Registered,5,1979
3839,"PTN LTS 4,9,15 LMP15918 & LT 1 LMP16722",LMP15919,7891-0212,Restrictive Covenant,E122-0019,Municipal Right of Way,Registered,0,1994
3840,PTN LTS 4 & 5 PL LMP16088,LMP16089,7892-0063,3rd Party Agreement,E112-0016,Municipal Right of Way,Registered,3,1994
3841,PTN LTS 5-7 PL LMP31763,LMP31764,7894-0338,3rd Party Agreement,E112-0019,Municipal Right of Way,Registered,0,1997
3842,BACK 6m LTS 25 & 26 PL 66229,,2054-002,Restrictive Covenant,E101-0001,Municipal Right of Way,Registered,6,1983
3843,PTN LT 9 PL LMP43364,LMP43366,7891-0324,Restrictive Covenant,E0082-0002,Municipal Right of Way,Registered,13.5,1999
3844,PTN LTS 1-3 PL BCP38503,BCP38504,7805-0244-00,3rd Party Agreement,E072-0022,Municipal Right of Way,Registered,1.8,2008
3845,PTN LT 1 PL BCP31255,BCP31256,7806-0338,3rd Party Agreement,E072-0020,Municipal Right of Way,Registered,8.0,2008
3846,PTN LTS 8 & 9 PL LMP14669,LMP14670,7887-5530,3rd Party Agreement,E072-0003,Municipal Right of Way,Registered,0,1994
3847,PTN LTS 24-31 PL LMP14669,LMP14670,7887-5530,3rd Party Agreement,E072-0003,Municipal Right of Way,Registered,3,1994
3848,PTN LT 2 PL LMP45101,LMP45103,7897-0335,3rd Party Agreement,E072-0010,Municipal Right of Way,Registered,3,2000
3849,"PTN LTS 5,6,7 & 8 PL EPP32015",EPP32016,7812-0037-00,3rd Party Agreement,E072-0048,Municipal Right of Way,Registered,3.0,2013
3850,PTN LT 2 PL EPP73781,EPP73781,,3rd Party Agreement,,Municipal Right of Way,Registered,6,2017
3851,"PTN LTS 1,2 & 11 PL EPP28473",EPP29707,7810-0245-00,3rd Party Agreement,E072-0041,Municipal Right of Way,Registered,VAR,2013
3852,PTN LT Rem 1 PL 10110,77753,7886-4770,3rd Party Agreement,E062-0023,Municipal Right of Way,Registered,5,1988
3853,N 3m LTS 8-12 PL 69304,,2054-002,3rd Party Agreement,E072-0001,Municipal Right of Way,Registered,3,1985
3854,PTN LT 9 PL 71630,71631,7885-279,3rd Party Agreement,E062-0018,Municipal Right of Way,Registered,3,1986
3855,PTN LT 70 PL 62603,LMP24993,7890-0433,Restrictive Covenant,E062-0035,Municipal Right of Way,Registered,0,1995
3856,"PTN LTS 4, 5 & 6 PL 67925",67926,2054-002,Restrictive Covenant,E062-0013,Municipal Right of Way,Registered,0,1984
3857,PTNS LTS 1 & 2 PL 67925,67926,2054-002,Restrictive Covenant,E062-0013,Municipal Right of Way,Registered,0,1984
3858,PTN LT A PL LMP40322 & LT 44 PL 46677,LMP40324,7998-0060,3rd Party Agreement,E061-0034,Municipal Right of Way,Registered,15,1998
3859,PTN LT 1 PL LMP19012 & LT A PL LMP29525,LMP29526,7894-0225,3rd Party Agreement,E062-0039,Municipal Right of Way,Registered,0,1996
3860,"OVER REM 1 PL3709(LMP13209,LMS1639&1680)",,7885-273,Restrictive Covenant,E052-0011,Municipal Right of Way,Registered,0,1986
3861,PTN LTS 159 & 160 PL 53743,53744,9151,3rd Party Agreement,E052-0001,Municipal Right of Way,Registered,3.048,1977
3862,PTN PL LMS1424,LMP11993,7889-0580,Restrictive Covenant,E042-0034,Municipal Right of Way,Registered,0,1993
3863,PTN LT 1 PL LMP1828,LMP1829,7888-0246,3rd Party Agreement,E032-0043,Municipal Right of Way,Registered,4.5,1991
3864,PTN LTS 15-19 PL LMP8972,LMP8973,7891-0192,3rd Party Agreement,E032-0027,Municipal Right of Way,Registered,1.8,1993
3865,PTN LT 60 & LT B PL 14725,BCP43478,7808-0002-00,3rd Party Agreement,E022-0032,Municipal Right of Way,Registered,7.32,2010
3866,LT 11 PL 11488,,5687-5110,Restrictive Covenant,E032-0015,Municipal Right of Way,Registered,30.47,1988
3867,PTN LT 1 PL 81072,81074,7887-3250,3rd Party Agreement,E022-0022,Municipal Right of Way,Registered,3,1989
3868,"PTN LTS 1, 3-6 PL 85935 (LMS1622)",86936,7889-0296,Restrictive Covenant,E022-0017,Municipal Right of Way,Registered,0,1990
3869,"PTN LT 3 PL 86935, LMS1365 & LMS1622",LMP16453,6789-0296,3rd Party Agreement,E022-0025,Municipal Right of Way,Registered,0,1994
3870,PTN LT 1 PL BCP43006,BCP43007,7807-0034-00,3rd Party Agreement,E022-0031,Municipal Right of Way,Registered,VAR,2009
3871,PTN LT 1 PL 79125 & PL LMS1564,LMP18565,6593-0232,3rd Party Agreement,E022-0026,Municipal Right of Way,Registered,0,1994
3872,PTN REM 179 PL 61412(PL 85996 & LMS46),68382,2054-002,3rd Party Agreement,E022-0004,Municipal Right of Way,Registered,0,1984
3873,PTN LT 1 PL BCP39750,BCP39753,7808-0078-00,3rd Party Agreement,E022-0033,Municipal Right of Way,Registered,3.0,2009
3874,LT A PL 80792,81598,7887-0590,Restrictive Covenant,E022-0009,Municipal Right of Way,Registered,0,1989
3875,PTN LT 1 PL 78255 & LT 2 PL 20477,82213,7887-3830,3rd Party Agreement,E012-0020,Municipal Right of Way,Registered,2,1989
3876,PTN LTS A & D PL BCP31151,BCP31153,7805-0283-00,3rd Party Agreement,E012-0035,Municipal Right of Way,Registered,VAR,2007
3877,PTN LT 2 PL LMP41130,LMP41131,7896-0310,3rd Party Agreement,E122-0039,Municipal Right of Way,Registered,4,1999
3878,PTN  PL NW2269,61707,7892-0297,3rd Party Agreement,E122-0030,Municipal Right of Way,Registered,5,1993
3879,PTN LT 4 PL LMP6048,LMP6470,7891-0329,3rd Party Agreement,E122-0023,Municipal Right of Way,Registered,1.4,1992
3880,"PTN LTS 29-31,33 &36-43 PL LMP6048",LMP6049,6091-0329,Restrictive Covenant,E122-0020,Municipal Right of Way,Registered,0,1992
3881,PTN LT 44 PL LMP6048,LMP6049,6091-0329,Restrictive Covenant,E122-0020,Municipal Right of Way,Registered,1.95,1992
3882,OVER LT 3 PL 83670 (LTS 1-3 PL BCP5539),,7887-3087,Restrictive Covenant,E112-0009,Municipal Right of Way,Registered,0,1990
3883,"PTN LTS 3, 4 LMP45740",LMP45741,7897-0303,3rd Party Agreement,E112-0034,Municipal Right of Way,Registered,3,2000
