,ANCILLARYROLE,ENABLED,VALVE_TYPE,VALVE_TYPE2,FACILITYID,LEGACYID,NODE_NO,VALVE_SIZE,MAKE,MODEL,CORROSION_PROTECTED,DISASTER_CONTROL,GEARED,PRESSURE_ZONE_VALVE,RESTRAINED,NO_TURNS,STATUS,OPERATING_STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ROTATION,Latitude,Longitude
7838,,1,2,Gate,1001844743,,1266510651,200,,,No,,,,No,,In Service,Open,7812-0192-00,2017,Surrey,,,Final AB,,,,,,20171117,20171117,,49.195780,-122.870690
7839,,1,2,Gate,1000267110,138,1265910670,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020423,20171117,,49.196119,-122.870860
7840,,1,2,Gate,1001844738,,1271810645,200,,,No,,,,No,,In Service,Open,7812-0192-00,2017,Surrey,,,Final AB,,,,,,20171117,20171117,90,49.195681,-122.869249
7841,,1,2,Gate,1000261805,2104,1442411197,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020424,,,49.205598,-122.822094
7842,,1,2,Gate,1000261799,2098,1430911077,150,,,,,,,,22,In Service,Open,,,Surrey,14312 Park Dr.,,,,,,,,20020424,20161018,,49.203420,-122.825273
7843,,1,2,Gate,1000263422,17998,1296801959,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.038488,-122.862766
7844,,1,2,Gate,1000279511,17303,1461302363,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,20160106,,49.045731,-122.817458
7845,,1,2,Gate,1000263424,18000,1306901959,,,,,,,,,,In Service,Open,,,Surrey,,,,,,,,,20020503,,,49.038483,-122.859985
7846,,1,2,Gate,1000279679,17446,1534802691,150,,,,,,,,,In Service,Open,420/422,1964,Surrey,,,Final AB,,,,,,20020503,20071221,,49.051632,-122.797205
7847,,0,2,Gate,1000279682,17449,1539302634,150,,,,,,,,,Abandoned,Closed,,,Surrey,,,,,,,,,20020503,20081210,,49.050604,-122.795977
7848,,1,2,Gate,1000263427,18003,1291201662,200,,,,,,,,,In Service,Open,7885-142,1989,Surrey,,,Final AB,,,,,,20020503,20070717,,49.033122,-122.864308
