,ANCILLARYROLE,ENABLED,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,LOCATION,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CONDITION_NOTATION,LAST_INSP_DATE,ROTATION,STRUCTURE_TYPE,SPAN_SUPPORTS,CRE_DATE,MOD_DATE,STATUS,YR,OWNER,PROJECT_NO,GIS_ENTRY_STAGE,COMMENTS,Latitude,Longitude
105,0,1,0,Air Valve Assembly,1000838853,,,,,,,,,,,,,20071211,,In Service,,,,,,49.191942,-122.903204
106,0,1,7,P Trap,1001885422,,,,,,,,,,90,,,20160729,20160729,In Service,2008,Metro Vancouver,S-3022,Final AB,,49.097630,-122.883391
107,0,1,0,Air Valve Assembly,1001793317,,,,,,,,,,,,,20141030,20141030,In Service,2014,Surrey,4709-5070-00,Final AB,,49.213488,-122.870491
108,0,1,0,Air Valve Assembly,1001793453,,,,,,,,,,,,,20141030,20141030,In Service,2014,Surrey,4709-5070-00,Final AB,,49.213488,-122.861588
109,0,1,7,P Trap,1001944689,,,,,,,,,,,,,20170829,20170829,In Service,2017,Private,7811-0312-00,Final AB,,49.031625,-122.830457
110,0,1,7,P Trap,1001885351,,,,,,,,,,90,,,20160729,20160729,In Service,2004,Surrey,,Final AB,,49.145544,-122.816066
111,0,1,6,Pipe Bridge,1001174257,,,,,,,,,,,,,20100929,20100929,In Service,1996,Surrey,7892-0106-00,Final AB,,49.067338,-122.804883
112,0,1,0,Air Valve Assembly,1001130189,,,,,,,,,,,,,20090813,20150312,In Service,2005,Metro Vancouver,S-3038,Final AB,,49.212020,-122.794543
113,0,1,5,Odour Control Device,1001732554,,Semiahmoo P.S.,,,,,,,,,,,20140304,20150116,In Service,2014,Surrey,4712-5030-00,Final AB,,49.016708,-122.778571
114,0,0,5,Odour Control Device,1001886572,,,,,,,,,,,,,20160811,,Proposed,,Surrey,4706-4530-00,EC,,49.054823,-122.779634
115,0,1,7,P Trap,1001980869,,,,,,,,,,,,,20180118,20180118,In Service,2017,Surrey,7815-0157-00,Initial AB,,49.053127,-122.778962
116,0,1,0,Air Valve Assembly,1000848334,,16104 76A Ave,,,,,,,,,,,20080417,20130128,In Service,,,,,,49.141570,-122.775990
