,ACCESSIBILITY,ACCESSIBILITY_DETAILS,ARCHITECT,BARCODE,BCH_METER_NUMBER,BC_HYDRO_ACCOUNT_NO,BUILDING_ADDITION,BUILDING_APPRAISAL,BUILDING_INSERVICE_COST,CARETAKER_NAME,CIVIC_FACILITY,COMMENTS,CONTACT_PERSON,CONTACT_PERSON_PHONE_NO,DESCRIPTION,ELECTRICAL_CONTRACTOR,FACILITYID,FACILITY_SERVICE_CLASS,FACILITY_SUBTYPE,FACILITY_TYPE,FLOOR_LEVELS,GAS_MAIN_SHUT_OFF_LOCATIONS,GENERAL_CONTRACTOR,HANDICAPPED_ACCESSIBLE,HOUSE_NO,INSERVICE_DATE,LEGAL_LOT_DESCRIPTION,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MECHANICAL_CONTRACTOR,MODEL,NAME,NATURAL_GAS_ACCOUNT_NO,NO_OF_PARKING_SPACES,OPERATING_HOURS,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OTHER_MAIN_SHUT_OFF_LOCATIONS,PARKING_LEVELS,PARK_LEGACY_ID,PARK_OWNERSHIP,POWER_MAIN_SHUT_OFF_LOCATIONS,PSAB_APPRAISAL_COST,PSAB_APPRAISAL_DATE,ROAD_CODE,SERIAL_NO,SQ_FOOTAGE,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,USE,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WATER_MAIN_SHUT_OFF_LOCATIONS,WEBLINK,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
73,,,,,,,,,,,No,,,,,,1001228900,,Elementary,School,,,,,14986,,,14986 98 AVE,,,023,,,Bonaccord Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/bonaccord/Pages/default.aspx,,
74,,,,,,,,,,,No,,,,,,1001248373,,Elementary,School,,,,,2064,,,2064 154 ST,,,124,,,Jessie Lee Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/jessie/Pages/default.aspx,,
75,,,,,,,,,,,No,,,,,,1001283485,,Private,School,,,,,2656,,,2656 160 ST,,,115,,,Southridge Senior Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.southridge.bc.ca/,,
76,,,,,,,,,,,No,,,,,,1001707068,,Elementary,School,,,,,6887,,,6887 194A ST,,,069,,,Katzie Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/katzie/Pages/default.aspx,,
77,,,,,,,,,,,No,,,,,,1001314171,,Private,School,,,,,2239,,,2239 152 ST,,,123,,,White Rock Christian Academy,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.wrca.bc.ca,,
78,,,,,,,,,,,No,,,,,,1001355641,,Administration,School,,,,,10183,,,10183 152A ST,,,24,,,Guildford Learning Centre,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/guildfordlearningcentre/Pages/default.aspx,,
79,,,,,,,,,,,No,,,,,,1001305499,,Secondary,School,,,,,9484,,,9484 122 ST,,,030,,,L.A. Matheson Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/lamath/Pages/default.aspx,,
80,,,,,,,,,,,No,,,,,,1001253057,,Elementary,School,,,,,12928,,,12928 66A AVE,,,061,,,Martha Jane Norris Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/marthajanenorris/Pages/default.aspx,,
81,,,,,,,,,,,No,,,,,,1001246708,,Secondary,School,,,,,6380,,,6380 132 ST,,,071,,,Panorama Ridge Secondary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/panoramaridge/Pages/default.aspx,,
82,,,,,,,,,,,No,,,,,,1001346435,,Elementary,School,,,,,6325,,,6325 142 ST,,,072,,,McLeod Road Traditional Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/mcleodroad/About/ContactInfo/Pages/default.aspx,,
83,,,,,,,,,,,No,,,,,,1001267692,,Elementary,School,,,,,1730,,,1730 142 ST,,,122,,,Bayridge Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/bayridge/Pages/default.aspx,,
84,,,,,,,,,,,No,,,,,,1001246794,,Elementary,School,,,,,7318,,,7318 143 ST,,,052,,,M.B. Sanford Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/sanford/Pages/default.aspx,,
85,,,,,,,,,,,No,,,,,,1001254227,,Elementary,School,,,,,14525,,,14525 110A AVE,,,013,,,Ellendale Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/ellendale/Pages/default.aspx,,
86,,,,,,,,,,,No,,,,,,1001262103,,Elementary,School,,,,,7079,,,7079 148 ST,,,063,,,T.E. Scott Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/tescott/Pages/default.aspx,,
87,,,,,,,,,,,No,,,,,,1001352182,,Elementary,School,,,,,14835,,,14835 108A ST,,,013,,,Riverdale Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/riverdale/Pages/default.aspx,,
88,,,,,,,,,,,No,,,,,,1001314171,,Private,School,,,,,2239,,,2239 152 ST,,,123,,,White Rock Christian Academy,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.wrca.bc.ca,,
89,,,,,,,,,,,No,,,,,,1001336667,,Administration,School,,,,,2320,,,2320 KING GEORGE BLVD,,,124,,,South Surrey / White Rock Learning Centre ,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/whiterocklc/Pages/default.aspx,,
90,,,,,,,,,,,No,,,,,,1001334198,,Private,School,,,,,2656,,,2656 160 ST,,,115,,,Southridge Junior School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.southridge.bc.ca,,
91,,,,,,,,,,,No,,,,,,1001306909,,Elementary,School,,,,,17148,,,17148 26 AVE,,,116,,,Pacific Heights Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/pacificheights/Pages/default.aspx,,
92,,,,,,,,,,,No,,,,,,1001348659,,Post-Secondary,School,,,,,,,,5500 180 ST,,,087,,,Kwantlen Polytechnic University (Tech Campus),,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.kpu.ca/tech,,
93,,,,,,,,,,,No,,,,,,1001297561,,Elementary,School,,,,,2795,,,2795 184 ST,,,117,,,East Kensington Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/eastkensington/Pages/default.aspx,,
94,,,,,,,,,,,No,,,,,,1001317142,,Elementary,School,,,,,6256,,,6256 184 ST,,,078,,,Don Christian Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/donchristian/Pages/default.aspx,,
95,,,,,,,,,,,No,,,,,,1001315623,,Elementary,School,,,,,18599,,,18599 65 AVE,,,068,,,Hillcrest Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/hillcr/Pages/default.aspx,,
96,,,,,,,,,,,No,,,,,,1001235096,,Private,School,,,,,15250,,,15250 54A AVE,,,084,,,Roots and Wings Montessori,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.rootsandwingsbc.com/,,
97,,,,,,,,,,,No,,,,,,1001241821,,Private,School,,,,,10677,,,10677 124 ST,,,010,,,Khalsa School Old Yale Campus,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.khalsaschoolcanada.com/default/index.php?pageType=locations,,
98,,,,,,,,,,,No,,,,,,1001333782,,Elementary,School,,,,,12878,,,12878 62 AVE,,,071,,,Panorama Park Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/panoramapark/Pages/default.aspx,,
99,,,,,,,,,,,No,,,,,,1001314917,,Elementary,School,,,,,13055,,,13055 HUNTLEY AVE,,,031,,,Betty Huff Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/bettyhuff/Pages/default.aspx,,
100,,,,,,,,,,,No,,,,,,1001269418,,Elementary,School,,,,,13266,,,13266 70B AVE,,,061,,,W.E. Kinvig Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/wekinvig/Pages/default.aspx,,
101,,,,,,,,,,,No,,,,,,1001913161,,Post-Secondary,School,,,,,13450,,,10153 KING GEORGE BLVD,,,021,,,Simon Fraser University,,,,,,,,,,,,,,,,,In Service,,,,,,,,,http://www.centralcity.ca/contact/,,
102,,,,,,,,,,,No,,,,,,1001333710,,Elementary,School,,,,,13460,,,13460 62 AVE,,,071,,,North Ridge Elementary School,,,,,,,,,,,,,,,,,In Service,,,,,,,,,https://www.surreyschools.ca/schools/northridgeelementary/Pages/default.aspx,,
