,DEVICE_TYPE,DEVICE_TYPE2,FACILITYID,LEGACYID,MATERIAL,YEAR_BUILT,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
623,7,Speed Hump,1001885346,,Asphalt,,,In Service,,,Surrey,,,,,,,,,20160729,20160729,49.119263,-122.743637
624,7,Speed Hump,1001735941,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20140320,,49.112343,-122.815558
625,7,Speed Hump,1001741533,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20140415,,49.133249,-122.807553
626,7,Speed Hump,1001741537,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20140415,,49.133311,-122.811765
627,7,Speed Hump,1001740998,,Asphalt,,,Proposed,7812-0244-00,,Surrey,,,EC,,,,,,20140411,,49.046782,-122.767527
628,7,Speed Hump,1001741535,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20140415,,49.133255,-122.809731
629,7,Speed Hump,1001741534,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20140415,,49.133254,-122.808604
630,7,Speed Hump,1001817872,,Asphalt,,,Proposed,7813-0035-00,2015,Surrey,,,EC,,,,,,20150414,20150414,49.123385,-122.886369
631,7,Speed Hump,1001075126,189,Asphalt,2006,0,In Service, ,2006,Surrey,189,TC05-58,Final AB,,,,,,,20150727,49.206238,-122.861508
632,7,Speed Hump,1001741538,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20140415,,49.133246,-122.806954
633,7,Speed Hump,1001741536,,Asphalt,,,In Service,,,Surrey,,Digitized Via 2013 Air Photo,,,,,,,20140415,,49.133304,-122.810726
634,5,Roundabout,1001832753,,Concrete,2014,,In Service,1710-7050-00,2014,Surrey,82 Ave & 160 St,,Final AB,,,,,,20150728,20150728,49.151836,-122.778839
635,7,Speed Hump,1001753444,,Asphalt,,,Proposed,7812-0009-00,,Surrey,,,EC,,,,,,20140617,20140617,49.196703,-122.833367
636,7,Speed Hump,1001707269,,Asphalt,,,In Service,7811-0330-00,2014,Surrey,,,Final AB,,,,,,20140730,20140730,49.116914,-122.767667
637,3,Raised Crosswalk,1001777650,,Asphalt,2014,,In Service,3810-6070-00,2014,Surrey,,,Final AB,,,,,,20140826,20140826,49.123673,-122.834364
638,7,Speed Hump,1001776326,,Asphalt,,,In Service,7811-0166-00,2014,Surrey,,,Final AB,,,,,,20140820,,49.117518,-122.867104
639,7,Speed Hump,1001776327,,Asphalt,,,In Service,7811-0166-00,2014,Surrey,,,Final AB,,,,,,20140820,,49.117928,-122.867026
640,7,Speed Hump,1001699318,,Asphalt,,,In Service,7811-0166-00,2014,Surrey,,,Final AB,,,,,,20140820,20140820,49.116821,-122.867105
641,5,Roundabout,1001754739,,Concrete,2011,,In Service,1710-7020-00,2011,Surrey,,,Final AB,,,,,,20140627,20140827,49.126365,-122.685274
642,3,Raised Crosswalk,1001567010,,Asphalt,2013,,In Service,7812-0015-00,2013,Surrey,,,Final AB,,,,,,20131002,20140827,49.128036,-122.684018
643,7,Speed Hump,1001781048,,Asphalt,,,Proposed,7811-0067-00,2014,Surrey,,,EC,,,,,,20140919,20140919,49.112336,-122.813058
644,7,Speed Hump,1001559203,,Asphalt,,,In Service,7811-0129-00,2014,Surrey,,,Final AB,,,,,,20141203,20141203,49.139984,-122.822700
645,7,Speed Hump,1001201505,,Asphalt,,,In Service,7807-0351-00,2012,Surrey,,,Final AB,,,,,,20140502,20141203,49.119155,-122.715362
646,3,Raised Crosswalk,1001075222,136,Asphalt,2014,0,In Service,1707-8010-00,2008,Surrey,136, ,Final AB,,,,,,20150220,20150220,49.148237,-122.787176
647,7,Speed Hump,1001790770,,Asphalt,,,In Service,7812-0151-00,2015,Surrey,,,Final AB,,,,,,20150914,20150914,49.113236,-122.829938
648,7,Speed Hump,1001790771,,Asphalt,,,In Service,7812-0151-00,2015,Surrey,,,Final AB,,,,,,20150914,20150914,49.113235,-122.830673
