,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_UNITS
272,6841-138 St,Tuesday,Hyland Creek Village,,,38
273,13725-74A Ave,Tuesday,Park Place Estates,,,60
274,14280 19A Ave,Monday,Tiffany Lane,20121012,20131017,25
275,15103 - 20 Ave.,Monday,Peninsula Estates Housing Society,20081014,20081014,52
276,15156 20 Ave,Monday,Rosegate,20121012,20131017,7
277,3399 151 ST,Monday,Laureates Walk,20141114,20141114,40
278,5889 - 152 St.,Tuesday,Sullivan,20081014,20130912,35
279,2733-Parkway Dr.,Monday,Parkway,,,26
280,15236-36 Ave,Monday,The Sundance II,,,103
281,15450-101A Ave,Thursday,Canterbury,,,56
282,3039 156 St,Monday,Niche,20131121,20131121,40
283,10051-155 St,Thursday,Bishop Mews,,,66
284,15488-101A Ave,Thursday,Cobblefield Lane,,,60
285,15677-24 Ave,Monday,Summerlea Pointe,,,44
286,15833 - 26 Ave,Monday,The Brownstones,20121012,20131017,97
287,8250-158 St,Wednesday,Montrose,,20131023,54
288,15868-85 Ave,Wednesday,Chestnut Grove,,,50
289,8717-159 St,Wednesday,Springfield Gardens,,,54
290,15989 Mountain View Dr,Monday,Hearthstone,20161229,20161229,
291,15968-82 Ave,Wednesday,Shelborne lane,,,70
292,16016-82 Ave,Wednesday,Maple Court,,,58
293,16233-82 Ave,Wednesday,The Orchards,,,84
294,8747 162 St,Wednesday,Fleetwood Grove,20161229,20161229,
295,2453 163 St,Monday,Azure West,20131023,20131023,50
296,8355 - 164 St,Wednesday,Silverwood,20130912,20130912,36
297,6177-169 St,Friday,Northview Walk,,,16
298,16920-80 Ave,Friday,Stoneridge,,,36
299,17516-4 Ave,Friday,Douglas Point,,,78
300,6988 177 St,Friday,Charlton,20121008,20121008,15
301,18368-Fraser Hwy,Friday,"Sarai, Randeep",,,11
302,18701-66 Ave,Friday,Encore At Hillcrest,,,200
303,18777 - 68A Ave,Friday,Compass,20081014,20081014,139
304,7088-191 St,Friday,Montanta,,,114
305,19480 - 66 Ave,Friday,Two Blue II,20081014,20131023,69
306,7332 194A St,Friday,Clayton Village,20121008,20121008,30
