,ADJACENT_TO_SCHOOL,BARCODE,BASE_PATH_LENGTH_FT,COMMENTS,COMMUNITY,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,DRAINAGE_UPGRADE,FACILITYID,GANG_MOWING_ROUTE,HOUSE_NO,INFIELD_TYPE,INSERVICE_COST,INSERVICE_DATE,IRRIGATED,JOINT_USE_AGREEMENT,LAST_SURFACE_REPLACEMENT,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OVERLAP,PARK,PARK_FACILITY_TYPE,PARK_OWNERSHIP,PRIMARY_USE,REFERENCE_NO,ROAD_CODE,RUNOUT_LENGTH_M,RUNOUT_WIDTH_M,SECONDARY_USE,SERIAL_NO,SERVICE_LEVEL,SPORTS_FIELD_TYPE,SPORTS_FIELD_TYPE2,STATUS,STATUS_DATE,SUBSURFACE_DRAINAGE,SURFACE_LENGTH_FT,SURFACE_TYPE,SURFACE_WIDTH_FT,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
144,Y,,,,Newton,,,,"Temporary Diamond #1; Chimney Heights Park, 14677 74 Ave",,1001477430,,14677,,0,20011113,Y,N,,0729-000000290,Ball Diamond,Parks,,053,,20170123,"Chimney Heights Park, 14677 74 Ave",Park,Parks,,Chimney Heights Park,Diamond - Softball,,Softball,1,07400,,,Softball,,,0,Grass,OPERATING,20020726154600,,50,Sand,20,,,,,,
145,Y,,,,Newton,,,20120109,"Synthetic Field #1 - North 8v8; Newton Athletic Park, 7395 128 St",,1001477478,,12515,,0,,,,,0729-000000384,,Parks,,060,,20170123,"Newton Athletic Park, 7395 128 St",Park,Parks,,Newton Athletic Park,Field - Synthetic,,Soccer,1 - North,06400,,,,,,2,Synthetic,OPERATING,20120109132200,,,,,Y,,,,,
146,Y,,,,Newton,,,20120109,"Synthetic Field #1 - South 8v8; Newton Athletic Park, 7395 128 St",,1001477479,,12515,,0,,,,,0729-000000385,,Parks,,060,,20170123,"Newton Athletic Park, 7395 128 St",Park,Parks,,Newton Athletic Park,Field - Synthetic,,Soccer,1 - South,06400,,,,,,2,Synthetic,OPERATING,20120109132300,,,,,Y,,,,,
147,,,,,Guildford,,,,"Softball Diamond #1; Port Kells Park, 19340 - 88 Ave",,1001477380,,19340,,0,,Y,,,0729-000000185,NE corner of park,Parks,,049,,,"Port Kells Park, 19340 88 Ave",Park,Parks,,Port Kells Park,Diamond - Softball,,Softball,1,08800,,,,,,0,Grass,OPERATING,20010201163300,,,,,Y,,,,,
148,,,,,Guildford,,,,"Softball Diamond #2; Port Kells Park, 19340 - 88 Ave",,1001477381,,19340,,0,,Y,,,0729-000000169,E side of park,Parks,,049,,,"Port Kells Park, 19340 88 Ave",Park,Parks,,Port Kells Park,Diamond - Softball,,Softball,2,08800,,,,,,0,Grass,OPERATING,20010201162600,,,,,Y,,,,,
149,,,,,Guildford,,,,"Field Lacrosse Field; Port Kells Park, 19340 - 88 Ave",,1001477382,,19340,,0,,Y,,,0729-000000047,NW section of park,Parks,,049,,20101028,"Port Kells Park, 19340 88 Ave",Park,Parks,,Port Kells Park,Field - Lacrosse,,Field Lacrosse,1,08800,,,,,,0,Grass,OPERATING,20010201145800,,,,,Y,,,,,
150,Y,,,,Fleetwood,,,,"8v8 Soccer Field; Frost Road Park, 8607 164 St",,1001477383,,08607,,0,,Y,,,0729-000000041,W Section of Park,Parks,,045,,20101027,"Frost Road Park, 8607 164 St",Park,Parks,,Frost Road Park,Field - Soccer - 8v8,,Soccer,1,16400,,,,,,0,Grass,OPERATING,20010201145500,,,,,Y,,,,,
151,Y,,,,Whalley,,,,"Softball Diamond; Brookside Park, 14201 - 84A Ave",,1001477384,,14201,,0,,Y,,,0729-000000194,"NE portion of park, adjacent to school",Parks,,042,,,"Brookside Park, 14201 84A Ave",Park,Parks,,Brookside Park,Diamond - Softball,,Softball,1,08450,,,,,,0,Grass,OPERATING,20010201163600,,,,,Y,,,,,
152,Y,,,,Whalley,,,,"Soccer Field; Brookside Park, 14201 84A Ave",,1001477385,,14201,,0,,Y,,,0729-000000063,W. Section Of Park,Parks,,042,,,"Brookside Park, 14201 84A Ave",Park,Parks,,Brookside Park,Field - Soccer - Regulation,,Soccer,1,08450,,,,,,0,Grass,OPERATING,20010201150900,,,,,Y,,,,,
153,,,,,Whalley,,,,"Soccer Field #2; Bear Creek Park, 13750 - 88 Ave",,1001477386,,13750,,0,,Y,,,0729-000000068,Along 88th Avenue,Parks,,042,,20101026,"Bear Creek Park, 13750 88 Ave",Park,Parks,,Bear Creek Park,Field - Soccer - Regulation,,Soccer,2,08800,,,,,,0,Grass,OPERATING,20010201151200,,,,,Y,,,,,
154,,,,,Whalley,,,,"Football Field #1; Bear Creek Oval, 13750 88 Ave",,1001477387,,13750,,0,,Y,,,0729-000000067,Oval,Parks,,042,,,"Bear Creek Oval, 13750 88 Ave",Park,Parks,,Bear Creek Park,Field - Football,,Football,1,08800,,,,,,0,Grass,OPERATING,20010201151100,,,,,Y,,,,,
155,Y,,,,Newton,,,,"Soccer Field; Strawberry Hill Park, 7676 - 122 St",,1001477388,,07676,,0,,Y,,,0729-000000044,Central Area Of Park E. Of SB Diamond,Parks,,050,,,"Strawberry Hill Park, 7676 122 St",Park,Parks,,Strawberry Hill Park,Field - Soccer - Regulation,,Soccer,1,12200,,,,,,0,Grass,OPERATING,20010201145700,,,,,Y,,,,,
