,BARCODE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,FENCING_TYPE,GIS_ENTRY_STAGE,HOUSE_NO,INSERVICE_COST,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MATERIAL,MEDIAN_TYPE,MEDIAN_TYPE2,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PLANTED,PROJECT_NO,ROAD_CODE,SERIAL_NO,STATUS,STATUS_DATE,STATUS_PARKS,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
1856,,,,,20160105,,1001852169,,Final AB,,,,,,MOTH,,,Concrete,1,Island,,20160105,,,MOTH,Provincial,,,No,SFPR Seg. 5,,,In Service,,,,,,,2014,,
1857,,,,,20090127,,1001079170,,Initial AB,,,,,,Engineering,,,Asphalt,1,Island,,20160927,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1858,,,,,20160111,,1001852968,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20160111,,,Engineering,Surrey,,,No,3811-6120-00,,,In Service,,,,,,,2012,,
1859,,,,,20160111,,1001852969,,Final AB,,,1001852968,0,,Engineering,,,Concrete,0,Central,,20160111,,,Engineering,Surrey,,,No,3811-6120-00,,,In Service,,,,,,,2012,,0
1860,,,,,20160111,,1001853182,None,Final AB,,,1001725738,0,,Engineering,,,Asphalt,0,Central,,,,,Engineering,Surrey,,,Yes,7806-0413-00,,,In Service,,,,,,,2013,,0
1861,,,,,20160111,,1001853183,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20160111,,,Engineering,Surrey,,,No,1712-8010-00,,,In Service,,,,,,,2013,,
1862,,,,,20160111,,1001853184,,Final AB,,,,,,Engineering,,,Concrete,0,Central,,20160111,,,Engineering,Surrey,,,No,1712-8010-00,,,In Service,,,,,,,2013,,
1863,,,,,20161025,,1001214211,,Initial AB,,,,,,Engineering,,,Concrete,0,Central,,20161025,,,Engineering,Surrey,,,No,1704-3310-00,,,In Service,,,,,,,2014,,
1864,,,,,20090127,,1001079169,,Initial AB,,,,,,Engineering,,,Grass,0,Central,,20160927,,,Engineering,Surrey,,,No,,,,In Service,,,,,,,,,
1865,,,,,20090127,,1001079168,,Initial AB,,,,,,Engineering,,,Grass,1,Island,,20160928,,,Engineering,Surrey,,,Yes,,,,In Service,,,,,,,,,
