,STATUS,YR,ELEVATION,X_COORD,Y_COORD,GCM_NO,TABLET_MARKING,MONUMENT_TYPE,WEBLINK,Latitude,Longitude
254,Active,1980,58.72,511247.309,5446703.156,916049,80H2093,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2093.tif,49.173036,-122.845692
255,Active,1964,61.481,516533.316,5445575.736,916502,5259,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5259.tif,49.162775,-122.773218
256,Active,1974,36.741,513702.205,5441523.301,964403,5043,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5043.tif,49.126392,-122.812189
257,Active,1980,41.306,511252.769,5445871.386,965483,80H2091,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2091.tif,49.165554,-122.845641
258,Destroyed,1968,46.031,508887.677,5432820.128,776252,5484, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5484.tif,49.048191,-122.878371
259,Active,1966,59.802,509021.808,5439069.735,210088,5245,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5245.tif,49.104408,-122.876396
260,Active,1984,81.288,511055.827,5449251.053,210229,84H0579,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/84H0579.tif,49.195959,-122.848249
261,Destroyed,1971,13.103,522544.732,5439126.769,839787,5938, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5938.tif,49.104574,-122.691122
262,Active,1964,46.195,520947.44,5431772.53,839837,5172,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5172.tif,49.038476,-122.713387
263,Active,1966,91.959,508822.289,5443143.539,505024,5444,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5444.tif,49.141056,-122.879040
264,Destroyed,1966,62.569,512894.737,5439903.848,505115,5041, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5041.tif,49.111842,-122.823308
265,Active,1980,70.35,511601.48,5447146.627,795302,8750,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8750.tif,49.177019,-122.840820
266,Destroyed,1968,73.494,512893.059,5439288.286,795427,5610, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5610.tif,49.106305,-122.823351
267,Active,1964,106.374,513293.045,5449164.53,506220,5530,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5530.tif,49.195136,-122.817544
268,Active,1980,106.617,512890.621,5448343.461,506469,80H2053,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2053.tif,49.187759,-122.823094
269,Active,1964,75.575,509644.33,5447967.763,602813,5056,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5056.tif,49.184439,-122.867654
270,Active,1966,102.905,508055.713,5446407.616,897520,5316,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5316.tif,49.170428,-122.889485
271,Active,2002,102.785,510195.488,5448818.448,898734,BCSF,ACP,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/BCSF.tif,49.192082,-122.860069
272,Active,1980,93.665,509823.996,5448767.213,898908,80H2044,SBM-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2044.tif,49.191628,-122.865169
273,Active,1971,19.447,518686.358,5439883.703,434712,8609,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8609.tif,49.111512,-122.743949
274,Active,1978,47.655,512059.781,5443568.276,540047,8768,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/8768.tif,49.144822,-122.834639
275,Destroyed,1964,63.227,511224.463,5447148.623,27755,5546, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5546.tif,49.177044,-122.845993
276,Destroyed,1980,80.632,509394.472,5445963.826,27789,80H2031, ,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/80H2031.tif,49.166417,-122.871129
277,Active,1968,87.57,510491.38,5432553.494,27854,5567,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5567.tif,49.045768,-122.856431
278,Active,1964,37.429,510177.475,5450391.045,28019,5405,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5405.tif,49.206229,-122.860276
279,Active,1966,49.99,512095.081,5434167.014,28266,5434,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/5434.tif,49.060253,-122.834437
280,Active,1963,97.76,515336.335,5430933.463,110296,3124,ISA-T,http://cosmos.surrey.ca/geo_ref/Images/Cadastre/MonumentSketches/3124.tif,49.031093,-122.790192
