,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
605,,,Mixed,,,,20130809,"Horticulture Bed; Crescent Beach, 12160 Beecher St",1001608335,Area 10,12160,,20130409,,Sullivan Point,Parks,,110,,20130812,"Crescent Beach, 12160 Beecher St",Park,Parks,,Crescent Beach Park,Parks,110-20,02780,,,OPERATING,,,,,,,
606,,,Woody - C, ,,,,"Horticulture Bed; Island, 3182 142 St",1001436592,Area 9,03182,0,,0708-000000378,Entire island,Parks,,112,,20121016,Island - 3182 142 St,Island,Parks,,Island - 3182 142 St,,112-15,14200,,,OPERATING,,,,,,,
607,,,Woody - C, ,,,,"Horticulture Bed; Island, 3202 143 St",1001436593,Area 9,03202,0,20051130,0708-000000559,on island,Parks,,102,,20121016,Island - 3202 143 St,Island,Parks,,Island - 3202 143 St,,102-08,14300,,,OPERATING,20060202093000,,,,,,
608,,,Woody - C, ,,,,"Horticulture Bed; Island, 13913 25a Ave",1001436594,Area 9,13913,0,,0708-000000359,Entire Island,Parks,,112,,20121016,Island - 13913 25a Ave,Island,Parks,,Island - 13913 25a Ave,,112-16,02550,,,OPERATING,,,,,,,
609,,,Woody - C, ,,,,"Horticulture Bed; Island, 2511 139a St",1001436595,Area 9,02511,0,,0708-000000371,Entire Island,Parks,,112,,20121016,Island - 2511 139a St,Island,Parks,,Island - 2511 139a St,,112-17,13950,,,OPERATING,,,,,,,
610,,,Woody - C, ,,,,"Horticulture Bed; Island, 2489 139 St",1001436596,Area 9,02489,0,,0708-000000370,Entire island,Parks,,112,,20121016,Island - 2489 139 St,Island,Parks,,Island - 2489 139 St,,112-18,13900,,,OPERATING,,,,,,,
611,,,Woody - C, ,,,,"Horticulture Bed; Island, 14189 25a Ave",1001436597,Area 9,14189,0,,0708-000000203,On island,Parks,,112,,20121016,Island - 14189 25a Ave,Island,Parks,,Island - 14189 25a Ave,,112-20,02550,,,OPERATING,,,,,,,
612,,,Woody - C, ,,,,"Horticulture Bed; Island, 2426 139 St",1001436598,Area 9,02426,0,,0708-000000369,Entire island,Parks,,112,,20121016,Island - 2426 139 St,Island,Parks,,Island - 2426 139 St,,112-22,13900,,,OPERATING,,,,,,,
613,,,Woody - C, ,,,,"Horticulture Bed; Island, 2805 141 St",1001436599,Area 9,02805,0,,0708-000000372,Entire island,Parks,,112,,20121016,Island - 2805 141 St,Island,Parks,,Island - 2805 141 St,,112-23,14100,,,OPERATING,,,,,,,
614,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 148 St - 24 Ave to 25 Ave - E side",1001436601,Area 10,02400,0,,0708-000000217,Along blvd from 24 Ave to 25 Ave,Parks,,113,,20121016,"Blvd, 148 St - 24 Ave to 25 Ave - E side",Boulevard,Parks,,Blvd - 148 St - E side - 24 to 25,,113-01,14800,,,OPERATING,,,,,,,
615,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 148 St - 25 Ave to 26 Ave - E side",1001436602,Area 10,02500,0,,0708-000000218,On blvd from 25 Ave to 26 Ave,Parks,,113,,20121016,"Blvd, 148 St - 25 Ave to 26 Ave - E side",Boulevard,Parks,,Blvd - 148 St - E side - 25 to 26,,113-02,14800,,,OPERATING,,,,,,,
616,,,,,,,,Bed # 49; Darts Hill Garden Park,1001879227,Area 11,01660,,20150625,,within new pond,Parks,,126,,20150910,Bed # 49; Darts Hill Garden Park,Hort Zone,Parks,,,,49,16800,,,OPERATING,,,,,,,
617,,,Woody, ,,,20080221,"Horticulture Bed; Blvd, KGBlvd - S side - Offramp to Scott Rd Northbound",1001437149,Contract,12500,0,,0708-000001206,on blvd,Parks,,010,,20121016,"Blvd, KGBlvd - S side - Offramp to Scott Rd Northbound",Boulevard,Parks,,Blvd - KGBlvd - S side - Offramp to Scott Rd N,,010-02,13601,,,OPERATING,20080221155800,,,,,,
618,,,Perennial,This horticulture bed is located on private land with a covenant that the City looks after it.,,,20090311,"Horticulture Bed; Blvd, 152 St - 96 Ave to 98 Ave - W side",1001437281,Area 2,09601,0,,0708-000000044,"along 152 St blvd, west side, from 97 Ave to 98 Ave",Parks,,023,,20121016,"Blvd, 152 St - 96 Ave to 98 Ave - W side",Boulevard,Parks,,Blvd - 152 St - 97 to 98 - W side,,023-06,15200,,,OPERATING,,,,,,,
619,,,,,,,,Bed # 2e; Darts Hill Garden Park,1001437430,Area 11,01660,,,0750-000000002,,Parks,,126,,20180227,Bed # 2e; Darts Hill Garden Park,Hort Zone,Parks,,,,2e,16800,,,OPERATING,,,,,,,
620,,,Perennial, ,,,,"Horticulture Bed; Blvd, 108 Ave & Whalley Blvd - NW corner",1001436871,Contract,10800,0,,0708-000000224,Entire blvd area,Parks,,012,,20150727,"Blvd, 108 Ave & Whalley Blvd - NW corner",Boulevard,Parks,,Blvd - 108 & Whalley Blvd - NW corner,,012-01,13710,,,OPERATING,,,,,,,
621,,,,,,,,Bed # 2w; Darts Hill Garden Park,1001437431,Area 11,01660,,,0750-000000003,,Parks,,126,,20180227,Bed # 2w; Darts Hill Garden Park,Hort Zone,Parks,,,,2w,16800,,,OPERATING,,,,,,,
622,,,Woody, ,,,,"Horticulture Bed; Island, 7836 168a St",1001436835,Area 2,07836,0,20030430,0708-000001078,on island,Parks,,056,,20121016,Island - 7836 168a St,Island,Parks,,Island - 7836 168a St,,056-02,16850,,,OPERATING,20031114090300,,,,,,
623,,,Woody, ,,,,"Horticulture Bed; Island, 16968 86a Ave",1001436836,Area 2,16968,0,20031113,0708-000001101,entire island,Parks,,046,,20121016,Island - 16968 86a Ave,Island,Parks,,Island - 16968 86a Ave,,046-02,08650,,,OPERATING,20040319100500,,,,,,
624,,,Woody, ,,,,"Horticulture Bed; Island, 8656 168b St",1001436837,Area 2,08656,0,20031113,0708-000001100,entire island,Parks,,046,,20121016,Island - 8656 168b St,Island,Parks,,Island - 8656 168b St,,046-03,16870,,,OPERATING,20040319100200,,,,,,
625,,,Woody, ,,,,"Horticulture Bed; Island, 8715 170 St",1001436838,Area 2,08715,0,20031113,0708-000001103,entire island,Parks,,046,,20121016,Island - 8715 170 St,Island,Parks,,Island - 8715 170 St,,046-04,17000,,,OPERATING,20040319100900,,,,,,
626,,,Mixed, ,,,,"Horticulture Bed; Island, 17015 105a Ave",1001436839,Area 2,17015,0,,0708-000000998,Entire Island,Parks,,016,,20121016,Island - 17015 105a Ave,Island,Parks,,Island - 17015 105a Ave,,016-01,10550,,,OPERATING,20020802145300,,,,,,
627,,,Mixed, ,,,,"Horticulture Bed; Island, 17900 100a Ave",1001436840,Area 2,17900,0,20011028,0708-000000967,entire island,Parks,,027,,20121016,Island - 179 St & 100a Ave,Island,Parks,,Island - 17900 100a Ave,,027-01,10050,,,OPERATING,20020128101700,,,,,,
628,,,Mixed, ,,,20091204,"Horticulture Bed; Blvd, KGBlvd - 16 Ave to 17 Ave - E side",1001437325,Area 9,01600,0,20091127,0708-000001280,along frontage rd from 16 Ave to 17 Ave,Parks,,125,,20121016,"Blvd, KGBlvd - 16 Ave to 17 Ave - E side",Boulevard,Parks,,Blvd - KGBlvd - 16 to 17 - E side,,125-02,13601,,,OPERATING,20091204104000,,,,,,
629,,,,,,,20180220,"Horticulture Bed; Newton Ice Arena Grounds, 7120 136b St",1001985200,Area 5,07120,,20170101,,Entrance to wave pool,Parks,,062,,20180220,"Newton Ice Arena Grounds, 7120 136b St",Land,Parks,,Newton Arena Grounds,,062-28,13670,,,OPERATING,,,,,,,
630,,,Woody, ,,,20100112,"Cedars; Sunnyside Lawn Cemetery, 2800 - 148 St",1001437374,,02800,0,,0708-000000791,North and East Side of Cemetery,Parks,,113,,20121016,"Sunnyside Lawn Cemetery, 14850 - 28 Ave",Cemetery,Parks,,Sunnyside Lawn Cemetery,,113-20,14800,,,OPERATING,,,,,,,
631,,,Woody, ,,,20100112,"Horticulture Bed; Sunnyside Lawn Cemetery, 2800 148 St",1001437375,,02800,0,20060512,0708-000000686,around cenotaph,Parks,,113,,20121016,"Sunnyside Lawn Cemetery, 14850 - 28 Ave",Cemetery,Parks,,Sunnyside Lawn Cemetery,,113-21,14800,,,OPERATING,20060706080600,,,,,,
632,,,Woody, ,,,20100112,"Horticulture Bed; Sunnyside Lawn Cemetery, 2800 - 148 St",1001437376,,02800,0,,0708-000000575,West Grave Area,Parks,,113,,20121016,"Sunnyside Lawn Cemetery, 14850 - 28 Ave",Cemetery,Parks,,Sunnyside Lawn Cemetery,,113-22,14800,,,OPERATING,,,,,,,
633,,,Woody, ,,,20100112,"Horticulture Beds; Hazelmere Cemetery, 19184 - 16 Ave",1001437377,,19184,0,,0708-000000574,16th Ave. Perimeter and Entrance,Parks,,138,,20121016,"Hazelmere Cemetery, 19184 16 Ave",Cemetery,Parks,,Hazelmere Cemetery,,138-01,01600,,,OPERATING,,,,,,,
634,,,Mixed,,,,20171005,"Horticulture Bed; Median, 120 St - 80 Ave to 82 Ave",1001949661,Area 5,08000,,20171002,,on median,Parks,,040,,20171005,"Median, 120 St - 80 Ave to 82 Ave",Median,Parks,,Median - 120 St - 80 to 82 Ave,,040-04,12000,,,OPERATING,,,,,,,
635,,,,,,,20180220,"Horticulture Bed; Newton Ice Arena Grounds, 7120 136b St",1001985202,Area 5,07120,,20170101,,North East corner of Newton Community Centre,Parks,,062,,20180220,"Newton Ice Arena Grounds, 7120 136b St",Land,Parks,,Newton Arena Grounds,,062-29,13670,,,OPERATING,,,,,,,
636,,,,,,,,Bed # 3n; Darts Hill Garden Park,1001437433,Area 11,01660,,,0750-000000004,,Parks,,126,,20180306,Bed # 3n; Darts Hill Garden Park,Hort Zone,Parks,,,,3n,16800,,,OPERATING,,,,,,,
637,,,Woody - A/B, ,,,20100108,"Horticulture Beds; Don Christian Park, 6220 184 St",1001437370,Area 7,06220,0,,0708-000000034,around parksite sign at 184 St entrance,Parks,,078,,20121016,"Don Christian Park, 6220 184 St",Park,Parks,,Don Christian Park,,078-22,18400,,,OPERATING,,,,,,,
638,,,Woody - C, ,,,20100108,"Horticulture Bed; Clover Ridge Berm - 78F, 19125 - Hwy #10=56 Ave",1001437371,Area 7,19125,0,,0708-000000595,along N side of Hwy 10,Parks,,078,,20121016,"Clover Ridge Berm - 78F, 19125 Hwy #10=56 Ave",Park,Parks,,Clover Ridge Berm,,078-23,05603,,,OPERATING,,,,,,,
639,,,Woody - C, ,,,20100108,"Horticulture Bed; Shannon Hill Park, 18320 54 Ave",1001437372,Area 7,18320,0,19990828,0708-000000907,@ 54 Ave entrance,Parks,,087,,20121016,"Shannon Hill Park, 18320 54 Ave",Park,Parks,,Shannon Hill Park,,087-02,05400,,,OPERATING,20000828154900,,,,,,
640,,,Mixed, ,,,20100226,"Horticulture Beds; Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",1001437379,Area 6,16555,0,20090212,0708-000001296,on islands in parking lot directly north of arenas,Recreation,,045,,20121016,"Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",Land,Parks,,Surrey Sport & Leisure Complex Grounds,,045-21,00101,,,OPERATING,20100226105300,,,,,,
641,,,Mixed, ,,,20100319,"Horticulture Beds; Cloverdale Library Grounds, 5642 176A St",1001437382,Area 9,05642,0,,0708-000001299,throughout site,Parks,,077,,20121016,"Cloverdale Library Grounds, 5642 176A St",Land,Parks,,Cloverdale Library Grounds,,077-30,17650,,,OPERATING,20100319111900,,,,,,
642,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924568,,,,,,,,,,,20170328,,,,,The Glades,,49,,,,,,,,,,,
643,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924496,,,,,,,,,,,20170328,,,,,The Glades,,48,,,,,,,,,,,
644,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924502,,,,,,,,,,,20170328,,,,,The Glades,,42,,,,,,,,,,,
645,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924560,,,,,,,,,,,20170328,,,,,The Glades,,44,,,,,,,,,,,
646,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924520,,,,,,,,,,,20170328,,,,,The Glades,,43,,,,,,,,,,,
647,,,,,,,20170327,"Horticulture Bed; The Glades, 561 172 St",1001924559,,,,,,,,,,,20170328,,,,,The Glades,,5,,,,,,,,,,,
648,,,Perennial, ,,,,"Horticulture Bed; Median, King George Blvd - 88 Ave to 89 Ave",1001436919,Contract,08800,0,,0708-000000496,On median,Parks,,032,,20121016,"Median, King George Blvd - 88 Ave to 89 Ave",Median,Parks,,Median - KGBlvd - 88 to 89,,032-07,13601,,,OPERATING,,,,,,,
649,,,Perennial, ,,,,"Horticulture Bed; Median, King George Blvd - 91 Ave to 92 Ave",1001436920,Contract,09100,0,,0708-000000222,On median,Parks,,032,,20121016,"Median, King George Blvd - 91 Ave to 92 Ave",Median,Parks,,Median - KGBlvd - 91 to 92,,032-08,13601,,,OPERATING,20061205164000,,,,,,
650,,,Perennial, ,,,,"Horticulture Bed; Median, King George Blvd - 92 Ave to 93 Ave",1001436921,Contract,09200,0,,0708-000000499,On median,Parks,,032,,20121016,"Median, King George Blvd - 92 Ave to 93 Ave",Median,Parks,,Median - KGBlvd - 92 to 93,,032-09,13601,,,OPERATING,,,,,,,
651,,,Woody - C, ,,,20090226,"Horticulture Bed; Blvd, 56a Ave Lane - 14860 to 14950",1001437199,Area 8,14860,0,,0708-000001249,along S side of lane from 14860 56a Ave to 5674 149a St,Parks,,073,,20121016,"Blvd, 56a Ave Lane - 14860 to 14950",Boulevard,Parks,,Blvd - 56A Ave Lane - 14860 to 14950,,073-06,05650,,,OPERATING,20090226140400,,,,,,
652,,,Perennial, ,,,,"Horticulture Bed; Median, King George Blvd - 94a Ave to 96 Ave",1001436922,Contract,09450,0,,0708-000000451,On median,Parks,,032,,20121016,"Median, King George Blvd - 94a Ave to 96 Ave",Median,Parks,,Median - KGBlvd - 94a to 96,,032-10,13601,,,OPERATING,20061205164600,,,,,,
653,,,Woody, ,,,,"Horticulture Bed; Median, Fraser Hwy - 151 St to 152 St",1001436923,Contract,15100,0,20030101,0708-000000682,On median,Parks,,033,,20121016,"Median, Fraser Hwy - 151 St to 152 St",Median,Parks,,Median - Fraser Hwy - 151 to 152,,033-02,00101,,,OPERATING,20060622151000,,,,,,
654,,,Perennial, ,,,,"Horticulture Bed; Median, 96 Ave - 148 St to 149 St",1001436924,Contract,14800,0,,0708-000000504,On median,Parks,,033,,20121016,"Median, 96 Ave - 148 St to 149 St",Median,Parks,,Median - 96 Ave - 148 to 149,,033-03,09600,,,OPERATING,,,,,,,
655,,,Mixed, ,,,,"Horticulture Bed; Median, 96 Ave - 151 St to 152 St",1001436925,Contract,15100,0,,0708-000000992,On median,Parks,,033,,20121016,"Median, 96 Ave - 151 St to 152 St",Median,Parks,,Median - 96 Ave - 151 to 152,,033-04,09600,,,OPERATING,20020722152100,,,,,,
656,,,Mixed, ,,,,"Horticulture Bed; Median, 152 St - 88 Ave to Fraser Hwy",1001436927,Contract,08800,0,,0708-000000991,On Median,Parks,,034,,20121016,"Median, 152 St - 88 Ave to Fraser Hwy",Median,Parks,,Median - 152 St - 88 to Fraser Hwy,,034-03,15200,,,OPERATING,20020722122300,,,,,,
657,,,Mixed, ,,,,"Horticulture Bed; Median, 152 St - 92 Ave to 93 Ave",1001436928,Contract,09200,0,20011128,0708-000000501,On median,Parks,,034,,20121016,"Median, 152 St - 92 Ave to 93 Ave",Median,Parks,,Median - 152 St - 92 to 93,,034-04,15200,,,OPERATING,,,,,,,
658,,,Woody - C, ,,,,"Horticulture Bed; Blvd, 24 Ave - 148a St to 150 St - N side",1001436604,Area 10,14850,0,,0708-000000254,Along blvd from 148a St to 150 St,Parks,,113,,20121016,"Blvd, 24 Ave - 148a St to 150 St - N side",Boulevard,Parks,,Blvd - 24 Ave - N side - 148a to 150,,113-05,02400,,,OPERATING,,,,,,,
659,,,Woody - C, ,,,,"Horticulture Bed; Island, 14408 29 Ave",1001436605,Area 9,14408,0,,0708-000000379,Entire island,Parks,,113,,20121016,Island - 14408 29 Ave,Island,Parks,,Island - 14406 29 Ave,,113-07,02900,,,OPERATING,,,,,,,
660,,,Perennial, ,,,,"Horticulture Bed; Island, 10521 Ashdown Pl",1001436770,Area 2,10521,0,,0708-000000231,Entire island,Parks,,015,,20121016,Island - 10521 Ashdown Pl,Island,Parks,,Island - 10521 Ashdown Pl,,015-09,16665,,,OPERATING,,,,,,,
661,,,Perennial, ,,,,"Horticulture Bed; Island, 10520 Woodglen Pl",1001436771,Area 2,10520,0,,0708-000000514,On island,Parks,,015,,20121016,Island - 10520 Woodglen Pl,Island,Parks,,Island - 10520 Woodglen Pl,,015-10,16355,,,OPERATING,,,,,,,
662,,,Perennial, ,,,,"Horticulture Bed; Island, 10547 Arbutus Wynd",1001436772,Area 2,10547,0,,0708-000000235,entire island,Parks,,015,,20121016,Island - 10547 Arbutus Wynd,Island,Parks,,Island - 10547 Arbutus Wynd,,015-11,16595,,,OPERATING,,,,,,,
663,,,Perennial, ,,,,"Horticulture Bed; Island, 16633 Arbutus Pl",1001436773,Area 2,16633,0,,0708-000000237,Entire Island,Parks,,015,,20121016,Island - 16633 Arbutus Pl,Island,Parks,,Island - 16633 Arbutus Pl,,015-12,10540,,,OPERATING,,,,,,,
664,,,Perennial, ,,,,"Horticulture Bed; Island, 16659 Mapletree Cl",1001436774,Area 2,16659,0,,0708-000000233,Entire Island,Parks,,015,,20121016,Island - 16659 Mapletree Cl,Island,Parks,,Island - 16659 Mapletree Cl,,015-13,10545,,,OPERATING,,,,,,,
665,,,Mixed, ,,,,"Horticulture Bed; Island, 10766 165 St",1001436775,Area 2,10766,0,20030117,0708-000001040,entire island,Parks,,015,,20121016,Island - 10766 165 St,Island,Parks,,Island - 10766 165 St,,015-14,16500,,,OPERATING,20030401151200,,,,,,
666,,,Perennial, ,,,,"Horticulture Bed; Island, 10795 Fraserglen Dr",1001436776,Area 2,10795,0,,0708-000000221,entire island,Parks,,015,,20121016,Island - 10795 Fraserglen Dr,Island,Parks,,Island - 10795 Fraserglen Dr,,015-15,16305,,,OPERATING,,,,,,,
667,,,Perennial, ,,,,"Horticulture Bed; Island, 16130 Brookside Gr",1001436777,Area 2,16130,0,,0708-000000476,On island,Parks,,015,,20121016,Island - 16130 Brookside Gr,Island,Parks,,Island - 16130 Brookside Gr,,015-16,10575,,,OPERATING,,,,,,,
668,,,Perennial, ,,,,"Horticulture Bed; Island, 16169 Creekside Gr",1001436778,Area 2,16169,0,,0708-000000491,On island,Parks,,015,,20121016,Island - 16169 Creekside Gr,Island,Parks,,Island - 16169 Creekside Gr,,015-17,10705,,,OPERATING,,,,,,,
669,,,, ,,,,"Horticulture Bed; Island, 16461 Glenwood Crescent South",1001436779,Area 2,16451,0,20060106,0708-000001119,on island,Parks,,015,,20121016,Island - 16461 Glenwood Crescent South,Island,Parks,,Island - 16461 Glenwood Crescent South,,015-18,10487,,,OPERATING,20060106104700,,,,,,
670,,,Woody, ,,,,"Horticulture Bed; Island, 16019 109 Ave",1001436780,Area 2,16019,0,19990923,0708-000001064,on island,Parks,,015,,20121016,Island - 16019 109 Ave,Island,Parks,,Island - 16019 109 Ave,,015-19,10900,,,OPERATING,20031112150400,,,,,,
671,,,Woody, ,,,,"Horticulture Bed; Median, 88 Ave - Mall Entrance to 126 St",1001437105,Contract,12500,0,20070301,0708-000001160,on median,Parks,,030,,20121016,"Median, 88 Ave - Mall Entrance to 126 St",Median,Parks,,Median - 88 Ave - Mall Entrance to 126,,030-07,08800,,,OPERATING,20070524163500,,,,,,
672,,,Woody, ,,,,"Horticulture Bed; Median, 88 Ave - 126 St to 128 St",1001437106,Contract,12600,0,20070301,0708-000001161,on median,Parks,,030,,20121016,"Median, 88 Ave - 126 St to 128 St",Median,Parks,,Median - 88 Ave - 126 to  128,,030-08,08800,,,OPERATING,20070524163700,,,,,,
673,,,Woody, ,,,,"Horticulture Bed; Median, Fraser Hwy - 160 St to 84 Ave",1001437108,Contract,16000,0,20070104,0708-000001162,on median,Parks,,045,,20121016,"Median, Fraser Hwy - 160 St to 84 Ave",Median,Parks,,Median - Fraser Hwy - 160 to 84,,045-14,00101,,,OPERATING,20070524164100,,,,,,
674,,,Woody, ,,,,"Horticulture Bed; Median, Fraser Hwy - 84 Ave to 164 St",1001437109,Contract,16200,0,20070104,0708-000001163,on median,Parks,,045,,20121016,"Median, Fraser Hwy - 84 Ave to 164 St",Median,Parks,,Median - Fraser Hwy - 84 to 164,,045-15,00101,,,OPERATING,20070524164400,,,,,,
675,,,Woody - C, ,,,20170523,"Horticulture Bed; Blvd, Sign @ Hwy 99 & 8 Ave",1001932238,Area 9,49901,0,20060119,1001436534,Entire sign,Parks,,145,,20170523,"Blvd, Sign @ Hwy 99 & 8 Ave",Boulevard,Parks,,Blvd - Sign @ Hwy 99 & 8 Ave,,145-03,00800,,,OPERATING,,,,,,,
676,,,Woody - A/B, ,,,20100107,"Horticulture Beds; Newton Wave Pool Grounds, 13730 72 Ave",1001437328,Area 5,13730,0,,0708-000001281,around west parking lot,Parks,,062,,20121016,"Newton Wave Pool Grounds, 13730 72 Ave",Land,Parks,,Newton Wave Pool Grounds,,062-13,07200,,,OPERATING,20100107131100,,,,,,
677,,,Woody,,,,20170517,"Horticulture Bed; Rosemary Wynde, 3701 155 St",1001931666,Area 2,03701,,20170517,,along P1 and 36 Ave entrance,Parks,,104,,20170523,"Rosemary Wynde, 3701 155 St",Park,Parks,,Rosemary Wynd,,104-20,15500,,,OPERATING,,,,,,,
678,,,Woody - C, ,,,,"Horticulture Bed; Blvd, Sign @ Hwy 99 & 8 Ave",1001436534,Area 9,49901,0,20060119,0708-000000335,Entire sign,Parks,,145,,20170523,"Blvd, Sign @ Hwy 99 & 8 Ave",Boulevard,Parks,,Blvd - Sign @ Hwy 99 & 8 Ave,,145-03,00800,,,OPERATING,,,,,,,
679,,,Woody - A/B, ,,,20100107,"Horticulture Beds; Newton Ice Arena Grounds, 7120 136b St",1001437330,Area 5,07120,0,,0708-000001283,throughout parking lot at arena,Parks,,062,,20121016,"Newton Ice Arena Grounds, 7120 136b St",Land,Parks,,Newton Arena Grounds,,062-15,13670,,,OPERATING,20100107133100,,,,,,
680,,,Woody - A/B, ,,,20100107,"Horticulture Bed; Newton Ice Arena Grounds, 7120 136b St",1001437331,Area 5,07120,0,,0708-000001284,NE of community centre at ice arena,Parks,,062,,20121016,"Newton Ice Arena Grounds, 7120 136b St",Land,Parks,,Newton Arena Grounds,,062-16,13670,,,OPERATING,20100107133300,,,,,,
681,,,Woody - A/B, ,,,20100107,"Horticulture Bed; Newton Seniors Centre Grounds, 13775 70 Ave",1001437332,Area 5,13775,0,,0708-000001285,NE of parking area,Parks,,062,,20121016,"Newton Seniors Centre Grounds, 13775 70 Ave",Land,Parks,,Newton Seniors Centre Grounds,,062-17,07000,,,OPERATING,20100107133700,,,,,,
682,,,Annual, ,,,20100107,"Horticulture Bed; Newton Seniors Centre Grounds, 13775 70 Ave",1001437334,Area 5,13775,0,,0708-000001287,at entrance to building,Parks,,062,,20121016,"Newton Seniors Centre Grounds, 13775 70 Ave",Land,Parks,,Newton Seniors Centre Grounds,,062-19,07000,,,OPERATING,20100107134400,,,,,,
683,,,Woody - A/B, ,,,,"Horticulture Beds; South Surrey Athletic Park, 1925 148 St",1001436578,Area 10,01925,0,,0708-000000917,around perimeter of Rotary Fieldhouse,Parks,,123,,20171011,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-15,14800,,,OPERATING,20010718094500,,,,,,
684,,,Mixed, ,,,20100325,"Horticulture Bed; Blvd, 152 St - 68 Ave to 70a Ave - W side",1001437385,Area 5,06801,0,20091001,0708-000001301,N portion of frontage rd from 69 Ave to 70a Ave,Parks,,063,,20121016,"Blvd, 152 St - 68 Ave to 70a Ave - W side",Boulevard,Parks,,Blvd - 152 St - 69 to 70a - W side,,063-11,15200,,,OPERATING,20100325101700,,,,,,
685,,,Woody - C, ,,,,"Horticulture Bed; Island, 2050 149 St",1001436707,Area 9,02050,0,,0708-000000431,On island,Parks,,123,,20121016,Island - 2050 149 St,Island,Parks,,Island - 2050 149 St,,123-45,14900,,,OPERATING,,,,,,,
686,,,Woody - C, ,,,,"Horticulture Bed; Island, 1779 148a St",1001436708,Area 9,01779,0,,0708-000000430,entire island,Parks,,123,,20121016,Island - 1779 148a St,Island,Parks,,Island - 1779 148a St,,123-46,14850,,,OPERATING,,,,,,,
687,,,Woody - C, ,,,,"Horticulture Bed; Island, 14852 Southmere Ct",1001436709,Area 9,14852,0,,0708-000000422,entire island,Parks,,123,,20121016,Island - 14852 Southmere Ct,Island,Parks,,Island - 14852 Southmere Ct,,123-47,01905,,,OPERATING,,,,,,,
688,,,Woody - C, ,,,,"Horticulture Bed; Island, 15282 19 Ave",1001436710,Area 9,15282,0,,0708-000000432,Entire island,Parks,,124,,20121016,Island - 15282 19 Ave,Island,Parks,,Island - 15282 19 Ave,,124-06,01900,,,OPERATING,,,,,,,
689,,,Woody - C, ,,,,"Horticulture Bed; Island, 1677 134 St",1001436711,Area 9,01677,0,,0708-000001127,bed on island,Parks,,121,,20121016,Island - 1677 134 St,Island,Parks,,Island - 1677 134 St,,121-18,13400,,,OPERATING,20060203120100,,,,,,
690,,,Woody - C, ,,,,"Horticulture Bed; Island, 13059 21a Ave",1001436712,Area 9,13059,0,,0708-000001128,bed on island,Parks,,121,,20121016,Island - 13059 21a Ave,Island,Parks,,Island - 13059 21a Ave,,121-19,02150,,,OPERATING,20060203120700,,,,,,
691,,,Woody - C, ,,,,"Horticulture Bed; Island, 13041 21 Ave",1001436713,Area 9,13041,0,,0708-000001129,bed on island,Parks,,121,,20121016,Island - 13041 21 Ave,Island,Parks,,Island - 13041 21 Ave,,121-20,02100,,,OPERATING,20060203120900,,,,,,
692,,,Woody - C, ,,,,"Horticulture Bed; Island, 13045 20a Ave",1001436714,Area 9,13045,0,,0708-000001130,bed on island,Parks,,121,,20121016,Island - 13045 20a Ave,Island,Parks,,Island - 13045 20a Ave,,121-21,02050,,,OPERATING,20060203124800,,,,,,
693,,,Mixed,,,,20171005,"Horticulture Bed; Median, 120 St - 82 Ave to 84 Ave",1001949662,Area 5,08200,,20171002,,on median,Parks,,040,,20171005,"Median, 120 St - 82 Ave to 84 Ave",Median,Parks,,Median - 120 St - 82 to 84 Ave,,040-05,12000,,,OPERATING,,,,,,,
694,,,Mixed, ,,,20100319,"Horticulture Beds; South Surrey Athletic Park, 1925 148 St",1001437383,Area 10,01925,0,20060209,0708-000001300,foundation planting at front of SSRec Centre and in round-about,Parks,,123,,20171011,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-51,14800,,,OPERATING,20100319115400,,,,,,
695,,,Woody - C, ,,,,"Horticulture Bed; Island, 13152 20a Ave",1001436716,Area 9,13152,0,,0708-000001132,bed on island,Parks,,121,,20121016,Island - 13152 20a Ave,Island,Parks,,Island - 13152 20a Ave,,121-23,02050,,,OPERATING,20060203125300,,,,,,
