,BARCODE,BED_SOIL_TYPE,BED_TYPE,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESCRIPTION,FACILITYID,HORT_MAINTENANCE_ROUTE,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LOCATION,MAINTENANCE_RESPONSIBILITY,MAKE,MAP_PAGE,MODEL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,PARK_FACILITY_TYPE,PARK_NAME,PARK_OWNERSHIP,REFERENCE_NO,ROAD_CODE,SERIAL_NO,SERVICE_LEVEL,STATUS,STATUS_DATE,TO_CLASS_FOR_WEB,VENDOR,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YRS_LIFE_EXPECTANCY
1088,,,Woody, ,,,,"Horticulture Bed; Median, 110 Ave - 155a St to 156 St",1001436883,Contract,15550,0,20060214,0708-000000640,on median,Parks,,014,,20121016,"Median, 110 Ave - 155a St to 156 St",Median,Parks,,Median - 110 Ave - 155a to 156,,014-09,11000,,,OPERATING,20060309125100,,,,,,
1089,,,Woody, ,,,,"Horticulture Bed; Median, 110 Ave - 157 St to 157a St",1001436884,Contract,15700,0,20060214,0708-000000664,on median,Parks,,014,,20121016,"Median, 110 Ave - 157 St to 157a St",Median,Parks,,Median - 110 Ave - 157 157a,,014-10,11000,,,OPERATING,20060309130000,,,,,,
1090,,,Perennial, ,,,,"Horticulture Bed; Median, 152 St - 104 Ave to 105 Ave",1001436885,Contract,10450,0,,0708-000000460,On median,Parks,,014,,20121016,"Median, 152 St - 104 Ave to 105 Ave",Median,Parks,,Median - 152 St - 104 to 105,,014-11,15200,,,OPERATING,,,,,,,
1091,,,Woody, ,,,,"Horticulture Bed; Median, 152 St - 105 Ave to Guildford Dr",1001436886,Contract,10550,0,,0708-000000985,on Median,Parks,,014,,20121016,"Median, 152 St - 105 Ave to Guildford Dr",Median,Parks,,Median - 152 St - 105 to Guildford Dr,,014-12,15200,,,OPERATING,20020722102500,,,,,,
1092,,,Mixed, ,,,,Horticulture Bed; Median - 120 St - 96a Ave to 97 Ave,1001436887,Contract,09650,0,20040128,0708-000001106,on median,Parks,,019,,20121016,"Median, 120 St - 96a Ave to 97 Ave",Median,Parks,,Median - 120 St - 96a to 97,,019-02,12000,,,OPERATING,20040319103100,,,,,,
1093,,,Mixed, ,,,,Horticulture Bed; Median - 120 St - 97 Ave to 97a Ave,1001436888,Contract,09700,0,20040128,0708-000001107,on median,Parks,,019,,20121016,"Median, 120 St - 97 Ave to 97a Ave",Median,Parks,,Median - 120 St - 97 to 97a,,019-03,12000,,,OPERATING,20040319103400,,,,,,
1094,,,Mixed, ,,,,Horticulture Bed; Median - 120 St - 97a Ave to 98 Ave,1001436889,Contract,09750,0,20040128,0708-000001108,on median,Parks,,019,,20121016,"Median, 120 St - 97a Ave to 98 Ave",Median,Parks,,Median - 120 St - 97a to 98,,019-04,12000,,,OPERATING,20040319103500,,,,,,
1095,,,Woody, ,,,,Horticulture Bed; Median - 120 St - 98 Ave to 99 Ave,1001436890,Contract,09900,0,20020207,0708-000001019,In median,Parks,,019,,20121016,"Median, 120 St - 98 Ave to 99 Ave",Median,Parks,,Median - 120 St - 98 to 99,,019-05,12000,,,OPERATING,20020813133900,,,,,,
1096,,,Mixed, ,,,,"Horticulture Bed; Median, 102 Ave - City Parkway to KGBlvd",1001436891,Contract,13500,0,20011128,0708-000000959,On median,Parks,,021,,20121016,"Median, 102 Ave - City Parkway to KGBlvd",Median,Parks,,Median - 102 Ave - City Parkway to KGBlvd,,021-01,10200,,,OPERATING,20020128094700,,,,,,
1097,,,,,,,20121029,Blvd - 128a St - E side - 25a to 26,1001717077,Area 10,,,,0708-000001371,,,,111,,20121029,Blvd - 128a St - E side - 25a to 26,Boulevard,,,Blvd - 128a St - E side - 25a to 26,,111-10,,,,OPERATING,,,,,,,
1098,,,,,,,20120810,Island - 350 172 St,1001717078,Area 9,,,,0708-000001363,,,,146,,20120913,Island - 350 172 St,Island,,,Island - 350 172 St,,146-02,,,,OPERATING,,,,,,,
1099,,,,,,,20121029,Blvd - 147a St - E side - 28a to 28b,1001717080,Area 10,,,,0708-000001372,,,,113,,20121029,Blvd - 147a St - E side - 28a to 28b,Boulevard,,,Blvd - 147a St - E side - 28a to 28b,,113-24,,,,OPERATING,,,,,,,
1100,,,Woody, ,,,20130419,"Horticulture Bed; South Surrey Athletic Park, 1925 148 St",1001592631,Area 10,01925,0,20130330,1001436580,"hort bed at 22 Ave and 148 St, along gravel parking on 148 st",Parks,,123,,20130419,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-52,14800,,,OPERATING,20030129154300,,,,,,
1101,,,Woody, ,,,20130419,"Horticulture Bed; South Surrey Athletic Park, 1925 148 St",1001592746,Area 10,01925,0,20130330,1001592631,hort bed adjacent to P7 and parking lot for track,Parks,,123,,20130419,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-53,14800,,,OPERATING,20030129154300,,,,,,
1102,,,Woody,,,,20130419,"Horticulture Beds; Blackie Spit, 3136 McBride Ave",1001592771,Area 10,03136,,20130330,,north of swimming pool,Parks,,110,,20130419,"Blackie Spit, 3136 McBride Ave",Park,Parks,,Black Spit,,110-19,12163,,,OPERATING,,,,,,,
1103,,,Woody - A/B, ,,,,"Horticulture Bed; South Surrey Athletic Park, 1925 148 St",1001436580,Area 10,01925,0,,0708-000001024,"sign bed at 20 Ave and 148 St, SW corner",Parks,,123,,20121016,"South Surrey Athletic Park, 1925 148 St",Park,Parks,,South Surrey Athletic Park,,123-17,14800,,,OPERATING,20030129154300,,,,,,
1104,,,Woody - A/B, ,,,,"Horticulture Beds; South Surrey/White Rock Pool Grounds, 14655 17 Ave",1001436581,Area 10,14655,0,,0708-000000013,Perimeter of Pool Building,Parks,,123,,20121016,"South Surrey/White Rock Pool Grounds, 14655 17 Ave",Land,Parks,,South Surrey/White Rock Pool Grounds,,123-18,01700,,,OPERATING,,,,,,,
1105,,,Woody - A/B, ,,,,"Horticulture Beds; South Surrey/White Rock Pool Grounds, 14655 17 Ave",1001436582,Area 10,14655,0,20050223,0708-000000741,parking lot beds,Parks,,123,,20121016,"South Surrey/White Rock Pool Grounds, 14655 17 Ave",Land,Parks,,South Surrey/White Rock Pool Grounds,,123-19,01700,,,OPERATING,,,,,,,
1106,,,Woody - A/B, ,,,,"Horticulture Bed; South Surrey/White Rock Pool Grounds, 14655 17 Ave",1001436583,Area 10,14655,0,,0708-000001123,sign bed at southeast side of site,Parks,,123,,20121016,"South Surrey/White Rock Pool Grounds, 14655 17 Ave",Land,Parks,,South Surrey/White Rock Pool Grounds,,123-20,01700,,,OPERATING,20060201141600,,,,,,
1107,,,Woody - C, ,,,,"Horticulture Beds; Southmere Village Park, 1701 - Martin Dr",1001436584,Area 10,01701,0,,0708-000000603,17 Ave & 148A St entrance,Parks,,123,,20121016,"Southmere Village Park, 1701 Martin Dr",Park,Parks,,Southmere Village Park,,123-22,15083,,,OPERATING,,,,,,,
1108,,,Mixed, ,,,,"Horticulture Bed; Median, 128 St - 61 Ave to 61a Ave",1001437029,Area 5,06100,0,20050722,0708-000000010,on median,Parks,,070,,20121016,"Median, 128 St - 61 Ave to 61a Ave",Median,Parks,,Median - 128 St - 61 to 61a,,070-18,12800,,,OPERATING,20060309101000,,,,,,
1109,,,Perennial, ,,,,"Horticulture Bed; Island, 7598 150a St",1001436809,Area 2,07598,0,,0708-000000326,On island,Parks,,053,,20121016,Island - 7598 150a St,Island,Parks,,Island - 7598 150a St,,053-06,15050,,,OPERATING,,,,,,,
1110,,,Mixed, ,,,,"Horticulture Bed; Island, 15445 96a Ave",1001436810,Area 2,15445,0,20010502,0708-000000977,entire island,Parks,,024,,20121016,Island - 15445 96a Ave,Island,Parks,,Island - 15445 96a Ave,,024-03,09650,,,OPERATING,20020502142700,,,,,,
1111,,,Mixed, ,,,20090311,"Horticulture Bed; Sequoia Ridge Park - 54A, 15220 80 Ave",1001437279,Area 6,15220,0,,0708-000000647,Off Sequoia Dr,Parks,,054,,20121016,"Sequoia Ridge Park - 54A, 15220 80 Ave",Park,Parks,,Sequoia Ridge Park,,054-09,08000,,,OPERATING,,,,,,,
1112,,,Mixed, ,,,20090311,"Horticulture Beds; Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",1001437282,Area 6,16555,0,,0708-000000078,in and around north parking lot,Recreation,,045,,20121016,"Surrey Sport & Leisure Complex Grounds, 16555 Fraser Hwy",Land,Parks,,Surrey Sport & Leisure Complex Grounds,,045-18,00101,,,OPERATING,20090311131000,,,,,,
