,BAFFLES_END1,BAFFLES_END2,BIKE_INFRASTRUCTURE_TYPE,BIKE_NETWORK,COMMENTS,CONDITION,CONDITIONDATE,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,CRE_DATE,DESCRIPTION,EQ_NO,FACILITYID,FENCING_SIDE1,FENCING_SIDE2,GIS_ENTRY_STAGE,HABITAT,HOUSE_NO,INSERVICE_COST,INSERVICE_DATE,LEGACYID,LENGTH,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAP_PAGE,MATERIAL,MOD_DATE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OPERATOR,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PRK_BRIDGE_SPECIAL_FEATURES,PRK_TRAIL_SERVICE_CLASS,PROJECT_NO,RAILINGS_MATERIAL1,RAILINGS_MATERIAL2,REFERENCE_NO,ROAD_CODE,ROUTE_TYPE,ROUTE_TYPE2,STATUS,STATUS_DATE,STATUS_PARKS,STRUCTURES_INSPECTION_ROUTE,TREES_PLANTED,USE_LEVEL,WARRANTYDATE,WARRANTY_PROVIDER,WIDTH,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
64,,,,,,,,Recreation,Fleetwood Surrey Sport Centre 3K Route,Other,,,,1001403341,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
65,,,,,,,,Recreation,Cloverdale Rec Centre 3.1K Route,Other,,,,1001403440,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
66,,,,,,,,Recreation,North Surrey 6.0K Route,Other,,,,1001403456,,,,,,,,,,,,Engineering,,,20180409,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
67,,,,,,,,Recreation,South Surrey Urban Forest 4.7K Route,Other,,,,1001403665,,,,,,,,,,,,Engineering,,,20170215,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
68,,,,,,,,Recreation,South Surrey Sunnyside Acres 4.8K Route,Other,,,,1001403173,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
69,,,,,,,,Recreation,South Surrey Bakerview Park 4.3K Route,Other,,,,1001403170,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
70,,,,,,,,Recreation,City Hall 30 minutes B,Other,,,,1001403667,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
71,,,,,,,,Recreation,Fraser Heights 5.5K Route,Other,,,,1001401849,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
72,,,,,,,,Recreation,Cloverdale Arena 2.1K Route,Other,,,,1001403438,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
73,,,,,,,,Recreation,Cloverdale CRO 3.2K Route,Other,,,,1001403439,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
74,,,,,,,,Recreation,Cloverdale 6.5K Route,Other,,,,1001403443,,,,,,,,,,,,Engineering,,,,,,Engineering,,,,,,,,,,,,11,Other,,,,,,,,,,,,,
