,ANCILLARYROLE,ENABLED,ASSEMBLY_TYPE,ASSEMBLY_TYPE2,BLOWOFF_TYPE,FACILITYID,LEGACYID,NODE_NO,CHAMBER1_SIZE,CHAMBER1_MATERIAL,CHAMBER2_SIZE,CHAMBER2_MATERIAL,VALVE_TYPE,VALVE_SIZE,VALVE_MAKE,VALVE_MODEL,VALVE_MATERIAL,VALVE_LOCATION,BFP_TYPE,BFP_SIZE,AIR_VALVE_TYPE,AIR_VALVE_SIZE,AIR_VALVE_MAKE,AIR_VALVE_MODEL,AIR_VALVE_MATERIAL,AIR_VALVE_LOCATION,DRAIN_SYSTEM,EXTERNAL_VENTING,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
3884,,1,2,Blowoff,,1000270199,5605,1500510691,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020426,,49.196405,-122.806090
3885,,1,2,Blowoff,,1000270291,5593,1449310554,,,,,,150,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020426,20081103,49.193952,-122.820228
3886,,1,2,Blowoff,,1000270434,5785,1478010426,150,,,,Gate,150,,,,,,,,,,,,,,,In Service,0046,1967,Surrey,,,,,,,,,20020426,20090625,49.191624,-122.812322
3887,,1,2,Blowoff,,1000270614,15740,1953306327,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020502,,49.117171,-122.681572
3888,,1,0,Air Valve,,1000263016,1737,14231068,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,SEE WD-022-056,Initial AB,,,,,,20030522,20080312,49.182361,-122.843988
3889,,0,0,Air Valve,,1000263046,20777,1428210317,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020917,20081107,49.189670,-122.826069
3890,,1,2,Blowoff,,1000263621,18367,1440701569,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020503,,49.031369,-122.823187
3891,,1,2,Blowoff,,1000263635,18382,1368001662,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020503,,49.033088,-122.843181
3892,,1,2,Blowoff,,1000263639,18386,1408401825,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020503,,49.036021,-122.832066
3893,,1,2,Blowoff,,1000263641,18388,1402502175,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020503,,49.042348,-122.833665
3894,,1,2,Blowoff,,1000263645,18392,1408802177,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020503,,49.042395,-122.831918
3895,,1,2,Blowoff,,1000268897,2824,1643410526,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020424,,49.193356,-122.766644
3896,,1,2,Blowoff,,1000268901,2830,1635710457,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020424,,49.192106,-122.768761
3897,,1,2,Blowoff,,1000268902,2831,1615410561,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020424,,49.194003,-122.774362
3898,,1,2,Blowoff,,1000268903,2834,1456611177,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020424,,49.195328,-122.774253
3899,,1,2,Blowoff,,1000268904,2836,1615510684,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020424,,49.196233,-122.774329
3900,,1,2,Blowoff,,1000268906,2840,1632610725,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020424,,49.196963,-122.769606
3901,,1,2,Blowoff,,1000268907,2842,1625310681,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020424,,49.196173,-122.771634
3902,,1,0,Air Valve,,1000270758,,1241909791,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20060628,20080312,49.180229,-122.877546
3903,,1,0,Air Valve,,1000270766,3465,1239709676,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020425,20080312,49.178143,-122.878136
3904,,1,0,Air Valve,,1000265224,16795,1288902782,,,,,,,,,,,,,,100,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020502,20080714,49.053375,-122.864912
3905,,0,0,Air Valve,,1000265229,16800,1298502871,,,,,,,,,,,,,,100,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020502,20081107,49.054990,-122.862256
3906,,1,2,Blowoff,,1000263575,18538,1399801565,,,,,,,,,,,,,,,,,,,,,Abandoned,,,Surrey,,Field staff confirmed 100mm PVC main abandoned June 2012 - exact date of abandonment unknown.,,,ABANDONED,,,,20020503,20120620,49.031324,-122.834448
3907,,0,0,Air Valve,,1000267965,4579,1340710359,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020425,20130107,49.190471,-122.850231
3908,,0,0,Air Valve,,1000269819,15518,1899106392,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020502,20120604,49.118391,-122.696490
3909,,1,2,Blowoff,,1000274491,12026,1196207194,,,,,,,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20020501,20120612,49.133245,-122.890259
3910,,1,1,Blowdown,,1000262211,22541,1150310455,,,,,,350,,,,,,,,,,,,,,,In Service,,,Surrey,,,,,,,,,20030708,20120615,49.192273,-122.902791
3911,,1,2,Blowoff,,1001415483,,1700307979,,,,,,50,,,,,,,,,,,,,,,In Service,7805-0404-00,2012,Surrey,,,Final AB,,,,,,20120611,20120620,49.147233,-122.751149
3912,,0,0,Air Valve,,1000279677,17444,1599902765,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020503,20120621,49.052936,-122.779288
3913,,1,2,Blowoff,,1000274483,12016,1243106463,,,,,,50,,,,,,,,,,,,,,,In Service,,,Surrey,,New blow-off assembly installed to repair leak,,,NEW,20120618,,,20020501,20120625,49.120010,-122.877353
3914,,1,2,Blowoff,,1001174010,,1314106042,,,,,,50,,,,,,,,,,,,,,,In Service,7807-0258-00,2012,Surrey,,,Final AB,,,,,,20120625,20120625,49.112371,-122.857783
3915,,1,2,Blowoff,,1001174803,,1624007951,,,,,,50,,,,,,,,,,,,,,,In Service,7809-0109-00,2011,Surrey,,,Final AB,,,,,,20120217,20120626,49.146774,-122.772218
3916,,1,2,Blowoff,,1001214033,,1475706266,,,,,,50,,,,,,,,,,,,,,,In Service,7809-0247-00,2011,Surrey,,,Final AB,,,,,,20110922,20120710,49.116361,-122.813244
3917,,0,0,Air Valve,,1000275122,16273,1384303169,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020502,20120711,49.060348,-122.838609
3918,,0,0,Air Valve,,1000275075,16224,1399003168,,,,,,,,,,,,,,200,,,,,,,Abandoned,,2006,Surrey,,,Initial AB,,,,,,20020502,20120711,49.060320,-122.834551
3919,,1,2,Blowoff,,1000842612,,1400401568,,,,,,50,,,,,,,,,,,,,,,In Service,1204-6020-00,2007,Surrey,,,Final AB,,,,,,20080125,20120712,49.031373,-122.834275
3920,,1,0,Air Valve,,1000271517,6006,1255809378,,,,,,,,,,,,,,200,,,,,,,In Service,,2006,Surrey,94 AVE & 126 ST,,Initial AB,,,,,,20020429,20170720,49.172749,-122.873707
3921,,1,2,Blowoff,,1001940854,,1458906004,,,50,,,,,,,,,,,,,,,,,,In Service,,2017,Surrey,,As Per Ops,,,,,,,20170720,20170720,49.111614,-122.817873
