,CONTAINER_TYPE,CONTAINER_TYPE2,FACILITYID,DESCRIPTION,LEGACYID,CONTAINER_NO,SURFACE_TREATMENT,SERVICE_LEVEL,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,HOUSE_NO,ROAD_CODE,MAP_PAGE,STATUS_PARKS,STATUS_DATE,PARK_OWNERSHIP,MAINTENANCE_RESPONSIBILITY,OPERATIONAL_RESPONSIBILITY,WORK_ASSIGNMENT,INSERVICE_COST,INSERVICE_DATE,YRS_LIFE_EXPECTANCY,WARRANTY_PROVIDER,VENDOR,MAKE,MODEL,SERIAL_NO,BARCODE,PARK_LEGACY_ID,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
1359,5,Ornamental,1001930208,,,,,,In Service,,,Surrey,BS# 55868,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave W of 154 St N/Side,,,,,,,,20170505,20170505,49.155583,-122.797109
1360,2,Small Bin,1001930204,,,,,,In Service,,,Surrey,BS# 55889,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave E of 148 St S/Side,,,,,,,,20170505,20170505,49.155449,-122.811951
1361,5,Ornamental,1001930211,,,,,,In Service,,,Surrey,BS# 55893,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave E of 156 St S/Side,,,,,,,,20170505,20170505,49.155396,-122.789573
1362,5,Ornamental,1001930194,,,,,,In Service,,,Surrey,BS# 55871,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave W of 148 St N/Side,,,,,,,,20170505,20170505,49.155624,-122.812989
1363,5,Ornamental,1001082202,,,,,,In Service,,2009,Surrey,BS# 60718,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave E of 158 St S/Side,,Initial AB,,,,,,20090212,20170505,49.155376,-122.783858
1364,5,Ornamental,1001930205,,,,,,In Service,,,Surrey,BS# 55890,,,,,,,,Engineering,Engineering,,,,,,,,,,,,84 Ave E of 150 St S/Side,,,,,,,,20170505,20170505,49.155464,-122.806600
1365,0,Dual,1001929154,,,,,,In Service,,,Surrey,BS# 57054,,,,,,,,Engineering,Engineering,,,,,,,,,,,,96 Ave W of 188 St N/Side,,,,,,,,20170501,20171129,49.177093,-122.701848
1366,0,Dual,1001929161,,,,,,In Service,,,Surrey,BS# 61516,,,,,,,,Engineering,Engineering,,,,,,,,,,,,96 Ave E of Prince Charles Blvd S/Side,,,,,,,,20170501,20171129,49.177023,-122.863773
1367,0,Dual,1001927484,,,2502985,,,In Service,,,Surrey,BS# 55539,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502985,,,72 Ave W of King George Blvd. N/side,,,,,,,,20170419,20171129,49.133669,-122.846831
1368,0,Dual,1001927485,,,2502986,,,In Service,,,Surrey,BS# 55564,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC5,2502986,,,128 St N of 60 Ave E/Side ,,,,,,,,20170419,20171129,49.111982,-122.867675
1369,0,Dual,1001929203,,,,,,In Service,,,Surrey,BS# 55418,,,,,,,,Engineering,Engineering,,,,,,,,,,,,8266 KG Blvd E/Side,,,,,,,,20170501,20171129,49.153405,-122.845519
1370,0,Dual,1001927486,,,370596,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,BB3,370596,,,Wickson Rd -12211 ,,,,,,,,20170419,20171129,49.059325,-122.882058
1371,0,Dual,1001931564,,,2403455,,,In Service,,,Surrey,BS# 60758,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,,,,,72 Ave E of 190 St S/Side,,,,,,,,20170516,20171129,49.133518,-122.695538
1372,0,Dual,1001954244,,,2403454,,,In Service,,,Surrey,BS# 55575,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,HC4,2403454,,,72 Ave W of 126 St - N/Side,,,,,,,,20171108,20171129,49.134035,-122.873851
1373,0,Dual,1001954296,144 St N of 76 Ave E/Side ,,2502041,,,In Service,,,Surrey,BS# 55884,,,,,,,,Engineering,Engineering,,,,,,,,BB5,,,,144 St N of 76 Ave E/Side ,,,,,,,,20171108,20171129,49.141286,-122.823251
1374,0,Dual,1001954328,,,,,,In Service,,,Surrey,BS# 55995,,,,,,,,Engineering,Engineering,,,,,,BigBelly,BigBelly,,,,,60 Ave W of 152 St N/Side,,,,,,,,20171108,20171129,49.111802,-122.801613
1375,5,Ornamental,1001956506,,,,,,In Service,,,Surrey,,,,,,,,,Engineering,Engineering,,,,,,,,,,,,64 Ave E of Hwy 15 N/Side,,,,,,,,20171129,20171129,49.118869,-122.734394
1376,5,Ornamental,1001956507,,,,,,In Service,,,Surrey,BS# 61501,,,,,,,,Engineering,Engineering,,,,,,,,,,,,64 Ave E of Fraser Hwy S/Side,,,,,,,,20171129,20171129,49.119176,-122.690607
