,AAS_ID,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DATE_CLOSED,DATE_CONSTRUCTED,DESCRIPTION,DESIGNATION,DISASTER_RESPONSE_ROUTE,FACILITYID,GCNAME,GCPREDIR,GCROADS,GCSUFDIR,GCTYPE,GIS_ENTRY_STAGE,GREENWAY,INSERVICE_COST,INSERVICE_DATE,LEFTFROM,LEFTTO,LEGACYID,LIFECYCLE_COST,LOCATION,MAINTENANCE_RESPONSIBILITY,MAJOR_ROAD_NETWORK,MAP_PAGE,MATERIAL,MOD_DATE,NO_LANE,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,OPERATIONAL_RESPONSIBILITY,OWNER,PARK_LEGACY_ID,PARK_OWNERSHIP,PAVING_DATE,PROJECT_NO,RD_CLASS,RIGHTFROM,RIGHTTO,ROADCODE,ROAD_CENTRELINE_TYPE,ROAD_CENTRELINE_TYPE2,ROAD_NAME,ROW_WIDTH,SPEED,STATUS,STATUS_DATE,STATUS_PARKS,STREETSWEEPING_ROUTE,STRUCTURES_INSPECTION_ROUTE,TRUCK_ROUTE,WARRANTYDATE,WARRANTY_PROVIDER,WORK_ASSIGNMENT,YR,YRS_LIFE_EXPECTANCY,YTD_COST
1004,497,,,,19870916,,,,Translink,Secondary,1000982913,96,,96 AVE,,AVE,,,,,14001,14199,,,,Engineering,Yes,,Asphalt,20171206,4,,,Engineering,Surrey,,,,,Arterial,14002,14198,09600,0,Road,96 Ave,30,50,Open,,,TRANSLINK - T4/T5 CURBS,,Truck Routes,,,,2006,,
1005,617,,,,19870923,,,,,None,1000982991,140,,140 ST,,ST,,,,,9751,9999,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,9752,9998,14000,0,Road,140 St,30,50,Open,,,,,Truck Routes,,,,1974,,
1006,337,,,,19921102,,,,,None,1000982327,100,,100 AVE,,AVE,,,,,14001,14099,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,14002,14098,10000,0,Road,100 Ave,30,60,Open,,,,,,,,,1972,,
1007,655,,,,19870928,,,,,None,1000976920,GROSVENOR,,GROSVENOR RD,,RD,,,,,13857,13857,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,13834,13858,11110,0,Road,Grosvenor Rd,27,50,Open,,,,,,,,,1963,,
1008,635,,,,19870812,20050915,20061030,,,None,1000977194,141,,141 ST,,ST,,,,,2661,2739,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,2660,2738,14100,0,Road,141 St,,50,Open,,,,,,,,,1993,,
1009,635,,,,19870812,,,,,None,1000974476,27A,,27A AVE,,AVE,,,,,14051,14099,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14038,14098,02750,0,Road,27A Ave,,50,Open,,,,,,,,,1993,,
1010,615,,,,19880830,,,,,None,1000985471,32,,32 AVE,,AVE,,,,,14101,14199,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,14102,14198,03200,0,Road,32 Ave,24,50,Open,,,,,,,,,1990,,
1011,615,,,,19880830,,,,,None,1000983469,32,,32 AVE,,AVE,,,,,14201,14299,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,14202,14298,03200,0,Road,32 Ave,24,50,Open,,,,,,,,,1990,,
1012,242,,,,19890802,,,,,None,1000978584,140A,,140A ST,,ST,,,,,8651,8727,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,8652,8726,14050,0,Road,140A St,,50,Open,,,,,,,,,1990,,
1013,501,,,,20030130,,,,,None,1000978440,90A,,90A AVE,,AVE,,,,,14151,14169,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14152,14168,09050,0,Road,90A Ave,,50,Open,,,,,,,,,2003,,
1014,219,,,,19870923,,,,,None,1000972794,142,,142 ST,,ST,,,,,10301,10349,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,10302,10348,14200,0,Road,142 St,24,50,Open,,,,,,,,,1972,,
1015,149,,,,19870812,,,,,None,1000983358,144,,144 ST,,ST,,,,,2401,2449,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,2402,2448,14400,0,Road,144 St,24,50,Open,,,,,,,,,2003,,
1016,149,,,,19870812,,,,,Secondary,1000974593,24,,24 AVE,,AVE,,,,,14401,14599,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Arterial,14402,14598,02400,0,Road,24 Ave,30,50,Open,,,,,,,,,1996,,
1017,680,,,,19870812,,,,,None,1000981166,26,,26 AVE,,AVE,,,,,14259,14399,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,14250,14398,02600,0,Road,26 Ave,,50,Open,,,,,,,,,2012,,
1018,149,,,,19960416,,,,,None,1000977207,28,,28 AVE,,AVE,,,,,14401,14599,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Collector,14402,14598,02800,0,Road,28 Ave,24,50,Open,,,,,,,,,2012,,
1019,680,,,,19890607,,,,,None,1000985348,NORTHCREST,,NORTHCREST DR,,DR,,,,,2951,2999,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,2952,2998,14245,0,Road,Northcrest Dr,,50,Open,,,,,,,,,1990,,
1020,680,,,,19881118,,,,,None,1000974875,NORTHCREST,,NORTHCREST DR,,DR,,,,,3101,3149,,,,Engineering,No,,Asphalt,20171206,2,,,Engineering,Surrey,,,,,Local,3110,3148,14245,0,Road,Northcrest Dr,,50,Open,,,,,,,,,1990,,
