,ADDRESS,COLLECTION_DAY,COMPLEX_NAME,CRE_DATE,MOD_DATE,NO_OF_TOTE,NO_OF_UNITS
39,13789 107A AVE,Thursday,QUATTRO 2,20121008,20170616,3,116
40,14960 102A AVE,Friday,MAX,20121008,20170616,3,65
41,13321 102A AVE,Thursday,AGENDA,20121008,20170616,6,135
42,13339 102A AVE,Thursday,ELEMENT,20121008,20170616,6,71
43,13710 102 AVE,Thursday,CENTRAL CITY PLACE,20121008,20170616,1,10
44,14333 104 AVE,Friday,PARK CENTRAL SURREY,20121008,20170616,7,98
45,13380 108 AVE,Thursday,CITY POINT,20121008,20170616,15,457
46,18211 70 AVE,Wednesday,AUGUSTA WALK,20121008,20170616,5,23
47,12088 75A AVE,Tuesday,THE VILLAS AT STRAWBERRY HILLS ,20121008,20170616,6,48
48,19530 65 AVE,Wednesday,WILLOW GRAND,20121008,20170616,6,43
49,8695 160 ST,Wednesday,MONTE ROSA,20121008,20170616,3,56
50,15336 17A AVE,Monday,GEMINI,20121008,20170616,3,40
51,13728 108 AVE,Thursday,QUATTRO 3,20121008,20170616,1,157
52,15428 31 AVE,Monday,HEADWATERS,20121008,20170616,3,62
53,2524 154 ST,Monday,TOTEM HOUSING COOP,20131023,20170616,6,58
54,3355 ROSEMARY HEIGHTS DR,Monday,DE HAMA,20131113,20170616,2,37
55,15008 26 AVE,Monday,SUNNYSIDE VILLAS,20131113,20170616,9,24
56,15275 19 AVE,Monday,VILLAGE TERRACE,20131114,20170616,7,90
57,15130 29A AVE,Monday,THE SANDS,20131114,20170616,14,52
58,15368 17A AVE,Monday,OCEAN WYNDE,20131114,20170616,3,38
59,13788 71 AVE,Tuesday,ALDER GARDENS,20131114,20170616,4,36
60,13740 75A AVE,Tuesday,MIRRA,20131115,20170616,6,71
61,13733 75A AVE,Tuesday,EARLS COURT,20131115,20170616,3,48
62,7555 120A ST,Tuesday,STRAWBERRY HILL APRTMENTS,20131115,20170616,4,64
63,12075 75A AVE,Tuesday,PICS,20131115,20170616,6,54
64,12039 64 AVE,Tuesday,LUXOR,20131115,20170616,6,96
65,5811 177B ST,Wednesday,LATIS,20131115,20170616,1,34
66,5977 177B ST,Wednesday,THE STETSON,20131115,20170616,3,32
67,17775 57 AVE,Wednesday,THE TRELAWNEY,20131118,20170616,3,31
68,10728 GUILDFORD DR,Friday,GUILDFORD CLOSE,20131120,20170616,18,134
69,13909 102 AVE,Thursday,CENTRAL CITY PLACE,20140204,20170616,3,35
70,13618 100 AVE,Thursday,INFINITY TOWERS,20140204,20170616,9,345
71,10237 133 ST,Thursday,ETHICAL GARDENS,20140204,20170616,6,63
72,10157 UNIVERSITY DR,Thursday,SUTTON MANOR,20140204,20170616,3,51
