,ANCILLARYROLE,ENABLED,DETENTION_POND_TYPE,DETENTION_POND_TYPE2,FACILITYID,LEGACYID,NODE_NO,LIVE_STORAGE_CAPACITY,MAX_STORAGE_DEPTH,PEAK_DISCHARGE,STATUS,OPERATING_STATUS,YR,OWNER,PROJECT_NO,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,LAST_INSP_DATE,OPS_POND_TYPE,SPILLWAY,FENCE,CRE_DATE,MOD_DATE,LEGACY_POND_NO,LEGACY_DETAIL_REPORT,Latitude,Longitude
784,,1,2,Below Ground Municipal,1001843987,,1898703769,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180213,,,49.070919,-122.696904
785,,1,2,Below Ground Municipal,1001843973,,1899103604,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.067938,-122.696806
786,,1,2,Below Ground Municipal,1001843974,,1899003604,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180213,20180215,,,49.067938,-122.696833
787,,1,2,Below Ground Municipal,1001843976,,1897903621,,,,In Service,Open,2017,Surrey,7814-0294-00,,,Initial AB,,,,,,,,20180209,20180215,,,49.068238,-122.697132
788,,1,1,Above Ground Private,1000429425,38675,1534710458,,,,In Service,Open,1990,Private,7887-6340,,,Final AB,,,,,,,,20060629,20101026,0684,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0684.pdf,49.192181,-122.796669
789,,1,0,Above Ground Municipal,1000429540,370760,1334106871,1000,,,In Service,Open,2001,Surrey,4899-6040-00,,,Final AB,,,,,,,,20040331,20140723,no_id4p61,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/no_id4p61.pdf,49.127354,-122.852229
790,,1,1,Above Ground Private,1001408214,,1484009825,,,,,,,Surrey,,,,,,,,,,,,20120416,,0689,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0689.pdf,49.180757,-122.810712
791,,1,1,Above Ground Private,1001408132,,1931906207,,,,,,,Surrey,,,,,,,,,,,,20120416,,0072,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0072.pdf,49.115017,-122.687489
792,,1,1,Above Ground Private,1001408208,,1501410134,,,,,,,Surrey,,,,,,,,,,,,20120416,,0744,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0744.pdf,49.186344,-122.805882
793,,1,1,Above Ground Private,1001408209,,1517010040,,,,,,,Surrey,,,,,,,,,,,,20120416,,0746,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0746.pdf,49.184632,-122.801586
794,,1,0,Above Ground Municipal,1001135007,,1347106884,,,,In Service,Open,1982,Surrey,A-389,,,Final AB,,,,,,,,20091019,20140723,0292,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0292.pdf,49.127585,-122.848643
795,,1,2,Below Ground Municipal,1001718489,,1905203299,,,,In Service,Open,2013,Surrey,7810-0179-00,,,Final AB,,,,,,,,20131114,,,,49.062409,-122.695157
796,,1,1,Above Ground Private,1001408203,,1481710035,,,,,,,Surrey,,,,,,,,,,,,20120416,,0764,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0764.pdf,49.184560,-122.811311
797,,1,2,Below Ground Municipal,1001718490,,1905203300,,,,In Service,Open,2013,Surrey,7810-0179-00,,,Final AB,,,,,,,,20131114,,,,49.062429,-122.695157
798,,1,0,Above Ground Municipal,1001408226,,1598210247,,,,,,,Surrey,,,,,,,,,,,,20120416,,0802,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0802.pdf,49.188338,-122.779149
799,,1,0,Above Ground Municipal,1000429545,79494,1568610237,,,,In Service,Open,1989,Surrey,A-493,,,Final AB,,,,,,,,20060629,20080411,0805,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0805.pdf,49.188173,-122.787323
800,,1,0,Above Ground Municipal,1001408229,,1669110298,,,,,,,Surrey,,,,,,,,,,,,20120416,,0811,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0811.pdf,49.189215,-122.759556
801,,1,0,Above Ground Municipal,1001408178,,1351506730,,,,In Service,Open,1979,Surrey,9323,,,Final AB,,,,,,,,20140723,20140723,0441,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0441.pdf,49.124793,-122.847448
802,,1,2,Below Ground Municipal,1001718491,,1902103300,,,,In Service,Open,2013,Surrey,7810-0179-00,,,Final AB,,,,,,,,20131114,,,,49.062431,-122.696025
803,,1,0,Above Ground Municipal,1000429368,156226,1499308501,,,,In Service,Open,1984,Surrey,A-572,,,Final AB,,,,,,,,20060629,,0933,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/0933.pdf,49.156788,-122.806567
804,,1,0,Above Ground Municipal,1000429542,259321,1447805644,,,,In Service,Open,1991,Surrey,7883-0204-00,,,Final AB,,,,,,,,20060629,20140723,1131,http://cosmos.surrey.ca/geo_ref/images/drainage/detentionponds/datasheets/1131.pdf,49.105110,-122.820980
805,,1,2,Below Ground Municipal,1001718492,,1902103299,,,,In Service,Open,2013,Surrey,7810-0179-00,,,Final AB,,,,,,,,20131114,,,,49.062410,-122.696025
