,BIKE_INFRASTRUCTURE_TYPE,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,FACILITYID,HABITAT,INSERVICE_COST,INSERVICE_DATE,LENGTH,LOCATION,MATERIAL,OPERATOR,PROJECT_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,WIDTH,YR
90,,,Multi-use,Bridgeview Greenway,Greenway,1001819512,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
91,Boulevard Separated Multi-Use Pathway, ,Multi-use,BC Parkway,Greenway,1001359490,,,,,,Asphalt,Engineering,3811-6160-00,Multi-use Pathway,In Service,,,2012
92,Boulevard Separated Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001404371,,,,,,Asphalt,Engineering,3811-6160-00,Multi-use Pathway,In Service,No,,2012
93,Boulevard Multi-Use Pathway, ,Multi-use,Sunnyside Greenway,Greenway,1001833236,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,
94,Boulevard Multi-Use Pathway,,Multi-use,Nicomekl Greenway,Greenway,1001422931,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
95,Off-Street Multi-Use Pathway,,Multi-use,Nicomekl Greenway,Greenway,1001422930,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
96,Bike Lanes,,Multi-use,Semiahmoo Trail,Greenway,1001941561,,,,,,Concrete,Engineering,3809-6050-00,Multi-use Pathway,In Service,No,,2016
97,Bike Lanes,,Multi-use,Semiahmoo Trail,Greenway,1001941560,,,,,,Asphalt,Engineering,3809-6050-00,Multi-use Pathway,In Service,No,,2016
98,Off-Street Multi-Use Pathway, ,Multi-use,Semiahmoo Trail,Greenway,1001402960,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,,,
99,, ,Multi-use,Panorama Greenway,Greenway,1001951908,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
100,,,Multi-use,Surrey Lake Greenway,Greenway,1001854697,,,,,,,Engineering,,Multi-use Pathway,Proposed,,,
101,Off-Street Multi-Use Pathway,,Multi-use,Bear Creek Greenway,Greenway,1001401986,,0,,,,Asphalt,Parks,,Multi-use Pathway,In Service,,3,
102,Off-Street Multi-Use Pathway,,,Surrey Lake Greenway,Greenway,1001953298,,,,,,Asphalt,Parks,3812-6040-00,Multi-use Pathway,In Service,,,2016
103,Off-Street Multi-Use Pathway,,,Surrey Lake Greenway,Greenway,1001953311,,,,,,Asphalt,Parks,,Multi-use Pathway,Abandoned,,,
104,,,Multi-use,Fleetwood Greenway,Greenway,1001403062,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
105,Off-Street Multi-Use Pathway,,Multi-use,Fleetwood Greenway,Greenway,1001402928,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
106,,,Multi-use,Fraser Greenway,Greenway,1001403080,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
107,Boulevard Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001947971,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
108,, ,Multi-use,Bon Accord Greenway,Greenway,1001827799,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,
109,, ,Multi-use,Port Mann Greenway,Greenway,1001819519,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
110,,,Multi-use,Semiahmoo Trail,Greenway,1001402868,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
111,Boulevard Multi-Use Pathway,,Multi-use,Rosemary Greenway,Greenway,1001560533,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
112,,"Asphalt w/ Flat Concrete Curb, both sides",Multi-use,Rosemary Greenway,Greenway,1001780619,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
113,Boulevard Multi-Use Pathway,,Multi-use,Pioneer Greenway,Greenway,1001819474,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
114,Boulevard Multi-Use Pathway,,Multi-use,Rosemary Greenway,Greenway,1001723775,,,,,,Asphalt,Engineering,7812-0311-00,Multi-use Pathway,In Service,No,,2013
