,BIKE_INFRASTRUCTURE_TYPE,COMMENTS,CORRIDOR_FUNCTION,CORRIDOR_NAME,CORRIDOR_TYPE,FACILITYID,HABITAT,INSERVICE_COST,INSERVICE_DATE,LENGTH,LOCATION,MATERIAL,OPERATOR,PROJECT_NO,ROUTE_TYPE2,STATUS,TREES_PLANTED,WIDTH,YR
465,,,Multi-use,Fraser Greenway,Greenway,1001403155,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
466,Off-Street Multi-Use Pathway,,Multi-use,Hawthorne Greenway,Greenway,1001402597,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
467,, ,Multi-use,Bon Accord Greenway,Greenway,1001994848,,,,,,Other,Engineering,1717-7040-00,Multi-use Pathway,Proposed,,,
468,Boulevard Multi-Use Pathway,,Multi-use,Rosemary Greenway,Greenway,1001560530,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
469,,,Multi-use,Pioneer Greenway,Greenway,1001402932,,,,,,,Engineering,7811-0051-00,Multi-use Pathway,Proposed,No,,2009
470,Boulevard Multi-Use Pathway, ,Multi-use,Oliver Greenway,Greenway,1001831149,,,,,,Asphalt,Engineering,3813-6140-00,Multi-use Pathway,In Service,,,2014
471,Boulevard Multi-Use Pathway,,Multi-use,Pioneer Greenway,Greenway,1001422937,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
472,Boulevard Multi-Use Pathway,,Multi-use,Oliver Greenway,Greenway,1001414178,,,,,,Asphalt,Engineering,7810-0020-00,Multi-use Pathway,In Service,,,2012
473,Boulevard Multi-Use Pathway,,Multi-use,Grandview Heights Greenway,Greenway,1001607329,,,,,,Asphalt,Engineering,7810-0320-00,Multi-use Pathway,In Service,,,2013
474,,,Multi-use,Interurban Greenway,Greenway,1001404236,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
475,Boulevard Multi-Use Pathway,,Multi-use,Johnston Greenway,Greenway,1001827000,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
476,,,Multi-use,Johnston Greenway,Greenway,1001403114,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
477,,,Multi-use,Johnston Greenway,Greenway,1001840448,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
478,,,Multi-use,Johnston Greenway,Greenway,1001567028,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
479,Boulevard Multi-Use Pathway,,Multi-use,Johnston Greenway,Greenway,1001567040,,,,,,Asphalt,Engineering,7808-0128-00,Multi-use Pathway,In Service,No,,2012
480,Boulevard Multi-Use Pathway,,Multi-use,Surrey Lakes Greenway,Greenway,1001423789,,,,,,Asphalt,Engineering,7811-0085-00,Multi-use Pathway,In Service,No,,2013
481,Boulevard Multi-Use Pathway,,Multi-use,Surrey Lake Greenway,Greenway,1001403100,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
482,, ,Multi-use,Fleetwood Greenway,Greenway,1001422241,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
483,, ,Multi-use,Surrey Lake Greenway,Greenway,1001817412,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
484,Boulevard Multi-Use Pathway, ,Multi-use,Surrey Lake Greenway,Greenway,1001819607,,,,,,Asphalt,Engineering,7814-0138-00,Multi-use Pathway,In Service,,,2015
485,,,Multi-use,Clow Greenway,Greenway,1001402912,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
486,Neighbourhood Bike Route,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001402580,,,,,,Asphalt,Engineering,,Bike Route,In Service,,,
487,,,Multi-use,Mitchell Greenway,Greenway,1001819529,,,,,,,Metro Vancouver,,Multi-use Pathway,Proposed,No,,2009
488,,,,Port Mann Greenway,Greenway,1001900142,,,,,,Concrete,,MOTH Ped. Opass 5926,Pedestrian Bridge,In Service,,,2013
489,Boulevard Multi-Use Pathway,,Multi-use,Clow Greenway,Greenway,1001951285,,,,,,Asphalt,Engineering,3814-4050-00,Multi-use Pathway,In Service,No,,2016
490,Boulevard Multi-Use Pathway,,Multi-use,,Greenway,1001956639,,,,,,Asphalt,Engineering,7813-0189-00,Multi-use Pathway,Proposed,,,
491,Boulevard Multi-Use Pathway,,Multi-use,Douglas Greenway,Greenway,1001950950,,,,,,Asphalt Concrete,Engineering,7810-0182-00,Multi-use Pathway,In Service,No,,2012
492,Boulevard Multi-Use Pathway,,Multi-use,Douglas Greenway,Greenway,1001402205,,,,,,Asphalt,Engineering,MOTH 11257,Multi-use Pathway,In Service,No,,2006
493,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001887280,,,,,,Asphalt,Engineering,7815-0084-00,Multi-use Pathway,In Service,,,2017
494,,,,Redwood Heights Greenway,Greenway,1001563147,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
495,,,Multi-use,Hook Greenway,Greenway,1001404228,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2012
496,,,Multi-use,Hook Greenway,Greenway,1001402885,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
497,Boulevard Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001402408,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
498,,,Multi-use,Coast Meridian Greenway,Greenway,1001566083,,,,,Serpentine River & 168 St,Concrete,Engineering,1712-8100-00,Pedestrian Bridge,In Service,No,,2012
499,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001402499,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,No,,2009
500,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001578172,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
501,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001402399,,,,,,Asphalt,Engineering,1797-3260-00,Multi-use Pathway,In Service,No,,2011
502,Boulevard Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001607153,,,,,,Asphalt,Engineering,7806-0270-00,Multi-use Pathway,In Service,No,,2007
503,Boulevard Multi-Use Pathway,,Multi-use,Bose Greenway,Greenway,1001402494,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
504,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001830662,,,,,,Asphalt,Engineering,3810-6130-00,Multi-use Pathway,In Service,,,2015
505,Off-Street Multi-Use Pathway,,Multi-use,Clayton Greenway,Greenway,1001881257,,,,,,Asphalt,Engineering,7804-0203-00,Multi-use Pathway,In Service,No,,2016
506,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001561854,,,,,,Asphalt,Engineering,3809-6070-00,Multi-use Pathway,In Service,No,,2012
507,Boulevard Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001402319,,,,,,Asphalt,Engineering,1709-3090-00,Multi-use Pathway,In Service,No,,2012
508,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Greenway,Greenway,1001826566,,,,,,,Engineering,1713-3160-00,Multi-use Pathway,In Service,No,,2014
509,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Greenway,Greenway,1001419365,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
510,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Tynehead Perimeter Trail,Greenway,1001700003,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
511,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Perimeter Trail,Greenway,1001700005,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
512,, ,Multi-use,Riverside Greenway,Greenway,1001858402,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
513,Boulevard Multi-Use Pathway,,,,Greenway,1001836638,,,,,,Asphalt,Engineering,1713-3100-00,Multi-use Pathway,In Service,No,,2015
514,Off-Street Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001402502,,,,,from 60 Ave at 18500 blk to 58 Ave at 18700 blk,Asphalt,Parks,3807-6080-00,Multi-use Pathway,In Service,No,,2012
515,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001723600,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
516,,,Multi-use,Armstrong Greenway,Greenway,1001899655,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
517,,,Multi-use,Hazelgrove Greenway,Greenway,1001402916,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
518,Boulevard Multi-Use Pathway,,Multi-use,Latimer Greenway,Greenway,1001406250,,,,,,,Engineering,,Multi-use Pathway,In Service,No,,2016
519,Boulevard Multi-Use Pathway,,Multi-use,,Greenway,1001413436,,,,,,Asphalt,Engineering,7810-0179-00,Multi-use Pathway,In Service,,,2013
520,Boulevard Multi-Use Pathway,,Multi-use,Latimer Greenway,Greenway,1001952141,,,,,,Asphalt,,7816-0289-00,Multi-use Pathway,In Service,,,2018
521,Boulevard Multi-Use Pathway,,Multi-use,Clayton Greenway,Greenway,1001434522,,,,,,Other,Engineering,7807-0204-00,Multi-use Pathway,In Service,,,2013
522,Off-Street Multi-Use Pathway,,Multi-use,Hazelgrove Greenway,Greenway,1001886348,,,,,192 St entrance to park,Asphalt,Parks,,Multi-use Pathway,In Service,No,,2009
523,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001405352,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
524,,,Multi-use,Hazelgrove Greenway,Greenway,1001886347,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
525,,Previous null FACILITYID,Multi-use,Scottsdale Greenway,Greenway,1001563791,,,,0,,,Engineering,,Multi-use Pathway,Proposed,No,,2012
526,Off-Street Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001402136,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
527,Boulevard Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001402489,,,,,,Asphalt,Engineering,7805-0143-00,Multi-use Pathway,In Service,No,,2009
528,,,Multi-use,Riverside Greenway,Greenway,1001403196,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
529,Boulevard Separated Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001422906,,,,,,Asphalt,Engineering,1799-2230-00,Multi-use Pathway,In Service,No,,2001
530,Cycling-Permitted Sidewalk,,Multi-use,Nicomekl Greenway,Greenway,1001402815,,,,,,Gravel,Engineering,,Bike Route,In Service,No,,2009
531,Neighbourhood Bike Route,Part of the Trans Canada Trail,Multi-use,Mud Bay Dike Trail,Greenway,1001402348,,,,,,Asphalt,Engineering,,Bike Route,In Service,,,
532,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001780520,,,,,,Asphalt,Engineering,1799-2250-07,Multi-use Pathway,In Service,No,,2012
533,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001422902,,,,,,Asphalt,Parks,,Multi-use Pathway,In Service,,,2009
534,,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001403229,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
535,Off-Street Multi-Use Pathway,(lbob new) ,Multi-use,Green Timbers Greenway,Greenway,1001484894,,0,20070101,,from 128 St to 132 St,Asphalt,Parks,,Multi-use Pathway,In Service,No,4,2009
536,Boulevard Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001402314,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
537,Boulevard Separated Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001401994,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
538,Off-Street Multi-Use Pathway,,Multi-use,,Greenway,1001879195,,,,,Path off of P1 adjacent to parking lot,Asphalt,Parks,,Multi-use Pathway,In Service,,,
539,, ,Multi-use,BC Parkway,Greenway,1001731787,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
540,,,Multi-use,BC Parkway,Greenway,1001802013,,,,,,Asphalt,Engineering,7814-0012-00,Multi-use Pathway,Proposed,,,
541,Boulevard Multi-Use Pathway,3.0m Bus Pad,,,Greenway,1001726504,,,,,,Concrete,Engineering,1705-7110-00,Multi-use Pathway,In Service,No,,2007
542,, ,Multi-use,Elgin Greenway,Greenway,1001935120,,,,,,Other,Engineering,7814-0299-00,Multi-use Pathway,Proposed,,4,2016
543,Off-Street Multi-Use Pathway, ,Multi-use,Semiahmoo Trail,Greenway,1001401837,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,,,
544,,Conceptual overpass,Multi-use,Nicomekl Greenway,Greenway,1001402901,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
545,Off-Street Multi-Use Pathway, ,Multi-use,Newton Greenway,Greenway,1001751894,,,,,,Other,Engineering,7812-0328-00,Multi-use Pathway,In Service,,4,2014
546,Boulevard Multi-Use Pathway,,Multi-use,Panorama Greenway,Greenway,1001924572,,,,,,Asphalt,Engineering,7815-0246-00,Multi-use Pathway,In Service,,,2017
547,,,Multi-use,Bose Greenway,Greenway,1001850262,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
548,Boulevard Multi-Use Pathway,,Multi-use,Bear Creek Greenway,Greenway,1001402220,,0,,,,Asphalt,Parks,,Multi-use Pathway,In Service,,,
549,,,,Fleetwood Greenway,Greenway,1001819504,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
550,,,Multi-use,Whalley Parkway,Greenway,1001404231,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2012
551,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Quibble Creek Greenway,Greenway,1001484978,,0,,,from 138 St to Kenmore Drive,Asphalt,Parks,3811-6590-00,Multi-use Pathway,In Service,No,,2014
552,,,Multi-use,Quibble Creek Greenway,Greenway,1001402989,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,No,,2009
553,Off-Street Multi-Use Pathway,,Multi-use,,Greenway,1001605760,,,20121001,,connector P2 to P4,Gravel,Parks,,Multi-use Pathway,In Service,,,2012
554,, ,Multi-use,Bon Accord Greenway,Greenway,1001986365,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
555,, ,Multi-use,Quibble Creek Greenway,Greenway,1001986361,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
556,Off-Street Multi-Use Pathway,,Multi-use,Hawthorne Greenway,Greenway,1001402552,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
557,Boulevard Multi-Use Pathway,,Multi-use,Semiahmoo Trail,Greenway,1001402867,,,,,,Concrete,Engineering,,Multi-use Pathway,In Service,No,,2011
558,,,Multi-use,Semiahmoo Trail,Greenway,1001416443,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
559,,Previous duplicate FACILITYID 1001404828,Multi-use,Pioneer Greenway,Greenway,1001724574,,,,0,,Other,Engineering,7808-0154-00,Multi-use Pathway,Proposed,,,2013
560,Off-Street Multi-Use Pathway, ,Multi-use,Semiahmoo Trail,Greenway,1001787825,,,,,,Gravel,Engineering,7811-0328-00,Multi-use Pathway,In Service,,,2014
561,Boulevard Multi-Use Pathway,,Multi-use,Rosemary Greenway,Greenway,1001560532,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
562,,,Multi-use,Oliver Greenway,Greenway,1001402969,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
563,Boulevard Multi-Use Pathway,,Multi-use,Wills Brook Greenway,Greenway,1001943612,,,,,,Asphalt,Engineering,7814-0253-00,Multi-use Pathway,In Service,,,2017
564,Boulevard Multi-Use Pathway,,Multi-use,Wills Brook Greenway,Greenway,1001778240,,,,,,Asphalt,Engineering,7811-0287-00,Multi-use Pathway,In Service,No,4,2015
565,Boulevard Multi-Use Pathway, ,Multi-use,Wills Brook Greenway,Greenway,1001864700,,,,,,Asphalt,Engineering,7811-0255-00,Multi-use Pathway,In Service,,4,2015
566,Boulevard Multi-Use Pathway,,Multi-use,Grandview Heights Greenway,Greenway,1001607326,,,,,,Asphalt,Engineering,7810-0319-00,Multi-use Pathway,In Service,No,,2017
567,Boulevard Multi-Use Pathway,,Multi-use,Grandview Heights Greenway,Greenway,1001402224,,,,,,Asphalt,Engineering,7810-0320-00,Multi-use Pathway,In Service,,,2013
568,Boulevard Multi-Use Pathway,,Multi-use,Grandview Heights Greenway,Greenway,1001827284,,,,,,Asphalt Concrete,Engineering,7814-0159-00,Multi-use Pathway,In Service,No,4,2016
569,Off-Street Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001422883,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
570,Neighbourhood Bike Route,,Multi-use,Hook Greenway,Greenway,1001422942,,,,,,Asphalt,Engineering,,Bike Route,In Service,No,,2009
571,,,,Hook Greenway,Greenway,1001422943,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
572,Off-Street Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001422886,,,,,,Gravel,Engineering,,Multi-use Pathway,In Service,No,,2009
573,Off-Street Multi-Use Pathway,,Multi-use,Surrey Lake Greenway,Greenway,1001402402,,0,20011023,,,Gravel,Parks,,Multi-use Pathway,In Service,No,8,2009
574,Off-Street Multi-Use Pathway,,Multi-use,Fleetwood Greenway,Greenway,1001405484,,0,20130101,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
575,,,Multi-use,Guildford Greenway,Greenway,1001402918,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
576,Boulevard Multi-Use Pathway,,Multi-use,Mitchell Greenway,Greenway,1001933349,,,,,,Asphalt,Engineering,7815-0228-00,Multi-use Pathway,Proposed,,,
577,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Green Timbers Greenway,Greenway,1001402941,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,2011
578,,,Multi-use,Marine Greenway,Greenway,1001950958,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
579,, ,Multi-use,Douglas Greenway,Greenway,1001403132,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
580,Off-Street Multi-Use Pathway,SEE FT01574,Multi-use,Douglas Greenway,Greenway,1001792056,,,,,,Asphalt Concrete,Engineering,7804-0411-00,Multi-use Pathway,In Service,No,,2009
581,Boulevard Multi-Use Pathway,,Multi-use,Douglas Greenway,Greenway,1001423225,,,,,,Asphalt,Engineering,7806-0098-00,Multi-use Pathway,In Service,No,,2009
582,Boulevard Separated Multi-Use Pathway,,Multi-use,Grandview Ridge Trail Greenway,Greenway,1002021787,,,,,,Asphalt,Engineering,7814-0257-00,Multi-use Pathway,In Service,No,,2016
583,Boulevard Multi-Use Pathway,,Multi-use,Grandview Ridge Trail Greenway,Greenway,1001938419,,,,,,,Engineering,7814-0257-00,Multi-use Pathway,In Service,No,,2016
584,Boulevard Multi-Use Pathway,,Multi-use,Grandview Ridge Trail Greenway,Greenway,1001927693,,,,,,Asphalt,Engineering,7815-0087-00,Multi-use Pathway,In Service,,,2017
585,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001992675,,,,,,Concrete,Engineering,7815-0084-00,Multi-use Pathway,In Service,,,2017
586,Boulevard Multi-Use Pathway, ,Multi-use,Coast Meridian Greenway,Greenway,1001792677,,,,,,Asphalt Concrete,Engineering,7812-0153-00,Multi-use Pathway,In Service,,4,2014
587,Boulevard Multi-Use Pathway,,Multi-use,Grandview Heights Greenway,Greenway,1001972091,,,,,,Asphalt,Engineering,7814-0354-00,Multi-use Pathway,Proposed,No,,
588,,,Multi-use,Grandview Heights Greenway,Greenway,1001901558,,,,,,Asphalt,Engineering,7815-0133-00,Multi-use Pathway,Proposed,,,
589,,,Multi-use,Coast Meridian Greenway,Greenway,1001402908,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
590,,,Multi-use,Grandview Heights Greenway,Greenway,1001402889,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
591,Off-Street Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001422889,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
592,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001402492,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2011
593,Boulevard Multi-Use Pathway,,Multi-use,Bose Greenway,Greenway,1001422534,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
594,Boulevard Multi-Use Pathway,,Multi-use,Hook Greenway,Greenway,1001607134,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
595,Off-Street Multi-Use Pathway,,Multi-use,Cloverdale Greenway,Greenway,1001855347,,,,,,,,,Multi-use Pathway,Proposed,,,
596,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001580050,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
597,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001415243,,,,,,Concrete,Engineering,1704-3310-00,Multi-use Pathway,In Service,No,,2014
598,,,Multi-use,Fleetwood Greenway,Greenway,1001402836,,,,,,Asphalt,Engineering,3810-6180-00,Multi-use Pathway,Proposed,No,,
599,,,Multi-use,Fraser Greenway,Greenway,1001578610,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
600,Boulevard Multi-Use Pathway,,Multi-use,Fleetwood Greenway,Greenway,1001402243,,0,20050201,,Arterial,Asphalt,Engineering,3810-6130-00,Multi-use Pathway,In Service,No,,2017
601,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Greenway,Greenway,1001567569,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
602,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Perimeter Trail,Greenway,1001954092,,,,,Tynehead Pedestrian Bridge,Asphalt,Engineering,3809-6090-00,Multi-use Pathway,In Service,No,,2009
603,Boulevard Multi-Use Pathway,,Multi-use,Coast Meridian Greenway,Greenway,1001402318,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
604,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Tynehead Greenway,Greenway,1001826564,,,,,,,Engineering,,Multi-use Pathway,In Service,No,,2009
605,Off-Street Multi-Use Pathway,,Multi-use,Tynehead Greenway,Greenway,1001826559,,,,,,,Engineering,1713-3160-00,Multi-use Pathway,In Service,No,,2014
606,,,Multi-use,Anniedale Greenway,Greenway,1001819532,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
607,Boulevard Multi-Use Pathway,,Multi-use,Fraser Heights Greenway,Greenway,1001851235,,,,,,Asphalt,,3809-6080-00,Multi-use Pathway,In Service,,,2015
608,Boulevard Multi-Use Pathway,,Multi-use,Fraser Heights Greenway,Greenway,1001583362,,,,,,Other,Engineering,3809-6080-00,Multi-use Pathway,In Service,,,2015
609,,,Multi-use,Anniedale Greenway,Greenway,1001403081,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
610,,,Multi-use,Abbey Ridge Greenway,Greenway,1001955833,,,,,,Asphalt,Engineering,,Multi-use Pathway,Proposed,,,
611,Boulevard Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Golden Ears Greenway,Greenway,1001402303,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
612,,,Multi-use,Riverside Greenway,Greenway,1001402887,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
613,,,Multi-use,Cloverdale Greenway,Greenway,1001403094,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
614,, ,Multi-use,Bose Greenway,Greenway,1001558080,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
615,Boulevard Multi-Use Pathway,,Multi-use,Fraser Greenway,Greenway,1001434435,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2009
616,Boulevard Multi-Use Pathway,,Multi-use,Latimer Greenway,Greenway,1001946457,,,,,,Asphalt,,7816-0289-00,Multi-use Pathway,In Service,,,2018
617,Boulevard Multi-Use Pathway,RBRC,Multi-use,Latimer Greenway,Greenway,1001951171,,,,,,Asphalt,Engineering,1709-3130-00,Multi-use Pathway,In Service,No,,2014
618,Boulevard Multi-Use Pathway,RBRC,Multi-use,Cloverdale Greenway,Greenway,1001950863,,,,,,Asphalt,Engineering,1709-7090-00,Multi-use Pathway,In Service,,,2014
619,Boulevard Multi-Use Pathway,RBRC,Multi-use,Cloverdale Greenway,Greenway,1001404831,,,,,,Asphalt,Engineering,1709-3140-00,Multi-use Pathway,In Service,,,2014
620,, ,Multi-use,Clayton Greenway,Greenway,1001434521,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
621,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001405350,,,,,,Asphalt,Engineering,7806-0463-00,Multi-use Pathway,In Service,,,2012
622,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001434654,,,,,,,Engineering,7806-0463-00,Multi-use Pathway,In Service,No,,2009
623,Boulevard Multi-Use Pathway,4.0m,Multi-use,Clayton Greenway,Greenway,1001759031,,,,,,Asphalt,Engineering,7812-0235-00,Multi-use Pathway,In Service,No,,2014
624,Boulevard Multi-Use Pathway, ,Multi-use,Clayton Greenway,Greenway,1001434539,,,,,,Other,Engineering,,Multi-use Pathway,In Service,,,
625,Boulevard Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001402485,,,,,,Asphalt,Engineering,7805-0143-00,Multi-use Pathway,In Service,No,,2009
626,Boulevard Multi-Use Pathway,,Multi-use,Scott Greenway,Greenway,1001806154,,,,,,,Engineering,1713-3070-00,Multi-use Pathway,In Service,No,,2014
627,Boulevard Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001401993,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
628,,,Multi-use,Sunnyside Greenway,Greenway,1001402872,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
629,Off-Street Multi-Use Pathway,(lbob new) ,Multi-use,,Greenway,1001484885,,0,,,"From T9 near boat yard,circleing open middle area",Gravel,Parks,,Multi-use Pathway,In Service,No,2.5,2009
630,, ,Multi-use,Nicomekl Greenway,Greenway,1001403064,,,,,,Other,Engineering,,Multi-use Pathway,Proposed,,,
631,Off-Street Multi-Use Pathway,,Multi-use,Scottsdale Greenway,Greenway,1001406029,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,,2012
632,Off-Street Multi-Use Pathway,Part of the Trans Canada Trail,Multi-use,Newton Greenway,Greenway,1001402221,,0,20000828,,,Asphalt,Engineering,,Multi-use Pathway,In Service,No,4,2009
633,Boulevard Multi-Use Pathway,,Multi-use,Surrey Lake Greenway,Greenway,1001402598,,,,,,Asphalt,Engineering,,Multi-use Pathway,In Service,,,
634,,,Multi-use,Central City Greenway,Greenway,1001402980,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
635,Boulevard Multi-Use Pathway,,Multi-use,BC Parkway,Greenway,1001859468,,,,,,Concrete,Engineering,3805-6070-00,Multi-use Pathway,In Service,No,,2009
636,,,Multi-use,Bridgeview Greenway,Greenway,1001421129,,,,,,,Engineering,,Multi-use Pathway,Proposed,No,,2009
