,CRE_DATE,MOD_DATE,PLANID,PLAN_NO,PLAN_TYPE,PLAN_TYPE2,STATUS,YR
3513,19980429,20050913,30784,LMP31845,3,Reference Plan,Registered,1997
3514,19980429,20050913,31032,LMP35202,3,Reference Plan,Registered,1997
3515,19850801,20050913,14185,27432,6,Subdivision,Registered,1964
3516,19980915,20050913,20504,LMP36677,6,Subdivision,Registered,1998
3517,20050913,20060125,28908,87817,3,Reference Plan,Registered,1990
3518,19920324,20050913,32441,LMP6958,3,Reference Plan,Registered,1992
3519,19850801,20050913,14404,31282,6,Subdivision,Registered,1967
3520,20050913,20070502,24133,31281,6,Subdivision,Registered,1967
3521,19911028,20080304,29319,LMP00706,3,Reference Plan,Registered,1991
3522,19930128,20050913,21211,LMP9680,6,Subdivision,Registered,1993
3523,20000519,20050913,20569,LMP38507,6,Subdivision,Registered,1998
3524,20020725,20050913,31968,LMP48480,3,Reference Plan,Registered,2001
3525,20021008,20030617,2003,BCP05121,6,Subdivision,Registered,2003
3526,19850801,20050913,17100,65189,6,Subdivision,Registered,1982
3527,19850801,20050913,17324,67237,6,Subdivision,Registered,1983
3528,19850801,20050913,14740,36566,6,Subdivision,Registered,1969
3529,19850801,20050913,13875,22225,6,Subdivision,Registered,1960
3530,19850801,20050913,14716,36147,2,Explanatory,Registered,1969
3531,19850801,20050913,16021,5419,6,Subdivision,Registered,1934
3532,19990629,20070509,29996,LMP18690,4,Right of Way,Registered,1994
3533,20070212,20070509,9820,BCP25719,4,Right of Way,Registered,2005
3534,19930503,20070509,32392,LMP6167,4,Right of Way,Registered,1993
3535,19920511,20070509,28639,85899,4,Right of Way,Registered,1990
3536,20020628,20070509,3702,LMP54248,4,Right of Way,Registered,2002
3537,20030805,20070509,2536,BCP06253,4,Right of Way,Registered,2003
3538,20060609,20070509,6252,BCP19080,4,Right of Way,Registered,2005
3539,20081118,20081216,22464,BCP03219-01,9,Strata,Registered,2008
3540,20081203,20100624,22499,BCP44657,3,Reference Plan,Registered,2010
3541,20081118,20090512,22470,BCS02963-05,9,Strata,Registered,2008
3542,20081203,20081203,22494,BCS03188,9,Strata,Registered,2008
3543,20081211,20090107,22511,BCS03249,9,Strata,Registered,2008
3544,20081211,20090128,22498,BCP39659,3,Reference Plan,Registered,2008
3545,20080813,20081029,22252,BCP38233,6,Subdivision,Registered,2008
3546,20080813,20090618,22237,BCP41000,1,Early Copy,Registered,2008
3547,20080813,20081001,22257,BCS03092-01,9,Strata,Registered,2008
3548,20080813,20081029,22256,BCS03097,9,Strata,Registered,2008
3549,20080813,20080813,22265,BCS02995,9,Strata,Registered,2008
3550,20080815,20080815,22269,BCP37233,4,Right of Way,Registered,2008
3551,20080909,20080909,10923,BCP30722,4,Right of Way,Registered,2007
3552,20080821,20090109,22277,BCS02896-03,9,Strata,Registered,2008
3553,20080821,20090330,22276,BCS02897-03,9,Strata,Registered,2008
