,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,FACILITYID,GIS_ENTRY_STAGE,LEGACYID,LOCATION,MAP_NO,MOD_DATE,NAME,OWNER,PROJECT_NO,SENSITIVITY,STATUS,WARRANTYDATE,WATER_BODY_TYPE,YR
512,Elevation 53.39,,,20130529,1001598023,Final AB,,17430blk 96 Ave,026,20140502,Biopond No 7,Surrey,1707-3180-00,B,In Service,,Dry Detention Pond,2012
513,,,,20130606,1001598975,Final AB,,,121,20140502,,Surrey,9536,C,In Service,,Dry Detention Pond,1980
514,,,,20130802,1001607989,,,,097,20140502,,Surrey,,A,In Service,,Forebay,
515,,,,20140321,1001736560,Final AB,,,035,20140502,,Surrey,7888-0070-00,C,In Service,,Dry Detention Pond,1990
516,,,,20140505,1001746100,Final AB,,,112,20140505,Chantrell Detention Pond,Surrey,4898-6060-00,A,In Service,,Lake,2014
517,,,,20111115,1001220582,Final AB,,,033,20140506,Above Ground Municipal,Surrey,9427,C,In Service,,Dry Detention Pond,1979
518,,,,20130207,1001566801,Initial AB,,Northview Golf Course,065,20140502,,Private,,C,In Service,,Wet Detention Pond,
519,Det. Pond,,,20140506,1001746547,Final AB,,,033,20140506,,Surrey,A364,,In Service,,Lake,1981
520,,,,20111115,1001220609,Final AB,,,042,20140507,Above Ground Municipal,Surrey,7886-0459-00,C,In Service,,Other,1991
521,Elevation 14.14,,,20130528,1001597881,Final AB,,17100blk 96 Ave,026,20140502,Biopond No 1,Surrey,1707-3180-00,B,In Service,,Dry Detention Pond,2012
522,Elevation 28.88,,,20130528,1001597883,Final AB,,16970blk 96 Ave,026,20140502,Biopond No 2,Surrey,1707-3180-00,B,In Service,,Dry Detention Pond,2012
