,STRUCTURE_TYPE,STRUCTURE_TYPE2,DESCRIPTION,LOCATION,STRUCTURE_DETAIL_TYPE,SPECIAL_FEATURES,MATERIAL_TYPE,WIDTH_M,SEATING_TYPE,GIFT_DONATION,PLAQUE_DETAIL,BENCH_STYLE,CAPACITY,DIMENSION_M2,COMPONENT_TYPE,SURFACE_MATERIAL,WINTERIZED,LENGTH_M,HOUSE_NO,STATUS,STATUS_DATE,PARK_OWNERSHIP,INSERVICE_DATE,INSERVICE_COST,CONDITION,YRS_LIFE_EXPECTANCY,WARRANTYDATE,WARRANTY_PROVIDER,OPERATING_LOCATION,OPERATING_LOCATION_TYPE,Latitude,Longitude
2329,4,Stairs,"Stairway #1 - Wood; Bailey Crescent Park, 11600 - Bailey Cres",along path,,,Wood,,,,,,,,,,,,11600,OPERATING,,,,,,,,,"Bailey Crescent Park, 11600 Bailey Cres",Land,49.183983,-122.901429
2330,0,Benches and Bleachers,"Bench; Morningside Park, 8229 150 St",north side of playground - inside playground area,,,,0,Bench,,,,0,,,,,,08229,OPERATING,20040319,,20040129,0,,,,,"Morningside Park, 8229 150 St",,49.152560,-122.807410
2331,0,Benches and Bleachers,"Bench; Betty Huff Park, 13105 Huntley Ave",Northwest corner of playground,,,,0,Bench,,,,0,,,,,,13105,OPERATING,20060201,,20040831,0,,,,,"Betty Huff Park, 13105 Huntley Ave",,49.172511,-122.859512
2332,0,Benches and Bleachers,"Grandstand; Whalley Athletic Park, 13351 105A Ave","Whalley Athletic Park - Ref#202 - Baseball 1, behind 1st baseline",,,Aluminum,,Bleacher,,,,1100,,,,,,13351,OPERATING,,,,,,,,"Whalley Athletic Park - Ref#202 - Baseball 1, behind 1st baseline","Whalley Athletic Park, 13351 105A Ave",,49.194858,-122.851533
2333,0,Benches and Bleachers,"2 Fixed Location Benches; AHP Matthews Park, 9762 - 132 St",1st Baseline of Dia-SB,,,,0,Bench,,,,0,,,,,,09762,OPERATING,,,,0,,,,,"A.H.P. Matthew Park, 9762 132 St",,49.180140,-122.854486
2334,0,Benches and Bleachers,"Fixed Location Bench; AHP Matthews Park, 9762 - 132 St",1st Baseline of Dia-SB,,,,0,Bench,,,,0,,,,,,09762,OPERATING,,,,0,,,,,"A.H.P. Matthew Park, 9762 132 St",,49.180125,-122.854557
2335,6,Other,"Kiosk; Alderwood Park, 1761 Lilac Dr",north of middle lake,,,,,,,,,,,,,,,01761,OPERATING,,,,,,,,,"Alderwood Park, 1761 Lilac Dr",Park,49.032941,-122.781909
2336,6,Other,"Kiosk; Alderwood Park, 1761 Lilac Dr",just south of tennis courts,,,,,,,,,,,,,,,01761,OPERATING,,,,,,,,,"Alderwood Park, 1761 Lilac Dr",Park,49.033719,-122.784392
2337,1,Gates,"Bollard; AHP Matthews Park, 9762 - 132 St",N.W. Corner of Park entrance,Bollard,,Metal,,,,,,,,,,,,09762,OPERATING,,,,,,,,,"A.H.P. Matthew Park, 9762 132 St",Park,49.180620,-122.856346
2338,1,Gates,"Bollard; AHP Matthews Park, 9762 - 132 St",N.W. Corner of Park entrance,Bollard,,Metal,,,,,,,,,,,,09762,OPERATING,,,,,,,,,"A.H.P. Matthew Park, 9762 132 St",Park,49.180635,-122.856348
2339,1,Gates,"Bollard; Enver Creek Park, 8170 146 St",At 146 St entrance,Bollard,,,,,,,,,,,,,,08170,OPERATING,,,,,,,,,"Enver Creek Park, 8170 146 St",,49.151206,-122.817472
2340,0,Benches and Bleachers,"Bench; Don Christian Park, 6220 184 St",beside volley ball court,,,,0,Bench,,,,0,,,,,,06220,OPERATING,,,20170608,0,,,,,"Don Christian Park, 6220 184 St",Park,49.115557,-122.709289
2341,4,Stairs,"Concrete Stairs; The Glades, 561 172 St",along Murray Lane,,,Concrete,,,,,,,,,,,5,00561,OPERATING,,,,,,,,,"The Glades, 561 172 St",Park,49.011361,-122.747623
2342,0,Benches and Bleachers,"Bench; Don Christian Park, 6220 184 St",Surrounding Playground-SE. Area Of Park,,,,0,Bench,,,,0,,,,,,06220,OPERATING,,,,0,,,,,"Don Christian Park, 6220 184 St",,49.115430,-122.708338
2343,0,Benches and Bleachers,"Wood Bleacher; Tom Binnie Park   (Olympic Venue Site), 10665 City Parkway",Tom Binnie Park - Ref#190 - Soccer 1 - North Side,,,Wood,,Bleacher,,,,,,,,,,10665,OPERATING,,,,,,,,Tom Binnie Park - Ref#190 - Soccer 1 - North Side,"Tom Binnie Park   (Olympic Venue Site), 10665 City Parkway",,49.195313,-122.849579
2344,0,Benches and Bleachers,"Bench; Blackie Spit, 3136 McBride Ave","In the park, bench ref # 16",,,Wood,,Bench,N,,Log,,,,,,,03136,OPERATING,20061017125800,,19980101,0,,,20080101,,"Blackie Spit, 3136 McBride Ave",Park,49.059747,-122.882406
2345,1,Gates,"Bollard; Unwin Park, 13313 - 68 Ave",Pathway off 68 Ave next to caretakers house,Bollard,,Metal,,,,,,,,,,,,13313,OPERATING,,,,0,,,,,"Unwin Park, 13313 68 Ave",Park,49.126500,-122.852212
