,AMENDMENT_DATE,AMENDMENT_DESCRIPTION,AMENDMENT_RESOLUTION,CRE_DATE,DENSITY_HIGH,DENSITY_LOW,DENSITY_UNITS,FOLDER,LAND_USE,MOD_DATE,PLAN_AREA,PLAN_STATUS,PLAN_TYPE,PLAN_YEAR
102,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
103,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
104,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
105,, , ,,10,,UPA, ,Small Lot (10 u.p.a.),20140612,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
106,, , ,,,,, ,Buffers/Greenways,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
107,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
108,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
109,, , ,,,,, ,Existing Local Commercial,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
110,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
111,, , ,,,,, ,Schools,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
112,, , ,,,,, ,Institutional,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
113,,,,,13,,UPA,,Small Lot with Lane (13 u.p.a.),20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
114,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),20120628,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
115,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
116,, , ,,,,, ,Parks,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
117,, , ,,,,, ,Proposed Local Commercial,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
118,20160725,Amended From Attached Housing (max 20 u.p.a.) to Townhouse (25 upa),RES.R16-1772,,25,,UPA,7915-0038-00,Townhouse (25 upa),20180619,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
119,,,,,10,,UPA,,Small Lot (10 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
120,, , ,,,,, ,Parks,20130411,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
121,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
122,,,,,10,,UPA,,Small Lot (10 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
123,20120507,Small Lot with Lane (13 u.p.a.) and Small Lot (10 u.p.a.) to Institutional   7908-0099-00   Catherina Lisiak,RES.R12-1031,20120518,,,,7908-0099-00,Institutional,20130319,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
124,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
125,, , ,,6,,UPA, ,Proposed Single Family (6 u.p.a.),,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
126,, , ,,13,,UPA, ,Small Lot with Lane (13 u.p.a.),20160617,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
127,, , ,,,,, ,Existing Local Commercial,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
128,, , ,,,,, ,Existing Single Family,,West Newton/Highway 10,Approved,Neighbourhood Concept Plan,2004
