,COMMENTS,CONDITION,CONDITIONDATE,CRE_DATE,DESIGNATION,FACILITYID,GIS_ENTRY_STAGE,GREENWAY,LEGACYID,LIFECYCLE_COST,LOCATION,MATERIAL,MOD_DATE,OWNER,PROJECT_NO,STATUS,WARRANTYDATE,WIDTH,YR,YTD_COST
14571,,,,20160602,Residential,1001870724,Final AB,No,1001831383,0,Local,Concrete,20180413,Surrey,7814-0298-00,In Service,,1.5,2016,0
14572,,,,20170203,Residential,1001868361,Initial AB,No,,,Local,Concrete,20180413,Surrey,3815-6020-00,In Service,,1.5,2016,
14573,,,,20170929,Residential,1001871485,Initial AB,No,,,Local,Concrete,20180413,Surrey,7811-0248-00,In Service,,1.5,2017,
14574,,9,,,,1001062759,,No,,,,Concrete,20180410,Surrey,,In Service,,,2004,
14575,,,,,Residential,1001075036,,No,,,,,20180410,Surrey,,In Service,,,1994,
14576,3.0m Bus Pad,,,,Commercial,1001073080,,No,,,Arterial,Concrete,20180410,Surrey,,In Service,,3,1998,
14577,,,20180320,,Residential,1001070396,,No,,,Collector,Concrete,20180410,Surrey,,In Service,,1.5,2004,
14578,,,,,Residential,1001068184,,No,,,,,20180410,Surrey,,In Service,,,1994,
14579,,,20180320,,Residential,1001066198,,No,,,Collector,,20180410,Surrey,,In Service,,,2004,
14580,Digitized Via 2013 Air Photo,,,,Residential,1001063038,,No,,,,Concrete,20180410,Surrey,,In Service,,1.5,1991,
14581,,,20180320,,Residential,1001061053,,No,,,Collector,Concrete,20180410,Surrey,,In Service,,1.5,2004,
14582,,,,,Residential,1001065612,,No,,,,Concrete,20180410,Surrey,,In Service,,1.5,2004,
14583,,,20180314,,Residential,1001070688,,No,,,Arterial,Concrete,20180410,Surrey,,In Service,,1.5,1997,
14584,,,,,Residential,1001064084,,No,,,Arterial,Concrete,20180410,Surrey,,In Service,,,2013,
14585,,,,20100112,Residential,1001146125,Final AB,No,,,,Concrete,20180410,Surrey,7807-0234-00,In Service,,1.5,2009,
14586,,,,20110316,Commercial,1001191648,,No,,,Arterial,Concrete,20180410,Surrey,,In Service,,1.5,1997,
14587,,,,20120210,City Facility,1001360466,Final AB,No,,,,Concrete,20180410,Surrey,1705-7120-00,In Service,,1.5,2007,
14588,,,,20130130,Residential,1001406597,Final AB,No,,,Collector,Concrete,20180410,Surrey,7811-0046-00,In Service,,1.5,2012,
14589,,,,20140203,Residential,1001727397,,No,,,,Asphalt,20180410,Surrey,,In Service,,1.5,2004,
14590,,,,20140203,Residential,1001727398,,No,,,Collector,Concrete,20180410,Surrey,,In Service,,1.5,2004,
14591,,,,20140203,City Facility,1001727430,Final AB,No,,,,Concrete,20180410,Surrey,1705-7120-00,In Service,,3,2007,
14592,,,,20140203,City Facility,1001727431,Final AB,No,,,,Concrete,20180410,Surrey,1705-7120-00,In Service,,3,2007,
14593,,,,20140203,City Facility,1001727432,Final AB,No,1001360466,,,Concrete,20180410,Surrey,1705-7120-00,In Service,,1.5,2007,
14594,,,,20140203,City Facility,1001727436,Final AB,No,1001360467,,Collector,Concrete,20180410,Surrey,1705-7120-00,In Service,,1.5,2007,
14595,,,,20170302,City Facility,1001911031,,No,1001070872,0,Arterial,Concrete,20180410,Surrey,,In Service,,1.5,1994,0
14596,,,,20170302,School,1001911051,,No,1001063119,0,Arterial,Concrete,20180410,Surrey,,In Service,,1.5,1998,0
14597,,,,20140203,Residential,1001727439,Final AB,No,,,Collector,Concrete,20180410,Surrey,1705-7120-00,In Service,,1.5,2007,
14598,,,,20140220,City Facility,1001730992,Final AB,No,1001070872,,,Concrete,20180410,Surrey,1797-9020-00,In Service,,1.5,1998,
14599,Digitized Via 2013 Air Photo,,,20140325,Residential,1001736739,,No,1001063038,0,,Concrete,20180410,Surrey,,In Service,,1.5,1991,0
14600,,,,20140828,Residential,1001777882,Initial AB,No,,,,Concrete,20180410,Surrey,,In Service,,1.5,2004,
