,BY_LAW_01,BY_LAW_02,BY_LAW_03,BY_LAW_04,CRE_DATE,LOT_TYPE,MOD_DATE,WEBLINK,ZONING,ZONING_TEXT
398,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=C8,Community Commercial Zone,C-8
399,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=C4,Local Commercial Zone,C-4
400,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=A2,Intensive Agricultural Zone,A-2
401,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RA,One Acre Residential Zone,RA
402,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMD,Duplex Residential Zone,RM-D
403,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CPR,Commercial Recreation Zone,CPR
404,B/L 13959,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
405,B/L 12614,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
406,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=C4,Local Commercial Zone,C-4
407,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMD,Duplex Residential Zone,RM-D
408,B/L 8818,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
409,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMD,Duplex Residential Zone,RM-D
410,B/L 12547,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
411,B/L 13962,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
412,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMD,Duplex Residential Zone,RM-D
413,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=C15,Town Centre Commercial Zone,C-15
414,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMD,Duplex Residential Zone,RM-D
415,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CHI,Highway Commercial Industrial Zone,CHI
416,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RMD,Duplex Residential Zone,RM-D
417,B/L 14821A,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
418,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=RM45,Multiple Residential 45 Zone,RM-45
419,B/L 8416,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=CD,Comprehensive Development Zone,CD
420,,,,,,,20131122,http://cosmos.surrey.ca/geo_ref/Images/Zoning/BYL_Zoning_12000.pdf#nameddest=PA1,Assembly Hall 1 Zone,PA-1
