,NODE_TYPE,NODE_TYPE2,FACILITYID,LEGACYID,NODE_NO,NODE_SIZE,MATERIAL,INVERT,RIM_ELEVATION,I_I_SOURCE,I_I_QUANTITY,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,INSTALL_DATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,ENABLED,ANCILLARYROLE,Latitude,Longitude
166,2,Riser Pocket,1000074561,28031,1258111333,63,PVC Plastic,0.62,,,,Abandoned,4515,1977,Surrey,,LINE BW-A,,,,,,,,20051121,20120423,0,0,49.208117,-122.872987
167,2,Riser Pocket,1000074533,27995,1252111273,75,PVC Plastic,0.58,,,,Abandoned,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051117,20120626,0,0,49.207040,-122.874631
168,2,Riser Pocket,1000074643,27848,1237211278,75,PVC Plastic,0.38,,,,Abandoned,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051114,20120626,0,0,49.207120,-122.878752
169,2,Riser Pocket,1000074743,27992,1246011273,75,PVC Plastic,0.76,,,,Abandoned,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051117,20120626,0,0,49.207034,-122.876338
170,2,Riser Pocket,1000074532,27994,1249111273,75,PVC Plastic,0.61,,,,Abandoned,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051117,20120626,0,0,49.207037,-122.875482
171,2,Riser Pocket,1000074644,27850,1238111272,75,PVC Plastic,0.83,,,,Abandoned,4515,1977,Surrey,,LINE BW-E,,,,,,,,20051114,20120626,0,0,49.207026,-122.878499
172,2,Riser Pocket,1000074742,27991,1244911282,75,PVC Plastic,0.69,,,,Abandoned,4515,1977,Surrey,,LINE BW-G,,,,,,,,20051117,20120626,0,0,49.207200,-122.876626
173,2,Riser Pocket,1000074845,27605,1238311136,100,PVC Plastic,0.31,,,,Abandoned,4516,1978,Surrey,,LINE BSW-K,,,,,,,,20051101,20130128,0,0,49.204559,-122.878462
174,2,Riser Pocket,1001565308,,1238311130,150,PVC Plastic,0.49,,,,In Service,,,Surrey,,as per operations,Final AB,,,,,,,20130128,20130128,1,0,49.204457,-122.878463
175,2,Riser Pocket,1000075119,28141,1274311343,75,PVC Plastic,1.37,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.208306,-122.868502
176,2,Riser Pocket,1000075120,28142,1276911344,75,PVC Plastic,1.3,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.208308,-122.867789
177,2,Riser Pocket,1000075121,28144,1268711351,63,PVC Plastic,0.76,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.208453,-122.870042
178,2,Riser Pocket,1000075122,28145,1270711352,63,PVC Plastic,0.99,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.208454,-122.869505
179,2,Riser Pocket,1000075123,28146,1272911352,75,PVC Plastic,0.98,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.208456,-122.868888
180,2,Riser Pocket,1000075124,28147,1276011352,75,PVC Plastic,0.98,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.208458,-122.868040
181,2,Riser Pocket,1000075125,28149,1277811363,100,PVC Plastic,0.38,,,,In Service,4515,1978,Surrey,,LINE BE-A,,,,,,,,20051124,,1,0,49.208657,-122.867555
