objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,GlobalID_2,Shape__Area,Shape__Length
53,185,4.21096053,183428.70705924,Neighborhood Park,NP,4,Wabash Playground,Wabash Park,Wabash Park,Western,1676.46021167,92eb8cf6-4bbf-4a30-8b50-91ffe4b4fdda,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,3b0be781-c425-401a-9370-f5ab32065eac,17041.1484375,672.525133989985
54,117,0.45001569,19602.60513742,Neighborhood Park,NP,2,Marshall- California Parklet,Marshall-California Park,Marshall-California Park,Northern,410.24135099,983fe92d-da67-43c0-8bc3-997714b25d4d,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,64496b4c-59ff-49ea-8a95-0ac04d52f6ba,1821.16796875,164.399718663911
55,54,19.25445967,838720.90843239,Community Park,CP,11,East Hills Park,East Hills Park,East Hills Park,Eastern,3990.46535446,ef396672-2c4a-4eda-ae69-204f645a1602,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Eastern,15185e65-ae94-4684-b5ff-c0d4403581d5,77920.0234375,1599.65406876216
56,,0.02840184,1237.17916209,,,,,Swisshelm War Memorial,,,,,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,3rd Division,1b1ccb60-791e-4c58-99cd-a125c2e0aa1c,114.9375,46.4721486479487
57,97,1.5965665,69546.15852439,Neighborhood Park,NP,12,Kite Hill Parklet,Kite Hill Park,Kite Hill Park,Northeast,858.45771873,02503ebc-2418-4c2e-b973-7e5d809e7408,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northeast,66b03d6a-641a-43e6-93b5-1951b99d00fd,6461.078125,344.312798526425
58,202,190.95666443,8318039.03022592,Regional Park,RP,6,Other Undesignated Property,Emerald View Regional Park,Emerald View Regional Park,Western,69193.6153746,9eadaba3-1096-43fe-8237-adca8c01c9e0,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,,c1aa06c7-a87a-4da4-a0aa-0972b3499432,772774.13671875,28433.549695509
59,6,0.22526713,9812.59709983,Neighborhood Park,NP,3,Alpine #2 Parklet,Alpine Gardens Park,Alpine Gardens Park,Northern,302.56218263,d2665673-a177-4850-8941-8ce097a592ec,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,66ea79f5-1c88-4c34-b54c-ad8309131c27,911.625,121.252925680843
60,203,0.45909762,19998.2125031,Neighborhood Park,NP,1,Lookout St Parklet,Lookout Street Park,Lookout Street Park,Northern,428.27361277,cf15f763-5076-4f31-875f-93d14fdd8a03,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,c548f8c3-263c-4b38-8adb-24e111149a8a,1857.90234375,171.63333355054
61,42,0.51205093,22304.84908836,Neighborhood Park,NP,2,Cross & Strauss Parklet,Cross and Strauss Park,Cross and Strauss Park,Northern,474.7128683,f9c675a5-8da5-4e06-a308-2cf81ad5cc8f,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,451da9eb-302d-4c56-aca9-3ca2f2f862ba,2072.203125,190.354349664312
62,52,0.81221568,35379.97350379,Neighborhood Park,NP,4,East Carnegie Parklet,East Carnegie Park,East Carnegie Park,Western,573.2494265,dc099b67-b6ee-46da-bb87-4a7086b3c33a,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,9db112d9-c2be-4f1d-a47c-a9140dfb8f07,3286.91796875,229.61991753294
63,213,3.16173908,137724.80351798,Community Park,CP,2,Garvin Park,Garvin Park,Garvin Park,Northern,1257.12905344,ab7d15a3-5b0e-443c-bf14-dcd01d68da59,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,44de5fe5-f879-4e6f-a469-efc55c43a7d4,12795.109375,503.972314270412
64,,1.17459438,51165.12663775,,,,,West End Senior Center,,,,,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,7dddc9b3-74fd-4a07-8e87-0fa8f549efd9,4753.4140625,280.345052089271
65,73,5.92529055,258104.62378868,Neighborhood Park,NP,1,Gardner Field,Gardner Park,Gardner Park,Northern,1857.62322656,62e2d7c6-aeec-4aef-83a6-3fd1f4dcb8ee,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northern,5b50817b-3225-4eee-9e68-bb69287466c1,23978.8046875,744.821627789134
66,137,0.36225248,15779.65512104,Neighborhood Park,NP,12,Nelson Mandela Peace Park,Nelson Mandela Peace Park,Nelson Mandela Peace Park,Northeast,380.74585599,35047ae7-12cb-4117-a56d-9651d14ca53e,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Northeast,1ac373c0-b88e-442b-81db-7bc233ddb26c,1465.98828125,152.678558377553
67,,0.09746492,4245.55514126,,,,,Emerald View Park - Shiloh Street Park,,,,,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,Parks - Western,1b3534d3-2421-4116-845a-dafe34a28ef9,394.42578125,80.7561892268673
68,147,0.15556989,6776.59709324,Beautification Site,BTF,14,Parkview Islands,Parkview Islands,Parkview Islands,Schenley,1353.95997309,1f683a5a-8c27-4cdf-b2cb-5d8ac86be602,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,3rd Division,5f873a7d-11af-477c-af22-6af4fa6b99fb,629.59375,543.372449584444
69,41,0.26701186,11630.99030373,Public School,SCH,11,Crescent School,Crescent School,Falson School,Eastern,345.24365468,222181fd-ed02-4c3c-819a-8dbea5c5bdea,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,,d1c96c4f-2ea5-425e-bee3-14d3efad363e,1080.5625,138.292226859571
70,107,1.8666749,81312.03335395,Public School,SCH,12,Liberty School,Liberty School,Liberty School,Eastern,862.76582467,7e29fb69-a731-4ce0-85f8-70d360271a0a,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,,ffdcdccd-de2d-45a1-a528-4c49bbe9b082,7554.1640625,345.843392198159
71,109,0.27792302,12106.27820077,Public School,SCH,10,Linden School,Linden School,Linden School,Eastern,348.56388214,37de6533-2203-4575-8815-945d7bde9192,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,,920ac9a3-5f15-4e62-8f36-033cb38d4789,1124.7109375,139.739064445004
72,174,0.36176319,15758.34151919,Public School,SCH,10,Sterrett School,Sterrett School,Sterrett School,Eastern,463.3846429,b3f7c2e7-4ae8-48f0-8a52-ce76c705e7be,pgh.admin,2018-12-19T15:20:43.452Z,pgh.admin,2018-12-19T15:20:43.452Z,,8864a3d3-01de-4aaa-abeb-982e1fe68069,1464.00390625,185.811096022342
